cell_label,M5,M6,M4,M2,M8 (NT baseline),M11,M12,M1 (Mk baseline),M7,M3,M10,M9
"tree_length=5, gain_loss=0.25",0.661,0.657,0.662,0.658,0.663,0.641,0.668,0.662,0.666,0.666,0.661,0.663
"tree_length=5, gain_loss=0.1",0.655,0.639,0.64,0.644,0.655,0.621,0.629,0.661,0.651,0.649,0.651,0.652
"tree_length=1, gain_loss=0.25",0.627,0.609,0.627,0.613,0.61,0.594,0.617,0.626,0.612,0.626,0.608,0.604
"tree_length=5, gain_loss=1",0.607,0.595,0.605,0.608,0.595,0.618,0.635,0.638,0.597,0.636,0.596,0.598
"tree_length=5, gain_loss=0.5",0.606,0.599,0.597,0.613,0.605,0.589,0.641,0.625,0.607,0.624,0.605,0.609
"tree_length=1, gain_loss=0.1",0.594,0.597,0.593,0.596,0.597,0.571,0.587,0.594,0.599,0.601,0.597,0.599
"tree_length=1.5, gain_loss=0.1",0.593,0.58,0.593,0.589,0.583,0.568,0.588,0.593,0.586,0.595,0.58,0.584
"tree_length=2.5, gain_loss=0.25",0.579,0.579,0.577,0.574,0.581,0.527,0.559,0.571,0.584,0.576,0.582,0.58
"tree_length=2.5, gain_loss=0.1",0.556,0.556,0.562,0.57,0.554,0.545,0.572,0.578,0.557,0.585,0.554,0.557
"tree_length=2.5, gain_loss=0.5",0.565,0.56,0.56,0.564,0.572,0.526,0.548,0.566,0.571,0.562,0.566,0.548
"tree_length=1, gain_loss=1",0.563,0.558,0.565,0.558,0.559,0.529,0.555,0.561,0.56,0.556,0.56,0.557
"tree_length=1.5, gain_loss=0.5",0.55,0.553,0.549,0.558,0.554,0.534,0.555,0.565,0.555,0.564,0.556,0.555
"tree_length=2.5, gain_loss=1",0.543,0.54,0.54,0.557,0.542,0.516,0.552,0.56,0.544,0.56,0.54,0.54
"tree_length=1.5, gain_loss=0.25",0.537,0.53,0.532,0.538,0.535,0.503,0.534,0.542,0.538,0.542,0.533,0.536
"tree_length=1, gain_loss=0.5",0.535,0.531,0.534,0.533,0.536,0.511,0.528,0.537,0.535,0.538,0.537,0.504
"tree_length=1.5, gain_loss=1",0.485,0.486,0.486,0.49,0.487,0.465,0.487,0.494,0.488,0.491,0.487,0.488
