cell_label,M12,M1 (Mk baseline),M5,M6,M7,M8 (NT baseline),M2,M10,M9,M3,M4,M11
"tree_length=5, gain_loss=0.1",0.542,0.474,0.487,0.479,0.471,0.481,0.475,0.484,0.47,0.483,0.483,0.459
"tree_length=5, gain_loss=0.5",0.484,0.494,0.476,0.471,0.481,0.47,0.471,0.47,0.471,0.482,0.477,0.48
"tree_length=1.5, gain_loss=1",0.46,0.467,0.472,0.461,0.465,0.462,0.465,0.463,0.448,0.474,0.47,0.44
"tree_length=1.5, gain_loss=0.25",0.443,0.451,0.46,0.463,0.46,0.467,0.46,0.466,0.446,0.459,0.46,0.424
"tree_length=1.5, gain_loss=0.5",0.457,0.463,0.45,0.445,0.447,0.445,0.451,0.444,0.436,0.462,0.45,0.437
"tree_length=2.5, gain_loss=0.1",0.451,0.453,0.452,0.444,0.44,0.442,0.445,0.443,0.432,0.446,0.453,0.432
"tree_length=1, gain_loss=1",0.457,0.463,0.446,0.435,0.436,0.437,0.435,0.436,0.416,0.463,0.444,0.437
"tree_length=5, gain_loss=0.25",0.455,0.447,0.444,0.43,0.437,0.44,0.439,0.437,0.429,0.45,0.455,0.408
"tree_length=1, gain_loss=0.5",0.428,0.435,0.433,0.427,0.428,0.426,0.426,0.428,0.431,0.436,0.434,0.412
"tree_length=5, gain_loss=1",0.408,0.442,0.431,0.426,0.416,0.425,0.419,0.423,0.416,0.439,0.428,0.38
"tree_length=2.5, gain_loss=1",0.437,0.426,0.422,0.414,0.433,0.416,0.421,0.418,0.405,0.427,0.419,0.4
"tree_length=2.5, gain_loss=0.25",0.419,0.421,0.425,0.417,0.439,0.419,0.42,0.419,0.407,0.42,0.426,0.395
"tree_length=1.5, gain_loss=0.1",0.421,0.425,0.418,0.407,0.414,0.415,0.419,0.41,0.414,0.42,0.41,0.398
"tree_length=1, gain_loss=0.1",0.415,0.423,0.408,0.4,0.406,0.408,0.406,0.4,0.407,0.416,0.407,0.399
"tree_length=1, gain_loss=0.25",0.401,0.403,0.4,0.4,0.4,0.398,0.403,0.399,0.378,0.406,0.4,0.386
"tree_length=2.5, gain_loss=0.5",0.384,0.409,0.404,0.397,0.396,0.394,0.395,0.392,0.389,0.415,0.405,0.359
