cell_label,M1 (Mk baseline),M3,M5,M4,M7,M8 (NT baseline),M9,M6,M12,M11,M2,M10
"tree_length=1.5, gain_loss=0.1",0.541,0.582,0.583,0.584,0.59,0.587,0.587,0.584,0.572,0.549,0.584,0.586
"tree_length=1.5, gain_loss=0.25",0.525,0.582,0.583,0.584,0.59,0.587,0.587,0.584,0.572,0.549,0.584,0.586
"tree_length=1.5, gain_loss=1",0.525,0.582,0.585,0.584,0.59,0.587,0.587,0.584,0.564,0.549,0.584,0.586
"tree_length=1.5, gain_loss=0.5",0.525,0.582,0.583,0.584,0.59,0.587,0.587,0.584,0.564,0.549,0.584,0.586
"tree_length=1, gain_loss=0.5",0.532,0.543,0.545,0.543,0.542,0.542,0.543,0.545,0.535,0.531,0.542,0.542
"tree_length=1, gain_loss=0.1",0.535,0.543,0.545,0.543,0.542,0.542,0.543,0.545,0.535,0.528,0.542,0.542
"tree_length=1, gain_loss=0.25",0.532,0.543,0.545,0.543,0.542,0.542,0.543,0.545,0.535,0.531,0.542,0.542
"tree_length=1, gain_loss=1",0.532,0.543,0.543,0.543,0.542,0.542,0.543,0.545,0.535,0.531,0.542,0.542
"tree_length=5, gain_loss=0.1",0.505,0.531,0.53,0.53,0.529,0.531,0.533,0.528,0.511,0.503,0.53,0.528
"tree_length=2.5, gain_loss=0.1",0.523,0.527,0.528,0.527,0.532,0.53,0.531,0.531,0.513,0.484,0.532,0.528
"tree_length=5, gain_loss=0.5",0.505,0.531,0.528,0.53,0.529,0.531,0.533,0.528,0.511,0.503,0.53,0.528
"tree_length=2.5, gain_loss=0.25",0.523,0.527,0.528,0.527,0.532,0.53,0.531,0.531,0.506,0.484,0.532,0.528
"tree_length=5, gain_loss=0.25",0.505,0.531,0.53,0.53,0.529,0.531,0.533,0.528,0.5,0.503,0.53,0.528
"tree_length=2.5, gain_loss=1",0.523,0.527,0.525,0.527,0.532,0.53,0.531,0.531,0.506,0.484,0.532,0.528
"tree_length=2.5, gain_loss=0.5",0.523,0.527,0.525,0.527,0.532,0.53,0.531,0.531,0.506,0.484,0.532,0.528
"tree_length=5, gain_loss=1",0.505,0.531,0.528,0.53,0.529,0.531,0.533,0.528,0.5,0.503,0.53,0.528
