cell_label,M6,M4,M9,M2,M1 (Mk baseline),M10,M7,M11,M12,M8 (NT baseline),M3,M5
"tree_length=1.5, gain_loss=0.5",0.415,0.416,0.417,0.417,0.382,0.416,0.42,0.395,0.404,0.418,0.416,0.417
"tree_length=1.5, gain_loss=0.25",0.415,0.416,0.417,0.417,0.382,0.416,0.42,0.395,0.403,0.418,0.416,0.417
"tree_length=1.5, gain_loss=0.1",0.415,0.416,0.417,0.417,0.382,0.416,0.42,0.395,0.403,0.418,0.416,0.417
"tree_length=1.5, gain_loss=1",0.415,0.416,0.417,0.417,0.382,0.416,0.42,0.395,0.403,0.418,0.416,0.417
"tree_length=1, gain_loss=1",0.39,0.385,0.388,0.388,0.388,0.387,0.39,0.354,0.38,0.387,0.387,0.385
"tree_length=1, gain_loss=0.25",0.39,0.385,0.388,0.388,0.388,0.387,0.39,0.354,0.38,0.387,0.387,0.385
"tree_length=1, gain_loss=0.5",0.39,0.385,0.388,0.388,0.388,0.387,0.39,0.354,0.38,0.387,0.387,0.385
"tree_length=1, gain_loss=0.1",0.39,0.385,0.388,0.388,0.388,0.387,0.39,0.354,0.38,0.387,0.387,0.384
"tree_length=2.5, gain_loss=0.5",0.387,0.383,0.387,0.383,0.357,0.386,0.386,0.373,0.382,0.386,0.386,0.385
"tree_length=2.5, gain_loss=0.25",0.387,0.383,0.387,0.383,0.357,0.386,0.386,0.373,0.38,0.386,0.386,0.385
"tree_length=2.5, gain_loss=1",0.387,0.383,0.387,0.383,0.357,0.386,0.386,0.373,0.38,0.386,0.386,0.385
"tree_length=2.5, gain_loss=0.1",0.387,0.383,0.387,0.383,0.357,0.386,0.386,0.373,0.374,0.386,0.386,0.385
"tree_length=5, gain_loss=0.5",0.365,0.364,0.367,0.365,0.358,0.367,0.351,0.322,0.327,0.364,0.362,0.365
"tree_length=5, gain_loss=1",0.365,0.364,0.367,0.365,0.358,0.367,0.351,0.322,0.326,0.364,0.362,0.365
"tree_length=5, gain_loss=0.1",0.365,0.364,0.367,0.365,0.358,0.367,0.351,0.322,0.326,0.364,0.362,0.365
"tree_length=5, gain_loss=0.25",0.365,0.364,0.367,0.365,0.358,0.367,0.351,0.322,0.326,0.364,0.362,0.365
