cell_label,M11,M8 (NT baseline),M3,M6,M7,M5,M2,M4,M1 (Mk baseline),M10,M12,M9
"tree_length=5, gain_loss=0.1",0.273,0.228,0.271,0.238,0.23,0.247,0.239,0.284,0.28,0.227,0.284,0.225
"tree_length=5, gain_loss=0.5",0.249,0.228,0.248,0.232,0.228,0.247,0.231,0.255,0.254,0.227,0.255,NA
"tree_length=1.5, gain_loss=0.1",0.243,0.218,0.24,0.207,0.218,0.238,0.213,0.244,0.242,0.222,0.244,0.242
"tree_length=5, gain_loss=0.25",0.205,0.208,0.208,0.214,0.208,0.214,0.212,0.212,0.212,0.208,0.212,0.144
"tree_length=2.5, gain_loss=0.25",0.202,0.197,0.216,0.203,0.201,0.199,0.196,0.215,0.213,0.196,0.215,0.183
"tree_length=1, gain_loss=0.5",0.196,0.197,0.206,0.201,0.197,0.208,0.198,0.208,0.209,0.197,0.208,0.189
"tree_length=2.5, gain_loss=0.1",0.208,0.187,0.197,0.198,0.195,0.189,0.195,0.199,0.2,0.188,0.199,0.178
"tree_length=5, gain_loss=1",0.187,0.19,0.198,0.19,0.19,0.198,0.191,0.198,0.196,0.19,0.198,NA
"tree_length=1, gain_loss=0.25",0.177,0.184,0.188,0.184,0.184,0.187,0.185,0.186,0.188,0.185,0.186,0.178
"tree_length=1, gain_loss=0.1",0.182,0.177,0.177,0.181,0.177,0.175,0.18,0.18,0.181,0.175,0.18,0.197
"tree_length=1.5, gain_loss=0.25",0.173,0.177,0.175,0.185,0.173,0.177,0.184,0.182,0.181,0.178,0.182,0.186
"tree_length=2.5, gain_loss=0.5",0.176,0.173,0.182,0.175,0.173,0.179,0.174,0.18,0.181,0.175,0.18,0.168
"tree_length=1, gain_loss=1",0.166,0.173,0.181,0.174,0.171,0.181,0.175,0.182,0.181,0.173,0.182,0.171
"tree_length=1.5, gain_loss=1",0.154,0.17,0.172,0.17,0.171,0.171,0.171,0.173,0.171,0.17,0.173,0.196
"tree_length=2.5, gain_loss=1",0.156,0.171,0.174,0.17,0.166,0.173,0.169,0.172,0.173,0.169,0.172,0.179
"tree_length=1.5, gain_loss=0.5",0.152,0.169,0.172,0.172,0.169,0.17,0.168,0.169,0.169,0.168,0.169,0.177
