cell_label,M5,M10,M8 (NT baseline),M9,M3,M11,M6,M4,M12,M7,M1 (Mk baseline),M2
"tree_length=5, gain_loss=0.1",0.694,0.681,0.677,0.682,0.688,0.663,0.684,0.698,0.666,0.682,0.696,0.68
"tree_length=5, gain_loss=0.25",0.648,0.629,0.627,0.625,0.638,0.6,0.625,0.642,0.614,0.626,0.637,0.617
"tree_length=2.5, gain_loss=0.1",0.616,0.624,0.624,0.626,0.63,0.6,0.627,0.627,0.606,0.626,0.617,0.633
"tree_length=1.5, gain_loss=0.25",0.614,0.618,0.618,0.62,0.612,0.579,0.616,0.616,0.597,0.62,0.625,0.608
"tree_length=1.5, gain_loss=0.1",0.587,0.586,0.591,0.593,0.588,0.542,0.57,0.572,0.562,0.595,0.578,0.572
"tree_length=2.5, gain_loss=0.25",0.583,0.572,0.579,0.576,0.589,0.561,0.576,0.584,0.578,0.579,0.569,0.582
"tree_length=1, gain_loss=0.5",0.58,0.582,0.583,0.585,0.58,0.546,0.584,0.581,0.568,0.583,0.575,0.579
"tree_length=5, gain_loss=0.5",0.583,0.576,0.576,0.575,0.597,0.53,0.578,0.584,0.527,0.573,0.577,0.577
"tree_length=1, gain_loss=1",0.564,0.569,0.573,0.575,0.564,0.525,0.569,0.562,0.552,0.576,0.561,0.567
"tree_length=5, gain_loss=1",0.564,0.551,0.558,0.561,0.565,0.523,0.561,0.567,0.556,0.554,0.568,0.559
"tree_length=1, gain_loss=0.25",0.558,0.561,0.561,0.562,0.565,0.538,0.563,0.561,0.535,0.561,0.561,0.56
"tree_length=1.5, gain_loss=0.5",0.554,0.561,0.554,0.555,0.553,0.51,0.554,0.554,0.541,0.555,0.553,0.553
"tree_length=1.5, gain_loss=1",0.549,0.541,0.544,0.543,0.547,0.496,0.542,0.546,0.508,0.545,0.546,0.54
"tree_length=1, gain_loss=0.1",0.532,0.542,0.538,0.539,0.533,0.505,0.539,0.533,0.536,0.541,0.535,0.541
"tree_length=2.5, gain_loss=0.5",0.538,0.537,0.538,0.536,0.538,0.514,0.535,0.538,0.53,0.534,0.537,0.535
"tree_length=2.5, gain_loss=1",0.535,0.519,0.519,0.521,0.534,0.511,0.52,0.536,0.504,0.519,0.535,0.517
