cell_label,M1 (Mk baseline),M7,M2,M11,M6,M3,M10,M9,M4,M5,M8 (NT baseline),M12
"tree_length=5, gain_loss=0.1",0.665,0.66,0.656,0.647,0.648,0.669,0.65,0.661,0.66,0.659,0.657,0.659
"tree_length=5, gain_loss=0.25",0.622,0.62,0.621,0.589,0.617,0.622,0.619,0.624,0.618,0.621,0.621,0.601
"tree_length=5, gain_loss=0.5",0.609,0.599,0.591,0.566,0.592,0.611,0.6,0.601,0.61,0.61,0.6,0.604
"tree_length=2.5, gain_loss=0.25",0.585,0.6,0.588,0.545,0.592,0.584,0.593,0.601,0.589,0.596,0.596,0.576
"tree_length=2.5, gain_loss=1",0.595,0.591,0.595,0.555,0.59,0.596,0.589,0.59,0.589,0.589,0.59,0.567
"tree_length=5, gain_loss=1",0.601,0.589,0.579,0.568,0.569,0.601,0.577,0.58,0.598,0.595,0.581,0.563
"tree_length=2.5, gain_loss=0.1",0.568,0.581,0.569,0.54,0.571,0.57,0.574,0.581,0.57,0.578,0.581,0.558
"tree_length=1.5, gain_loss=1",0.568,0.558,0.558,0.527,0.557,0.568,0.559,0.557,0.565,0.57,0.559,0.556
"tree_length=1.5, gain_loss=0.1",0.564,0.561,0.565,0.526,0.561,0.559,0.559,0.56,0.558,0.555,0.558,0.558
"tree_length=2.5, gain_loss=0.5",0.555,0.557,0.555,0.512,0.552,0.555,0.555,0.556,0.55,0.553,0.555,0.524
"tree_length=1.5, gain_loss=0.25",0.552,0.551,0.552,0.503,0.552,0.576,0.55,0.552,0.554,0.554,0.551,0.505
"tree_length=1, gain_loss=0.1",0.545,0.55,0.547,0.51,0.547,0.547,0.546,0.548,0.546,0.546,0.548,0.536
"tree_length=1.5, gain_loss=0.5",0.555,0.538,0.531,0.508,0.536,0.556,0.543,0.535,0.56,0.566,0.538,0.524
"tree_length=1, gain_loss=1",0.538,0.545,0.542,0.499,0.551,0.536,0.546,0.544,0.549,0.542,0.548,0.527
"tree_length=1, gain_loss=0.25",0.531,0.538,0.534,0.504,0.534,0.534,0.533,0.538,0.531,0.532,0.536,0.522
"tree_length=1, gain_loss=0.5",0.524,0.531,0.529,0.498,0.53,0.525,0.528,0.53,0.525,0.525,0.528,0.507
