cell_label,M11,M9,M4,M1 (Mk baseline),M8 (NT baseline),M3,M10,M7,M6,M5,M2,M12
"tree_length=5, gain_loss=0.1",0.459,0.484,0.483,0.474,0.481,0.483,0.484,0.471,0.479,0.487,0.475,0.464
"tree_length=5, gain_loss=0.5",0.48,0.471,0.477,0.494,0.47,0.482,0.47,0.481,0.471,0.476,0.471,0.463
"tree_length=1.5, gain_loss=1",0.44,0.463,0.47,0.467,0.462,0.474,0.463,0.465,0.461,0.472,0.465,0.436
"tree_length=1.5, gain_loss=0.25",0.424,0.467,0.46,0.451,0.467,0.459,0.466,0.46,0.463,0.46,0.46,0.425
"tree_length=1.5, gain_loss=0.5",0.437,0.444,0.45,0.463,0.445,0.462,0.444,0.447,0.445,0.45,0.451,0.43
"tree_length=2.5, gain_loss=0.1",0.432,0.444,0.453,0.453,0.442,0.446,0.443,0.44,0.444,0.452,0.445,0.431
"tree_length=1, gain_loss=1",0.437,0.437,0.444,0.463,0.437,0.463,0.436,0.436,0.435,0.446,0.435,0.418
"tree_length=5, gain_loss=0.25",0.408,0.437,0.455,0.447,0.44,0.45,0.437,0.437,0.43,0.444,0.439,0.416
"tree_length=1, gain_loss=0.5",0.412,0.423,0.434,0.435,0.426,0.436,0.428,0.428,0.427,0.433,0.426,0.401
"tree_length=5, gain_loss=1",0.38,0.426,0.428,0.442,0.425,0.439,0.423,0.416,0.426,0.431,0.419,0.37
"tree_length=2.5, gain_loss=0.25",0.395,0.417,0.426,0.421,0.419,0.42,0.419,0.439,0.417,0.425,0.42,0.394
"tree_length=2.5, gain_loss=1",0.4,0.419,0.419,0.426,0.416,0.427,0.418,0.433,0.414,0.422,0.421,0.397
"tree_length=1.5, gain_loss=0.1",0.398,0.414,0.41,0.425,0.415,0.42,0.41,0.414,0.407,0.418,0.419,0.394
"tree_length=1, gain_loss=0.1",0.399,0.407,0.407,0.423,0.408,0.416,0.4,0.406,0.4,0.408,0.406,0.395
"tree_length=1, gain_loss=0.25",0.386,0.401,0.4,0.403,0.398,0.406,0.399,0.4,0.4,0.4,0.403,0.378
"tree_length=2.5, gain_loss=0.5",0.359,0.389,0.405,0.409,0.394,0.415,0.392,0.396,0.397,0.404,0.395,0.344
