"","model1","model10","model11","model12","model2","model3","model4","model5","model6","model7","model8"
"model10",1.38635714869439e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model11",9.65661395563343e-78,3.23993029801299e-78,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model12",9.59466635716785e-73,7.85911310642928e-64,3.42415343103679e-77,NA,NA,NA,NA,NA,NA,NA,NA
"model2",2.22342047900883e-07,0.436048163069117,4.76894750467066e-78,2.8420206843957e-78,NA,NA,NA,NA,NA,NA,NA
"model3",0.915673012718524,3.13192560665323e-06,6.89020348970323e-78,1.22358421996382e-66,1.8424276528569e-06,NA,NA,NA,NA,NA,NA
"model4",0.0308248014153712,5.74450160506601e-06,1.07990915836076e-77,1.1828196302281e-70,0.0308248014153712,0.16113421401727,NA,NA,NA,NA,NA
"model5",0.16113421401727,6.6835401512869e-05,7.21176642389095e-78,2.94988173194113e-65,0.0206398196052738,0.122715035197868,1,NA,NA,NA,NA
"model6",2.82109624241733e-15,0.0308248014153712,5.24723807407684e-78,5.61002641820842e-73,3.18444966166635e-06,1.79868681751838e-11,1.00482126414705e-15,3.26432508740739e-10,NA,NA,NA
"model7",2.31665313243242e-17,7.89110545768551e-11,6.11853467732428e-78,6.01622300602183e-70,2.53443470178115e-15,4.32808719685997e-18,1.64467883389779e-18,8.59985318179421e-22,0.00428951680293821,NA,NA
"model8",2.91264341760931e-09,1,8.6856209685145e-78,6.77627126665387e-67,0.0114170786580459,1.01679115620095e-09,2.53311087427344e-08,4.37932705099854e-07,0.754837253094064,2.81512152815026e-15,NA
"model9",1.77299231069245e-18,1.27758731613205e-10,5.24723807407684e-78,2.29314279820319e-70,6.04120991610334e-17,1.70878021560033e-19,4.5256193662557e-21,1.05634135093269e-19,0.000549631013741951,1,8.08140717198508e-16
