"","model1","model10","model11","model12","model2","model3","model4","model5","model6","model7","model8"
"model10",2.39088886126013e-34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model11",4.65361542065428e-221,1.63567664225064e-78,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model12",3.03140985204834e-209,2.41047709410113e-109,6.48162457261403e-13,NA,NA,NA,NA,NA,NA,NA,NA
"model2",1.13166689759337e-28,2.99904434665136e-05,1.27246076939042e-100,1.19725084936087e-133,NA,NA,NA,NA,NA,NA,NA
"model3",0.257892008564136,6.70523607188646e-43,1.19532060398329e-211,1.4437189639765e-203,2.23947441832129e-36,NA,NA,NA,NA,NA,NA
"model4",2.06832941135938e-06,3.06302755158272e-24,5.09006566884378e-192,1.16062553766972e-182,7.78879171652916e-16,1.43631672916406e-09,NA,NA,NA,NA,NA
"model5",4.90292773874764e-05,1.19965640101417e-23,7.79997402829898e-182,6.70957056306704e-188,2.89892060141835e-15,6.67394251217489e-10,0.565199290083211,NA,NA,NA,NA
"model6",2.50831856322296e-35,0.565199290083211,1.51958095856536e-82,1.22411133861408e-117,5.24658654869252e-11,9.12606591608984e-43,1.33793321235933e-25,4.05100791373202e-25,NA,NA,NA
"model7",8.72226214044018e-22,2.34291603266401e-28,1.66864724943758e-84,2.54582080675602e-115,0.807242287316542,7.54446415684488e-28,5.03173830263182e-12,4.57201721513436e-10,5.76412211003672e-12,NA,NA
"model8",1.39172195663624e-28,0.0116500500491904,2.43594308392254e-80,2.87197553900363e-111,0.0152421906515462,1.44491853125289e-37,3.46837306134164e-19,1.24332268839509e-17,0.0116500500491904,1.07929465586927e-24,NA
"model9",3.75473095415679e-21,7.80628741085288e-25,1.8882847709452e-89,9.26543512084068e-121,0.565199290083211,5.8846014663527e-27,7.64351605124464e-11,6.44734323493671e-08,5.273842712181e-13,0.0779762094980617,1.65386690543202e-21
