"modelID","median_cid","iqr_cid","n","rank","scenario"
"model11",0.35936631517754,0.225558063414183,483,1,"mk"
"model12",0.378420724477159,0.237859443548222,483,2,"mk"
"model1",0.380427356474818,0.243439252585528,483,3,"mk"
"model2",0.380784554412533,0.246822883903306,483,4,"mk"
"model5",0.381564994694369,0.250131255800831,483,5,"mk"
"model7",0.382181621497656,0.247451166115834,483,6,"mk"
"model8",0.383665749903369,0.250452123755501,483,7,"mk"
"model10",0.383988504061655,0.251691489646821,483,8,"mk"
"model3",0.384105836178093,0.246162867033091,483,9,"mk"
"model9",0.384406922794894,0.248633337958312,483,10,"mk"
"model4",0.38486445003378,0.243635113417073,483,11,"mk"
"model6",0.385284273080504,0.251523706498124,483,12,"mk"
"model11",0.421404235977779,0.199153281086303,1028,1,"nt"
"model6",0.444297135121084,0.196694191399776,1028,2,"nt"
"model12",0.444360650635561,0.202304895501444,1028,3,"nt"
"model10",0.444805126981844,0.199563745745508,1028,4,"nt"
"model8",0.445166315255319,0.200080924388367,1028,5,"nt"
"model9",0.44610368130072,0.20036860041572,1028,6,"nt"
"model2",0.446418426523622,0.198686253897231,1028,7,"nt"
"model7",0.44733724662142,0.199583928609435,1028,8,"nt"
"model1",0.44874710570167,0.207435258235544,1028,9,"nt"
"model4",0.449716670539812,0.196442962360808,1028,10,"nt"
"model5",0.449739335664841,0.202406112813773,1028,11,"nt"
"model3",0.451233365611506,0.205261070954496,1028,12,"nt"
