"modelID","n_matched_cells","median_cid_nt","median_cid_mk","median_diff","p_value"
"model1",3182,0.341478783145252,0.306658027061985,0.0483166916411029,8.78353024101757e-307
"model10",640,0.359113227075678,0.328074088910396,0.0234726374313306,1.89751600752746e-22
"model11",640,0.349664524763589,NA,NA,2.96702592262271e-32
"model12",640,0.34283632291666,NA,NA,9.22858665019708e-28
"model2",640,0.360216293911594,0.329938515726693,0.0258598384759528,5.12061577182514e-24
"model3",640,0.377340652465584,0.323924513195278,0.0336820029680787,1.97851762127092e-35
"model4",640,0.375187908327857,0.329646499313263,0.0309211751611099,1.09054234283809e-32
"model5",640,0.369582823557996,0.327707403691778,0.030162358096828,7.60235410342688e-32
"model6",640,0.362094724173028,0.329679253843357,0.023405397923758,5.49473129392708e-22
"model7",604,0.394016314860234,0.338832048744075,0.0234662153986099,2.67676969490649e-22
"model8",640,0.35834459841009,0.329462315895207,0.0236624566412867,3.02174306968903e-23
"model9",560,0.415551732461951,0.36772413361657,0.0244185972924402,5.88865702372342e-20
