Iteration	Posterior	Likelihood	Prior	tree_length
0	-722.474	-895.2613	172.7873	1.461801
6	-733.0485	-905.5899	172.5414	1.643293
12	-741.0817	-913.5665	172.4847	1.683791
18	-735.533	-908.0178	172.4847	1.683791
24	-726.9028	-899.681	172.7782	1.468743
30	-730.9442	-903.6124	172.6681	1.55103
36	-735.3761	-908.1602	172.784	1.46431
42	-728.2931	-901.3163	173.0232	1.275815
48	-736.4139	-909.3639	172.95	1.335196
54	-723.9623	-896.8851	172.9228	1.3568
60	-733.4272	-906.0203	172.5931	1.60597
66	-732.8069	-905.7137	172.9068	1.369472
72	-721.1688	-893.9086	172.7398	1.497689
78	-721.5789	-894.3413	172.7624	1.480674
84	-738.4483	-910.955	172.5067	1.668166
90	-726.9146	-899.1989	172.2842	1.824055
96	-736.7378	-909.473	172.7351	1.501205
102	-738.6632	-911.4431	172.7799	1.467471
108	-736.9419	-909.9451	173.0032	1.292224
114	-737.6471	-910.8016	173.1545	1.164534
120	-739.104	-911.7794	172.6754	1.545679
126	-749.2887	-922.2531	172.9644	1.323619
132	-740.7104	-913.4888	172.7784	1.468582
138	-742.1292	-914.5138	172.3846	1.754375
144	-732.5765	-905.4466	172.8701	1.398143
150	-731.4822	-904.3078	172.8256	1.432558
156	-743.3894	-916.1807	172.7913	1.458805
162	-742.8708	-915.5606	172.6898	1.535002
168	-736.5251	-909.2167	172.6916	1.533662
174	-739.8607	-912.5398	172.6791	1.542901
180	-733.514	-906.0991	172.5851	1.61172
186	-741.6746	-914.2893	172.6146	1.590273
192	-735.1496	-907.7721	172.6225	1.584564
198	-727.0353	-899.6995	172.6642	1.553931
204	-730.9015	-903.698	172.7964	1.45491
210	-729.8508	-902.7201	172.8693	1.398776
216	-731.7978	-904.6671	172.8693	1.398776
222	-737.577	-910.4985	172.9215	1.357849
228	-726.6241	-899.5134	172.8893	1.383179
234	-727.3189	-899.8614	172.5425	1.642476
240	-728.6167	-901.5221	172.9054	1.370557
246	-736.2204	-909.3757	173.1553	1.163899
252	-728.9204	-901.9534	173.0331	1.267721
258	-729.9414	-902.4435	172.5021	1.671447
264	-734.6922	-907.7295	173.0373	1.264223
270	-727.7753	-900.7507	172.9754	1.31476
276	-741.2888	-914.2642	172.9754	1.31476
282	-746.7788	-919.2611	172.4823	1.685543
288	-734.9827	-907.9073	172.9246	1.355385
294	-734.0077	-906.1567	172.1491	1.916311
300	-737.6061	-910.0857	172.4796	1.687423
306	-739.4292	-912.3709	172.9417	1.341787
312	-730.2859	-903.217	172.9311	1.350245
318	-739.5923	-912.3778	172.7855	1.463234
324	-739.2174	-911.8777	172.6603	1.556809
330	-746.5247	-919.5124	172.9877	1.304834
336	-741.2015	-913.5828	172.3813	1.756699
342	-734.8568	-907.6553	172.7985	1.453307
348	-726.1271	-898.6519	172.5249	1.655166
354	-747.4493	-920.043	172.5937	1.60552
360	-724.1501	-896.7713	172.6212	1.585491
366	-724.4706	-897.0918	172.6212	1.585491
372	-735.6916	-908.2088	172.5172	1.660651
378	-726.0391	-898.825	172.7859	1.462912
384	-734.6624	-907.2701	172.6077	1.595331
390	-736.0544	-909.0875	173.0331	1.267712
396	-732.6692	-905.2057	172.5366	1.646772
402	-732.1349	-904.5102	172.3753	1.760871
408	-731.3936	-903.4202	172.0266	1.998564
414	-739.3199	-912.0795	172.7596	1.482798
420	-738.6882	-911.4478	172.7596	1.482798
426	-743.9165	-916.971	173.0545	1.249943
432	-728.0184	-900.6778	172.6595	1.557425
438	-727.1199	-899.8332	172.7134	1.517489
444	-729.3026	-902.0694	172.7667	1.47742
450	-737.4565	-910.1548	172.6983	1.528721
456	-736.591	-909.1345	172.5434	1.641826
462	-732.9754	-905.6895	172.7141	1.516975
468	-735.3694	-907.7698	172.4004	1.743314
474	-738.7397	-911.5801	172.8404	1.421197
480	-734.464	-907.1424	172.6784	1.543453
486	-733.4922	-906.1706	172.6784	1.543453
492	-734.2052	-906.8836	172.6784	1.543453
498	-737.6471	-910.1132	172.4661	1.697051
504	-738.1556	-910.9357	172.7801	1.467283
510	-729.9603	-902.6186	172.6583	1.558261
516	-743.5975	-916.2558	172.6583	1.558261
522	-727.1051	-899.7948	172.6897	1.535071
528	-730.0817	-902.9316	172.8498	1.413892
534	-733.27	-905.8729	172.603	1.598787
540	-724.6554	-897.2588	172.6034	1.598465
546	-740.9401	-913.6524	172.7124	1.51824
552	-739.1318	-911.525	172.3931	1.748447
558	-731.6093	-904.2395	172.6302	1.578907
564	-730.7241	-903.3543	172.6302	1.578907
570	-730.8275	-903.3319	172.5044	1.669795
576	-739.5071	-911.8756	172.3685	1.765665
582	-734.4837	-907.2246	172.7409	1.49685
588	-735.0074	-907.5464	172.539	1.644987
594	-734.0403	-906.6202	172.5799	1.615545
600	-735.8349	-908.6165	172.7816	1.466148
606	-738.496	-911.2203	172.7243	1.509348
612	-726.7181	-899.5529	172.8349	1.425442
618	-734.8929	-907.296	172.4031	1.741451
624	-723.8061	-896.4594	172.6533	1.561981
630	-725.1138	-897.9677	172.854	1.410709
636	-722.4206	-895.2811	172.8606	1.405581
642	-720.5105	-893.3341	172.8236	1.434084
648	-720.0748	-893.0187	172.9439	1.340021
654	-727.6937	-900.6802	172.9866	1.305735
660	-730.636	-903.7401	173.1041	1.208162
666	-731.8529	-904.9747	173.1217	1.193022
672	-729.8783	-902.5892	172.7109	1.519342
678	-727.1939	-899.8048	172.6108	1.593061
684	-736.8762	-909.6143	172.7381	1.498994
690	-735.24	-908.1534	172.9133	1.364287
696	-734.1626	-906.9991	172.8365	1.424195
702	-736.6772	-909.258	172.5809	1.614826
708	-739.1592	-912.1466	172.9874	1.305083
714	-735.8496	-908.8176	172.9681	1.320689
720	-727.4435	-900.2311	172.7875	1.46165
