Iteration	Posterior	Likelihood	Prior	gain_loss_neo	part_rate_trans	site_rates_raw[1]	site_rates_raw[2]	site_rates_raw[3]	site_rates_raw[4]	tree_length
0	-324.8194	-487.4421	162.6228	7.223486	3.640934	1.531211	2.173589	0.1970912	0.4130489	0.5053215
6	-316.7911	-483.8139	167.0227	3.769514	2.232587	1.0032	1.124857	0.5571957	0.03997611	1.016077
12	-327.2338	-492.5837	165.35	5.722348	2.959317	0.929792	1.124857	0.3560076	0.4934505	0.6368278
18	-315.8865	-478.3226	162.4361	5.297047	3.777148	1.378348	2.165161	0.7047935	0.9922673	0.5117502
24	-326.3649	-485.1979	158.8331	9.968475	3.908844	3.06599	1.647774	1.600504	0.5112629	0.4856741
30	-317.9033	-482.5984	164.6951	5.19634	5.713327	0.3360119	0.4496373	0.1914513	0.0525985	0.338596
36	-308.2239	-471.9301	163.7062	8.928855	3.448539	0.4539258	1.641221	0.3766264	0.1222417	0.2586715
42	-323.0265	-484.2891	161.2625	12.42651	2.69749	1.361145	2.576013	0.4954546	0.3271849	0.3112238
48	-300.8596	-467.3883	166.5287	4.578084	2.770556	0.4127133	1.370171	0.5377732	0.1709771	0.3691949
54	-315.1407	-480.4406	165.2999	8.151808	2.875969	0.4457171	0.6400016	0.6423717	0.1273546	0.8628944
60	-329.6122	-493.6758	164.0636	8.151808	2.631925	0.06060354	1.840348	0.9120622	0.7028092	0.5030715
66	-315.6135	-484.4056	168.7921	3.836086	2.532733	0.1231289	0.5330222	0.0440789	0.2177718	0.6065481
72	-320.1413	-485.293	165.1517	5.169284	2.764888	0.09087858	2.390767	0.6990731	0.2418898	0.8624697
78	-315.7038	-480.0045	164.3007	8.574948	2.602709	1.326999	1.169678	0.02726804	0.6158813	0.4322141
84	-311.2513	-477.4196	166.1683	5.569648	3.176498	0.2519018	1.098757	0.08019211	0.5433742	0.5019453
90	-321.6766	-487.9029	166.2263	5.309389	3.176498	0.8177111	0.2960192	0.2789223	0.6524019	0.5019453
96	-311.8853	-479.086	167.2007	5.985569	2.417969	0.8177111	0.3934438	0.2323058	0.05729613	0.4754084
102	-311.8065	-477.2296	165.4231	6.119912	2.943588	1.151506	0.927075	0.4948986	0.04870342	0.3358151
108	-321.9864	-488.6243	166.6379	6.582873	2.13745	0.2987682	1.217898	0.4948986	0.04870342	0.417783
114	-326.1614	-493.881	167.7196	3.622221	2.812012	0.1466172	0.7171794	0.7435997	0.1343733	0.2917798
120	-321.9583	-486.9881	165.0298	4.948457	2.934961	2.134606	0.2812258	1.050365	0.07042869	0.285073
126	-316.5921	-481.766	165.1739	6.512626	2.44667	2.101512	0.9526364	0.03853667	0.1114826	0.3496251
132	-314.9009	-481.6834	166.7825	2.141022	1.482719	3.71119	1.276299	0.02250048	0.01722181	0.2635464
138	-308.2231	-472.0739	163.8508	3.054277	1.724693	4.888251	2.163805	0.07429533	0.02084283	0.3601228
144	-316.203	-484.7443	168.5413	3.324949	1.234554	1.988647	0.7169155	0.01690603	0.08899846	0.4848019
150	-320.2062	-488.4741	168.268	5.00666	1.791757	1.31345	0.04698741	0.08261735	0.02345456	0.7221166
156	-309.1536	-475.7536	166.6	5.856262	2.238035	1.77965	0.2149683	0.3050483	0.009662742	0.641951
162	-313.1898	-479.6105	166.4206	5.553195	2.0486	2.00743	0.1335509	0.5065342	0.005433761	0.8916768
168	-316.7646	-483.6077	166.8431	5.553195	1.244545	0.2384941	1.812107	0.6593197	0.1133593	1.104196
174	-308.9114	-475.8552	166.9438	5.135242	1.848247	0.4473202	1.812107	0.3497401	0.02397532	0.7742123
180	-312.0637	-475.544	163.4802	5.615433	3.148356	1.780206	2.128748	0.7319055	0.01924645	0.566016
186	-316.4511	-478.6616	162.2105	11.25784	4.612532	0.9506373	0.6732443	0.5066152	0.1976156	0.5659399
192	-340.0511	-504.9823	164.9312	7.016475	3.413264	1.409439	0.4331767	0.3004337	0.1279506	0.6739675
198	-326.7517	-491.9308	165.1791	2.915085	2.033254	2.643213	1.899631	0.5268855	0.355894	0.9205441
204	-321.0421	-488.9482	167.9061	3.028014	1.446869	1.947336	0.3781912	0.5268855	0.5065859	0.7233155
210	-321.8964	-488.3957	166.4993	6.321752	1.872968	1.257711	0.05890509	0.2166955	1.04684	0.5897844
216	-318.0896	-484.1692	166.0796	5.736853	2.014592	2.273095	0.05263289	0.2032472	0.6005759	0.5897844
222	-320.4098	-485.5319	165.1221	4.917571	3.390512	2.001317	0.3709223	0.1242416	0.6005759	0.6549581
228	-321.0068	-487.6485	166.6417	3.785983	2.698344	0.1342563	0.5938328	1.379957	0.7357754	0.7719921
234	-314.7612	-478.3067	163.5455	6.405437	2.698344	2.331607	1.583557	0.1307672	0.5727366	0.7056489
240	-327.3758	-490.7449	163.3691	7.189609	2.700695	2.526876	0.3126923	0.1939016	1.243331	0.9371785
246	-328.7034	-490.4711	161.7676	5.674049	2.907415	3.111406	1.041704	1.366057	0.8720745	0.8885049
252	-334.8973	-498.9142	164.0169	5.86052	3.373789	0.3701804	0.2658372	1.64055	1.214902	0.9902947
258	-339.549	-506.8506	167.3017	3.384198	1.983783	0.537154	0.06372824	1.64055	0.2548694	1.397324
264	-324.8091	-492.6139	167.8048	2.561466	2.572195	0.6718282	0.3015543	0.9027511	0.3178379	1.227671
270	-315.4457	-480.1654	164.7197	6.982846	2.993637	1.659271	0.3299508	0.7964584	0.146526	0.6407364
276	-309.0547	-473.6376	164.5829	7.328678	2.130798	1.231638	1.761869	0.7238424	0.07667581	0.6273175
282	-316.8243	-482.5054	165.6811	5.69181	2.802039	1.574264	0.4689315	0.68217	0.01330033	0.6508392
288	-320.3958	-482.6272	162.2314	11.30904	2.802039	2.566665	0.4668598	0.9101455	0.1099885	0.68734
294	-323.1618	-492.1589	168.9971	2.599746	1.700203	0.3156052	0.4668598	1.457608	0.105256	0.68734
300	-321.1453	-484.9189	163.7736	4.958459	2.503768	1.940079	1.046184	1.457608	0.4887621	1.106039
