Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	br_lengths[58]	br_lengths[59]	br_lengths[60]	br_lengths[61]	br_lengths[62]	br_lengths[63]	br_lengths[64]	br_lengths[65]	br_lengths[66]	br_lengths[67]	br_lengths[68]	br_lengths[69]	br_lengths[70]	br_lengths[71]	br_lengths[72]	br_lengths[73]	br_lengths[74]	br_lengths[75]	br_lengths[76]	br_lengths[77]	br_lengths[78]	br_lengths[79]	br_lengths[80]	br_lengths[81]	br_lengths[82]	br_lengths[83]	br_lengths[84]	br_lengths[85]	br_lengths[86]	br_lengths[87]	br_lengths[88]	br_lengths[89]	br_lengths[90]	br_lengths[91]	br_lengths[92]	br_lengths[93]	br_lengths[94]	br_lengths[95]	br_lengths[96]	br_lengths[97]	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	rel_br_lengths[58]	rel_br_lengths[59]	rel_br_lengths[60]	rel_br_lengths[61]	rel_br_lengths[62]	rel_br_lengths[63]	rel_br_lengths[64]	rel_br_lengths[65]	rel_br_lengths[66]	rel_br_lengths[67]	rel_br_lengths[68]	rel_br_lengths[69]	rel_br_lengths[70]	rel_br_lengths[71]	rel_br_lengths[72]	rel_br_lengths[73]	rel_br_lengths[74]	rel_br_lengths[75]	rel_br_lengths[76]	rel_br_lengths[77]	rel_br_lengths[78]	rel_br_lengths[79]	rel_br_lengths[80]	rel_br_lengths[81]	rel_br_lengths[82]	rel_br_lengths[83]	rel_br_lengths[84]	rel_br_lengths[85]	rel_br_lengths[86]	rel_br_lengths[87]	rel_br_lengths[88]	rel_br_lengths[89]	rel_br_lengths[90]	rel_br_lengths[91]	rel_br_lengths[92]	rel_br_lengths[93]	rel_br_lengths[94]	rel_br_lengths[95]	rel_br_lengths[96]	rel_br_lengths[97]	tree_length
0	-168.2244	-341.7891	173.5647	0.00155351	0.00590176	0.00305847	0.0283979	0.0211147	0.00282254	0.000266605	0.00470768	0.00372879	0.0107239	0.00904187	0.0030721	0.000657045	0.0138638	0.00307744	0.00057862	0.0357545	0.000186073	0.00266747	0.00673883	0.00526662	0.0179655	0.00317252	0.00305318	0.00110547	0.000917218	0.0134268	0.0148066	0.00611772	0.00470343	0.0142343	0.0411738	0.000911843	0.00166662	0.00236448	0.00247448	0.00739406	0.0020684	0.00761386	0.00065808	0.0010182	0.0228959	0.000585243	0.00554497	0.00320482	0.0055115	0.00910349	0.00715128	0.00614619	0.00561107	0.000481504	0.00273505	0.00963714	0.0134387	0.00156911	0.015563	0.0139395	0.0206919	0.00803105	0.00401501	0.00517393	0.00335373	0.0143167	0.00517038	0.0126229	0.00131895	0.00447926	0.00417773	0.00913299	0.0413877	0.00231392	0.000931684	0.00886038	0.00619786	0.000758932	0.00249702	0.00982293	0.00100933	0.00135599	0.000795463	0.00846407	0.000869492	0.000331617	0.00934082	0.00776817	0.00330328	0.0131161	0.00534339	0.0132127	0.00137549	0.0093952	0.00583974	0.0196239	0.00590052	0.00310816	0.00547482	0.00286947	0.00216699	0.00823236	0.00426625	0.0396122	0.0294529	0.00393716	0.000371887	0.00656674	0.00520129	0.0149588	0.0126125	0.00428527	0.000916511	0.0193386	0.00429272	0.000807116	0.0498739	0.000259553	0.00372085	0.00939999	0.0073464	0.02506	0.00442535	0.00425887	0.00154202	0.00127943	0.018729	0.0206537	0.0085336	0.00656081	0.0198555	0.0574333	0.00127193	0.00232476	0.0032982	0.00345165	0.010314	0.00288521	0.0106206	0.000917954	0.00142028	0.0319374	0.000816354	0.00773467	0.00447039	0.00768798	0.0126984	0.00997531	0.0085733	0.00782687	0.000671649	0.00381512	0.0134428	0.0187456	0.00218875	0.0217089	0.0194442	0.0288631	0.0112025	0.00560053	0.0072171	0.00467811	0.0199704	0.00721216	0.0176076	0.0018398	0.00624811	0.00582751	0.0127396	0.0577316	0.00322769	0.0012996	0.0123593	0.00864539	0.00105863	0.00348308	0.013702	0.00140791	0.00189147	0.00110959	0.0118065	0.00121285	0.000462572	0.0130295	0.0108358	0.00460774	0.0182956	0.00745349	0.0184304	0.00191866	0.0131053	0.00814585	0.0273734	0.00823062	0.00433557	0.00763682	0.00400262	0.7168981
36	-193.594	-367.1086	173.5146	0.00179911	0.0081976	0.00353653	0.0227328	0.00981154	0.0055615	0.00436158	0.00229367	0.0115445	0.0074451	0.0135875	0.0214198	0.00109787	0.00658588	0.0223296	0.00321245	0.0217162	0.00371712	0.000118859	0.00653063	0.0190525	0.00475547	0.00883096	0.00960284	0.0173826	0.00307511	0.00048351	0.00187011	0.014638	0.00170884	0.0150509	0.0300452	0.00119975	0.00470499	0.0012624	0.00859943	0.0108077	0.00437797	0.00811177	0.00555249	0.000835535	0.0204983	0.00290479	0.0224892	0.00274518	0.00813651	0.0127357	0.0012072	0.00736242	0.0177859	0.00584045	0.00401706	0.000287451	0.00680264	0.00273073	0.00699036	0.00382285	0.0206538	0.00899159	0.00655448	0.00282902	0.000840397	0.00482384	0.00402336	0.00407151	0.00701516	0.00989152	0.00433948	0.00667873	0.00118414	0.00128166	0.00184898	0.00292787	0.0416312	0.00627694	0.00122882	0.0017244	0.0117141	0.002844	0.00374033	0.000525665	0.0035556	0.0105043	0.0175501	0.0180496	0.00332061	0.011809	0.0221221	0.0101235	0.000345066	0.01004	0.017056	0.00598914	0.0139157	0.0101269	0.000918296	0.00230264	0.00227369	0.01036	0.00446941	0.0287293	0.0123997	0.00702854	0.0055121	0.0028987	0.0145897	0.009409	0.0171717	0.02707	0.00138747	0.00832313	0.0282198	0.00405985	0.0274446	0.00469764	0.000150212	0.00825331	0.0240783	0.00600989	0.0111604	0.0121359	0.0219678	0.00388627	0.000611052	0.00236341	0.0184992	0.00215961	0.0190211	0.0379707	0.00151622	0.0059461	0.0015954	0.0108678	0.0136587	0.00553281	0.0102515	0.00701715	0.00105594	0.0259054	0.00367103	0.0284215	0.00346932	0.0102828	0.0160952	0.00152564	0.00930451	0.0224776	0.00738108	0.00507669	0.000363276	0.00859707	0.00345106	0.00883431	0.00483126	0.026102	0.0113634	0.00828345	0.00357527	0.00106208	0.00609629	0.00508466	0.00514551	0.00886565	0.0125008	0.00548416	0.00844047	0.0014965	0.00161974	0.00233672	0.0037002	0.0526128	0.0079327	0.00155297	0.00217927	0.014804	0.0035942	0.00472697	0.000664327	0.00449352	0.0132752	0.0221795	0.0228109	0.00419653	0.014924	0.0279576	0.0127939	0.00043609	0.0126885	0.0215551	0.00756899	0.0175864	0.0127982	0.00116053	0.00291005	0.7912741
72	-181.2759	-354.9124	173.6365	0.00324113	0.00403797	0.000233268	0.0191319	0.00588893	0.0032817	0.000426272	0.00102396	0.00858851	0.00311797	0.00257258	0.0138122	0.0141337	0.00210185	0.00173558	0.00124558	0.00271882	0.000865597	0.000467444	0.00367584	0.00598493	0.0101208	0.00202483	0.00438912	0.00364196	0.000786282	0.000212376	0.00632465	0.00115065	0.000351024	0.0133787	0.0193462	0.00551245	8.88939e-05	0.00125531	0.00466786	0.00409615	0.00321431	0.00440224	0.00608236	3.36531e-05	0.0115698	0.00459345	0.0110153	0.00926834	0.000590828	0.00976038	6.32829e-05	0.00157784	0.00487593	0.00462242	0.00312967	0.000687013	0.0217109	0.0057383	0.00854117	0.000311145	0.00273079	0.00872811	0.00266098	0.00678209	0.00426545	0.00391416	4.35111e-05	0.00220581	0.00961455	0.000913027	6.37445e-05	0.00168425	0.00071432	0.00156952	0.00116527	0.00151466	0.0100353	0.00443218	0.000545481	0.000385834	0.00475983	0.00158948	0.00888261	0.0126115	0.00399591	0.0023414	0.00534288	0.00181864	0.0101996	0.00875203	0.00139564	0.00974578	7.54926e-05	0.0065409	0.00668223	0.00590359	0.0116291	0.00964833	0.00192472	0.00657537	0.00686964	0.00855855	0.000494417	0.0405504	0.0124817	0.00695562	0.000903492	0.0021703	0.0182035	0.0066086	0.00545263	0.0292752	0.0299565	0.0044549	0.00367859	0.00264003	0.00576259	0.00183465	0.000990756	0.00779102	0.0126852	0.0214512	0.00429166	0.00930282	0.0077192	0.00166654	0.000450135	0.0134052	0.00243881	0.000744002	0.0283564	0.0410047	0.0116837	0.000188412	0.00266065	0.00989362	0.00868186	0.00681279	0.00933062	0.0128917	7.13283e-05	0.0245224	0.0097359	0.0233472	0.0196444	0.00125227	0.0206873	0.000134129	0.00334425	0.0103346	0.00979729	0.0066334	0.00145614	0.0460167	0.0121624	0.0181032	0.000659477	0.00578796	0.0184994	0.00564	0.0143747	0.00904069	0.00829614	9.22226e-05	0.00467525	0.0203782	0.00193518	0.000135108	0.00356979	0.00151401	0.00332662	0.00246981	0.00321035	0.0212701	0.00939408	0.00115616	0.000817782	0.0100885	0.00336893	0.0188268	0.0267304	0.00846939	0.00496264	0.0113243	0.00385464	0.0216183	0.0185501	0.00295809	0.0206563	0.000160008	0.0138635	0.0141631	0.0125128	0.024648	0.0204498	0.00407948	0.0139366	0.4718055
108	-171.5524	-345.1726	173.6202	0.00116347	0.00468374	0.00191393	0.0228277	0.00574457	0.00548277	0.000141939	0.0013114	0.00299895	0.00998197	0.00182318	0.00186307	0.000172929	0.00506276	0.00311572	0.000939406	0.00227525	0.00599572	0.00302636	0.00241619	0.0105457	0.00100137	0.00134848	0.00288306	0.0017951	0.00050027	0.00617295	0.00780406	0.000385048	0.00548578	0.0165397	0.0220531	0.00767652	0.00114941	0.000427831	0.00761948	0.00379931	0.00225184	0.00518249	0.0041606	0.0012779	0.00229866	0.00228126	0.000490332	0.000480142	0.000710757	0.0048885	0.00085662	0.00234108	0.000279603	0.0034102	0.00632381	0.000895285	0.00373035	0.00310826	0.00422772	0.00576196	0.00566679	0.00765337	0.00111189	0.0118012	0.0164471	0.00382257	1.47633e-06	0.00147872	0.00400806	0.00664466	0.00314548	0.0033477	0.00724117	0.0034447	0.000534202	7.29962e-05	0.000226032	0.00149622	0.00585167	0.00140828	0.0125312	0.00036266	0.000946128	0.00129058	0.00290097	0.00679669	0.00291991	0.00162887	0.00663065	0.0168676	0.00410077	0.00127856	0.00180894	0.0003708	0.00308054	0.00675775	0.00652938	0.0014843	0.0046456	0.0077232	0.00282983	0.0113919	0.00465511	0.0555223	0.0139721	0.0133354	0.000345228	0.00318962	0.00729415	0.0242785	0.00443439	0.00453142	0.000420603	0.0123138	0.00757815	0.00228485	0.00553393	0.014583	0.0073608	0.00587674	0.0256497	0.00243556	0.00327982	0.00701228	0.0043661	0.00121677	0.015014	0.0189813	0.000936527	0.0133427	0.0402284	0.0536383	0.0186711	0.00279563	0.00104058	0.0185323	0.00924081	0.00547699	0.012605	0.0101195	0.00310814	0.00559086	0.00554856	0.0011926	0.00116782	0.00172873	0.01189	0.0020835	0.00569404	0.00068006	0.00829439	0.015381	0.00217754	0.00907307	0.00756001	0.0102828	0.0140144	0.0137829	0.0186148	0.00270438	0.0287033	0.0400033	0.00929738	3.59078e-06	0.0035966	0.00974853	0.0161613	0.00765054	0.00814239	0.0176122	0.00837831	0.0012993	0.000177544	0.000549762	0.00363915	0.0142326	0.00342526	0.0304787	0.000882072	0.0023012	0.00313898	0.00705582	0.0165311	0.0071019	0.00396178	0.0161273	0.0410259	0.00997402	0.00310976	0.00439976	0.000901872	0.00749259	0.0164364	0.015881	0.00361017	0.0112992	0.0187846	0.4111451
144	-163.4396	-336.9326	173.493	0.00068894	0.00952057	0.00583472	0.0302054	0.0247155	0.0098952	0.00261251	0.00224869	0.0052952	0.0108937	0.00206086	0.00211654	0.00039923	0.00644159	0.00485968	0.00433828	0.012198	0.000945364	0.00194974	0.0073295	0.0107944	0.00326806	0.00132658	0.00360014	0.00374965	0.00314209	0.00145032	0.00627794	0.0061848	0.00245442	0.0175769	0.0293283	0.0143865	0.0180917	0.00179669	0.00139654	0.0115031	0.000695608	3.62973e-05	0.000934747	0.00914739	0.00416533	0.00320754	0.0115457	0.0170655	0.00673846	0.013615	0.00110679	0.000872251	0.000740765	0.00511554	0.00121934	0.0016721	0.00026814	0.0240762	0.0115881	0.0111093	0.0244157	0.00817772	0.000678867	0.00382888	0.0109255	0.0134576	2.02095e-05	0.0056163	0.0032708	0.00321582	0.00871393	0.000482964	0.0133353	0.00230253	0.00733419	3.87241e-05	0.0332301	0.0114684	0.00770894	0.0013663	0.049925	0.000139845	0.000407754	0.0194354	0.0147447	0.000215526	0.0108065	0.000738372	0.0049959	0.0413938	0.0115698	0.00203477	0.00261997	0.0030477	0.00199068	0.007292	0.0204161	0.0307779	0.0289561	0.00291781	0.000840364	0.0116131	0.00711714	0.0368443	0.0301478	0.0120701	0.00318672	0.00274294	0.00645904	0.013288	0.00251382	0.00258173	0.000486977	0.0078574	0.0059278	0.0052918	0.014879	0.00115315	0.00237827	0.00894046	0.0131669	0.00398635	0.00161815	0.00439143	0.00457379	0.00383269	0.00176909	0.00765778	0.00754417	0.00299389	0.0214402	0.0357744	0.0175485	0.0220681	0.00219159	0.00170349	0.0140314	0.000848497	4.42751e-05	0.0011402	0.0111579	0.00508084	0.00391253	0.0140833	0.0208164	0.00821952	0.0166075	0.00135006	0.00106396	0.000903579	0.00623989	0.00148734	0.00203961	0.000327075	0.0293679	0.0141351	0.013551	0.0297821	0.00997512	0.000828076	0.00467044	0.0133269	0.0164155	2.46514e-05	0.00685072	0.0039897	0.00392263	0.0106292	0.000589115	0.0162663	0.00280861	0.00894618	4.72354e-05	0.0405338	0.0139891	0.00940331	0.0016666	0.0608981	0.000170582	0.000497375	0.0237071	0.0179855	0.000262896	0.0131817	0.00090066	0.00609396	0.0504918	0.0141127	0.00248199	0.00319582	0.00371756	0.00242821	0.00889472	0.0249034	0.0375427	0.0353205	0.00355912	0.8198121
180	-172.3412	-345.745	173.4037	0.00501837	0.007198	0.0100772	0.0272672	0.0175341	0.00864277	0.000104884	0.00131134	0.00941203	0.014618	0.00108448	0.00349804	0.00169708	0.0140617	0.00535492	0.00421735	0.013876	0.00988408	0.00295106	0.00609462	0.0147136	0.0360571	0.00150232	0.00144806	0.000891325	0.00186946	0.00421036	0.00911349	0.00151234	0.00105427	0.00976989	0.0293815	0.0117308	0.00667275	0.000916048	0.00590216	0.0401448	0.000211836	0.00157997	0.00319278	0.00423857	0.0186206	0.00584532	0.0130248	0.00726615	0.0199589	0.0266596	0.00351486	0.00936925	0.00527449	0.0110356	0.00724044	0.00665287	0.0106844	0.0108594	0.0146175	0.0143758	0.00999729	0.0490332	0.000801566	0.00294391	0.00859141	0.00469325	0.000919673	0.00171447	0.0114187	0.00351663	0.00308554	0.01968	0.0271532	0.0200226	0.000459525	0.000776494	0.0135388	0.00486354	0.0104568	0.0080147	0.00288689	0.000997113	0.0074822	0.0128106	0.00591192	0.00464072	0.00258544	0.0183023	0.0127263	0.00471957	0.0153366	0.0358144	0.0038462	0.0182886	0.000862511	0.0040213	0.0235917	0.00189883	0.0105797	0.000540117	0.00542796	0.00778549	0.0108997	0.0294927	0.0189651	0.00934817	0.000113445	0.00141837	0.0101802	0.0158111	0.00117299	0.00378354	0.00183559	0.0152094	0.00579198	0.00456156	0.0150085	0.0106908	0.00319192	0.00659205	0.0159145	0.039	0.00162493	0.00156625	0.000964073	0.00202204	0.004554	0.00985732	0.00163577	0.00114032	0.0105673	0.0317796	0.0126883	0.00721737	0.000990814	0.00638389	0.0434213	0.000229126	0.00170892	0.00345337	0.00458452	0.0201403	0.00632241	0.0140878	0.00785919	0.0215879	0.0288355	0.00380174	0.010134	0.00570499	0.0119363	0.00783139	0.00719587	0.0115565	0.0117457	0.0158106	0.0155492	0.0108132	0.0530352	0.000866989	0.00318419	0.00929262	0.0050763	0.000994735	0.0018544	0.0123507	0.00380365	0.00333738	0.0212863	0.0293694	0.0216568	0.000497031	0.000839869	0.0146438	0.0052605	0.0113102	0.00866885	0.00312251	0.00107849	0.00809288	0.0138562	0.00639444	0.00501948	0.00279646	0.0197961	0.013765	0.00510477	0.0165883	0.0387375	0.00416012	0.0197812	0.000932908	0.00434951	0.0255172	0.00205381	0.0114432	0.0005842	0.9245409
216	-169.3247	-342.7741	173.4494	0.00307937	0.0407103	0.00843866	0.0438392	0.0201892	0.0104292	0.000103914	0.00804334	0.00270308	0.00430428	0.00154675	0.00331596	0.00484937	0.00714594	0.00823167	0.0019286	0.0218295	0.00780845	0.00410704	0.00483032	0.0032678	0.0133037	0.00451406	0.00471868	0.00536187	0.000972156	0.00346561	0.0237597	0.00122994	0.000184069	0.0140632	0.024229	0.0067748	0.00218662	0.00195017	0.00442084	0.03105	0.00124447	0.000457505	0.00813222	0.00535069	0.000208469	0.000317708	0.0148811	0.0233593	0.00157064	0.0121572	0.00362883	0.00335076	0.00941642	0.00662464	0.0122396	0.00685685	0.0410282	0.00259043	0.0117983	0.00563275	0.0114634	0.00765494	0.00264696	0.00161825	0.00458829	0.00182551	0.00402511	0.00389756	0.0122433	0.000374646	0.0119568	0.00451757	0.0510052	0.00902368	0.00449341	0.00237623	0.0205815	0.00222056	0.00736762	0.0074614	0.001375	0.0109027	0.0113021	0.0153506	0.00764519	0.00314897	0.00889557	0.00547806	0.010947	0.00297409	0.0118816	0.0200337	0.00846587	0.00269631	0.00056917	0.00291737	0.0252748	0.0113699	0.0133271	0.00347603	0.00352691	0.046627	0.00966511	0.0502106	0.0231234	0.011945	0.000119017	0.00921233	0.00309594	0.00492985	0.00177155	0.00379789	0.00555416	0.00818451	0.00942803	0.00220889	0.0250021	0.0089433	0.00470394	0.00553234	0.00374274	0.0152372	0.00517012	0.00540448	0.00614115	0.00111345	0.00396929	0.0272129	0.0014087	0.000210821	0.0161071	0.0277504	0.00775943	0.00250442	0.0022336	0.00506335	0.0355628	0.00142533	0.000523998	0.00931414	0.00612834	0.000238768	0.000363882	0.0170439	0.0267543	0.00179891	0.0139241	0.00415623	0.00383775	0.010785	0.00758744	0.0140185	0.0078534	0.0469911	0.00296692	0.013513	0.00645139	0.0131295	0.00876748	0.00303167	0.00185345	0.00525513	0.00209082	0.0046101	0.00446402	0.0140226	0.000429096	0.0136946	0.00517413	0.0584181	0.0103352	0.00514646	0.00272158	0.0235728	0.00254329	0.00843841	0.00854581	0.00157483	0.0124872	0.0129448	0.0175816	0.00875632	0.00360663	0.0101884	0.00627422	0.012538	0.00340634	0.0136085	0.0229453	0.00969628	0.00308818	0.000651892	0.00334138	0.0289482	0.0130223	0.015264	0.00398122	0.8731056
252	-172.2266	-345.5027	173.2761	0.00100423	0.0100692	0.00121607	0.0481779	0.0134543	0.00471483	0.0030101	0.00781561	0.00515598	0.00525997	0.00610217	0.000279273	0.00928883	0.0137986	0.00362312	0.000409874	0.00737276	0.00505033	0.00284503	0.00100173	0.0295751	0.00351588	0.00423744	0.00155789	0.00146335	0.0131151	0.00456315	0.0247739	0.00394486	0.0124177	0.0137044	0.0252363	0.0135032	0.00712551	0.00930044	0.00318375	0.0475656	0.00242458	0.00149169	0.0017865	0.00324553	0.000944774	0.00424419	0.0457881	0.0153601	0.000200314	0.0231095	0.00147625	0.0106296	0.0110278	0.0139601	0.00350645	8.44597e-05	0.00485655	0.00108608	0.013444	0.0085419	0.035468	0.0150015	0.00104849	0.0206181	0.0241612	0.00442634	0.00179991	0.00589485	0.00672655	0.000803538	0.00507604	0.00287801	0.0234566	0.000854144	0.00858329	0.0154277	0.042365	0.00741069	0.00367361	0.00531321	0.00684506	0.0006819	0.0275431	0.0103383	0.047826	0.0153702	0.00826213	0.0120156	0.00980379	0.0221961	0.0232889	0.00251439	0.00205602	0.0185034	0.00018909	0.0185404	0.0272335	0.00610095	0.0175468	0.0102715	0.000952999	0.0095555	0.00115404	0.0457202	0.0127679	0.00447431	0.00285655	0.00741692	0.00489296	0.00499164	0.00579088	0.000265026	0.00881497	0.0130947	0.0034383	0.000388965	0.00699665	0.0047927	0.0026999	0.000950624	0.0280663	0.00333653	0.00402127	0.00147842	0.0013887	0.0124461	0.00433037	0.0235101	0.00374362	0.0117842	0.0130053	0.0239489	0.0128144	0.00676201	0.00882599	0.00302134	0.0451391	0.00230089	0.0014156	0.00169537	0.00307997	0.000896578	0.00402768	0.0434523	0.0145765	0.000190095	0.0219307	0.00140094	0.0100873	0.0104652	0.0132479	0.00332757	8.01511e-05	0.0046088	0.00103068	0.0127581	0.00810615	0.0336587	0.0142362	0.000995002	0.0195663	0.0229287	0.00420054	0.00170809	0.00559413	0.00638341	0.000762547	0.00481709	0.0027312	0.02226	0.000810571	0.00814543	0.0146407	0.0402038	0.00703265	0.00348621	0.00504217	0.00649587	0.000647114	0.026138	0.00981089	0.0453862	0.0145861	0.00784065	0.0114026	0.00930367	0.0210638	0.0221008	0.00238612	0.00195113	0.0175595	0.000179444	0.0175946	0.0258442	0.00578972	0.0166516	0.00974747	1.053755
288	-176.8823	-350.4362	173.5539	0.00927992	0.00796245	0.00854081	0.0199229	0.00900169	0.0123551	0.00670464	0.00484279	0.00223359	0.0237829	0.00151535	0.000790793	0.00103504	0.00648123	0.00761855	0.0107726	0.0105405	0.0024089	0.00351639	0.00518986	0.00439359	0.013863	0.000690634	0.0055124	0.00587879	0.011494	0.00161205	0.0155469	0.00557696	0.00592375	0.00994532	0.0326065	0.00580219	0.0152431	0.0025709	0.00610158	0.00692582	0.0129622	0.0017069	0.00430197	0.00454434	0.00180885	0.00147551	0.0067316	0.00664589	2.21719e-05	0.0266699	0.000949265	0.0013837	0.00734012	0.00645257	0.00176598	4.53454e-05	0.00608273	2.35752e-05	0.0175136	0.0129356	0.011349	0.00601752	0.00150558	0.00225756	0.00739889	0.00140039	0.00263022	0.00995112	0.00466498	0.00138995	0.00426154	0.00402928	0.00487108	0.00381973	0.0104828	0.00449726	0.033162	0.00986556	0.00593662	0.00129122	0.0226178	0.00740236	0.00383288	0.00951313	0.0135824	0.00996911	0.0052496	0.00410647	0.0106916	0.0107022	0.011311	0.00498965	0.00520138	0.00746628	0.0074877	0.0139606	0.00350625	0.0122892	0.0091244	0.00483104	0.0126401	0.0108456	0.0116334	0.0271369	0.0122612	0.0168288	0.00913236	0.00659634	0.00304236	0.0323946	0.00206405	0.00107714	0.00140982	0.00882806	0.0103772	0.0146733	0.0143571	0.00328115	0.00478966	0.00706908	0.00598449	0.0188827	0.00094071	0.00750841	0.00800747	0.0156559	0.00219577	0.0211764	0.00759636	0.00806872	0.0135465	0.0444132	0.00790314	0.0207626	0.00350181	0.00831094	0.00943363	0.0176558	0.00232496	0.0058597	0.00618983	0.00246383	0.00200978	0.00916909	0.00905234	3.02002e-05	0.036327	0.00129299	0.00188473	0.00999795	0.00878903	0.00240543	6.17648e-05	0.00828526	3.21116e-05	0.0238552	0.0176195	0.0154584	0.00819645	0.00205075	0.00307501	0.010078	0.00190747	0.00358261	0.0135544	0.00635414	0.00189324	0.00580463	0.00548826	0.00663488	0.00520285	0.0142786	0.0061257	0.0451698	0.0134378	0.00808625	0.00175877	0.0308076	0.0100827	0.00522075	0.0129578	0.0185006	0.0135789	0.00715046	0.00559341	0.014563	0.0145774	0.0154067	0.00679638	0.00708478	0.0101698	0.010199	0.0190156	0.00477585	0.0167391	0.0124283	0.00658033	0.7341626
324	-172.1903	-345.7483	173.5581	0.00888517	0.00332918	0.00017096	0.0284586	0.0171197	0.0291775	0.00727546	0.000466185	0.000888867	0.00986064	0.00395576	7.93544e-05	0.000921798	0.0102004	0.00243972	0.009847	0.0060734	0.00166315	0.00111492	0.00360596	0.0048012	0.00559846	0.000927143	0.00244708	0.000432444	0.00261827	0.000184916	0.00419548	0.00209721	0.00411808	0.0125071	0.0238864	0.00488199	0.0037414	0.00263784	0.000733918	0.00287286	0.0326969	0.000463175	0.0136586	0.0167935	0.000927603	0.00192191	0.0112032	0.0230268	1.39103e-05	0.00457032	0.00108208	0.00227006	0.00562736	0.0049668	0.00832705	3.04336e-05	0.00724711	9.39206e-06	0.00480381	0.00977204	0.0165986	0.00102843	0.00669689	0.00475649	0.00696612	0.000521558	0.00251348	0.00211991	0.00605381	0.000520385	0.000351677	0.00745893	0.000889224	0.016783	0.0143713	0.00118104	0.0282783	0.00879368	0.0178724	0.00395557	0.0189148	0.00421676	0.0097217	0.00806865	0.0205212	0.0079016	0.0129625	0.0189314	0.0041585	0.0148672	0.002	0.00107736	0.000843579	0.00203759	0.00384085	0.0057417	0.0280357	0.0153574	0.0244955	0.00259418	0.0122112	0.00457539	0.000234956	0.0391115	0.0235281	0.0400995	0.00999889	0.000640692	0.0012216	0.0135518	0.00543652	0.000109059	0.00126686	0.0140187	0.00335298	0.013533	0.00834687	0.00228572	0.00153227	0.00495579	0.00659844	0.00769414	0.0012742	0.0033631	0.000594321	0.00359837	0.000254136	0.00576597	0.00288226	0.00565961	0.017189	0.0328278	0.00670947	0.00514192	0.00362527	0.00100865	0.00394826	0.0449364	0.000636555	0.0187715	0.0230799	0.00127483	0.00264134	0.0153969	0.0316465	1.91173e-05	0.00628113	0.00148713	0.00311982	0.00773386	0.00682602	0.0114441	4.18258e-05	0.00995993	1.29078e-05	0.00660203	0.01343	0.0228119	0.0014134	0.00920374	0.00653699	0.00957375	0.000716793	0.00345436	0.00291346	0.00831993	0.000715181	0.000483321	0.010251	0.00122209	0.0230654	0.019751	0.00162314	0.0388638	0.0120854	0.0245626	0.00543626	0.0259952	0.00579522	0.0133608	0.011089	0.0282029	0.0108594	0.0178148	0.026018	0.00571515	0.0204325	0.00274867	0.00148064	0.00115936	0.00280032	0.00527861	0.00789099	0.0385304	0.0211062	0.0336649	0.00356526	0.7276268
