Iteration	Posterior	Likelihood	Prior	gain_loss_neo	gain_loss_trans	part_rate_trans	site_rates_raw[1]	site_rates_raw[2]	site_rates_raw[3]	site_rates_raw[4]	tree_length
0	-1777.895	-1945.389	167.494	1.343814	1.104213	0.6824278	0.5492364	3.173792	0.7683333	0.2514561	0.9192523
6	-1777.271	-1943.364	166.0924	1.460189	0.8876017	0.7307885	0.5821603	3.90314	0.8295553	0.7357358	1.070853
12	-1775.988	-1943.403	167.4144	2.106853	0.8288598	0.7689604	0.2261919	3.101733	0.3245058	0.7486286	0.8320475
18	-1762.569	-1930.693	168.1242	1.808436	0.7779458	0.6251776	0.1557313	3.101733	0.4332698	0.4739471	0.7993917
24	-1758.999	-1927.263	168.2642	1.941749	0.8612568	0.8291913	0.3198623	2.133742	0.660318	0.4783253	0.8395335
30	-1759.844	-1928.012	168.1679	1.440003	0.9990027	1.207254	0.4137903	2.234916	0.4609644	0.5306935	0.8213828
36	-1756.312	-1924.703	168.3915	1.457208	1.021567	1.166018	0.3374979	2.282604	0.4655131	0.2812126	0.8846224
42	-1756.002	-1924.627	168.6249	1.149453	1.312512	0.8315479	0.3146441	2.282604	0.4400597	0.4416815	0.8846224
48	-1750.297	-1919.245	168.9477	1.224648	1.671199	0.8456582	0.2103837	1.99516	0.4391817	0.1324895	0.8295299
54	-1754.257	-1924.022	169.7648	1.174396	0.7925923	0.8572414	0.219457	1.99516	0.3559329	0.2141091	0.9054711
60	-1763.325	-1932.546	169.2209	1.180852	0.9713297	0.7555882	0.3843194	2.323567	0.4250149	0.1897749	0.8150568
66	-1762.107	-1931.059	168.9519	1.180852	0.8280918	0.8646774	0.2992128	2.323567	0.5923852	0.3183339	0.9227773
72	-1756.196	-1924.576	168.3804	2.061211	0.7481597	0.8484271	0.4320334	2.323567	0.301676	0.3446487	0.9135776
78	-1761.164	-1928.269	167.1055	1.692462	0.7586098	0.793427	0.6781123	3.39249	0.3391207	0.6212802	0.9257942
84	-1771.485	-1937.998	166.5136	1.594781	1.290201	0.521201	0.8204154	3.242804	0.31436	0.5343375	1.409352
90	-1779.029	-1944.034	165.0049	1.197911	0.7437157	0.5924897	0.5818249	4.563049	0.7499594	0.5194639	2.014625
96	-1771.686	-1934.099	162.4127	1.403567	0.9027013	0.7414213	1.230065	5.401308	0.5618284	0.9453817	2.252594
102	-1766.497	-1931.877	165.3799	1.663144	1.07428	0.6416254	0.8742888	3.706725	0.5144928	0.6524247	1.652966
108	-1771.16	-1938.298	167.1388	1.663144	0.7265626	0.6421593	0.1759832	2.961264	0.8067341	0.4470124	1.609802
114	-1769.079	-1936.482	167.403	1.28389	0.6807821	0.5910698	0.3140643	2.866795	0.6193188	0.6525299	1.698919
120	-1762.785	-1930.027	167.2416	1.971179	0.9601177	0.9731056	0.3946415	2.748701	0.3360703	0.1568375	1.477935
126	-1764.675	-1932.172	167.4971	1.62394	0.783903	0.7092277	1.365367	2.748701	0.243579	0.06482205	1.242421
132	-1765.409	-1933.87	168.461	1.136071	0.783903	0.6824167	0.4444178	2.524644	0.3259805	0.01280518	1.730085
138	-1765.368	-1934.464	169.0966	1.616197	0.7817487	0.5212367	0.4444178	1.899023	0.3525582	0.01886674	1.483873
144	-1775.58	-1944.477	168.8969	1.076485	1.015688	0.7571214	0.5040517	1.888256	0.3959789	0.3243113	1.371022
150	-1788.698	-1958.113	169.4154	1.276294	1.016222	0.5523488	0.4354671	1.888256	0.2215304	0.09010253	1.343828
156	-1777.027	-1945.238	168.2115	1.463665	1.383871	0.731	0.3233582	1.895872	0.1145278	0.3147961	1.695441
162	-1769.176	-1936.825	167.6485	1.45839	1.383871	0.7984787	0.4335768	1.770199	0.2742544	0.3263443	1.933459
168	-1759.386	-1928.14	168.7545	1.687674	1.159016	1.221218	0.2061972	1.490964	0.2880144	0.1419096	1.320959
174	-1762.892	-1928.593	165.7002	2.434112	1.580174	1.180735	0.2165627	3.029303	0.4191918	0.3589193	1.453289
180	-1764.794	-1932.6	167.806	2.101376	1.204196	1.175593	0.08968124	1.8189	0.367328	0.4291647	1.331841
186	-1760.367	-1928.647	168.2801	2.056568	1.216967	1.118027	0.09279038	1.706875	0.2975222	0.3215008	1.245722
192	-1758.674	-1928.593	169.919	1.79858	0.9292543	0.73901	0.05649898	1.216875	0.1865815	0.1714778	1.275065
198	-1758.407	-1927.839	169.4315	1.280939	0.9272379	1.151375	0.1373188	1.384686	0.2262889	0.169974	1.4879
204	-1769.095	-1938.363	169.2686	1.531036	1.379974	0.8493864	0.2571243	0.8632886	0.1137126	0.1770538	1.697225
210	-1754.795	-1924.021	169.2261	1.12039	1.597466	0.9077396	0.1865933	1.054553	0.1891236	0.1260753	1.719358
216	-1751.23	-1920.281	169.0507	1.482359	1.045474	0.6703026	0.2836859	1.614043	0.2040766	0.0789636	1.698166
222	-1755.589	-1925.317	169.7272	1.242937	0.9961668	1.021283	0.3227164	1.614043	0.1462289	0.1440685	1.069983
228	-1764.256	-1933.091	168.8345	1.854063	0.9961668	1.204109	0.3227164	1.614043	0.2161134	0.2427548	1.045772
234	-1770.003	-1938.256	168.2536	1.793745	1.283128	1.296333	0.2818543	1.690588	0.1961843	0.2021183	1.293032
240	-1757.511	-1924.092	166.5817	1.610271	1.283128	1.074864	0.34054	2.770317	0.2932483	0.5217485	1.673788
246	-1762.072	-1927.834	165.762	2.143322	1.566145	0.6979993	0.4031103	2.987595	0.3457537	0.5217485	1.767012
252	-1763.734	-1928.624	164.8904	2.136938	1.253608	0.6569799	0.7006821	2.452181	0.3880094	0.4252563	2.740193
258	-1761.573	-1927.923	166.3498	1.502277	1.303501	0.9902323	0.07230167	2.538775	0.5935831	0.4917147	2.1005
264	-1761.528	-1927.818	166.2901	1.793906	0.9514307	1.044818	0.2813293	2.16229	0.3980304	0.3233383	2.49682
270	-1762.003	-1929.862	167.8591	1.250988	0.935615	0.7458242	0.186456	1.381535	0.2883604	0.3801069	2.609029
276	-1764.668	-1931.458	166.7895	1.534836	0.8037884	0.7458242	0.3439557	1.761846	0.4684672	0.7244404	2.526082
282	-1765.246	-1931.14	165.8944	1.311292	1.317951	0.8145871	0.6802482	2.673867	0.3880466	0.4149609	2.31916
