Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	gain_loss_trans	tree_length
0	-1145.346	-1300.576	155.2296	1.575314	1.053605	0.9978565	9.441067
6	-1154.308	-1310.935	156.6268	1.727969	0.8925377	0.9139792	8.750434
12	-1167.709	-1321.795	154.0859	1.825828	1.009822	1.126292	9.86757
18	-1146.115	-1298.891	152.7754	1.959653	1.162048	0.977464	10.48467
24	-1148.489	-1304.478	155.9885	1.763988	1.16138	0.9880384	8.888414
30	-1164.181	-1317.227	153.046	1.754497	0.7373508	1.080176	10.61676
36	-1157.528	-1307.37	149.8418	2.071342	0.6185017	0.9208102	12.26559
42	-1156.706	-1306.882	150.176	1.97919	0.732622	1.105801	11.98968
48	-1155.273	-1308.954	153.6802	1.811135	0.8019925	0.8427389	10.34568
54	-1162.288	-1318.94	156.6517	1.652182	1.462278	1.884899	7.990414
60	-1161.948	-1319.584	157.6353	1.608346	0.9848233	1.916138	7.723709
66	-1149.298	-1306.06	156.7615	1.755017	1.042914	1.649864	8.206443
72	-1160.468	-1311.798	151.3291	1.877733	1.101608	1.095197	11.25544
78	-1151.525	-1303.974	152.4487	1.861136	1.101608	0.8623399	10.79938
84	-1141.468	-1293.038	151.5698	1.907193	0.8981188	1.099389	11.21819
90	-1145.287	-1300.723	155.4361	1.595307	0.7616619	1.324294	9.303627
96	-1143.857	-1299.587	155.7306	1.695374	0.8746732	0.8141547	9.303627
102	-1148.153	-1306.077	157.9243	1.626446	0.9899333	1.262129	7.878491
108	-1144.044	-1296.349	152.3047	1.978517	0.7650717	1.05565	10.88706
114	-1150.377	-1303.425	153.0475	1.825465	0.8962284	1.05565	10.51038
120	-1153.911	-1307.314	153.4024	1.714342	0.9593311	1.092382	10.33005
126	-1153.48	-1310.268	156.7878	1.767203	1.071445	0.9660664	8.521797
132	-1156.839	-1313.187	156.3477	1.734456	0.9039452	0.8729389	8.910504
138	-1158.343	-1313.005	154.6612	1.741881	0.7661898	0.9809736	9.811912
144	-1160.374	-1316.487	156.113	1.690707	1.384007	0.9189685	8.782846
150	-1158.758	-1317.456	158.6976	1.57179	0.8295824	1.396906	7.509734
156	-1159.069	-1316.717	157.6477	1.679593	1.193608	0.9015719	8.080573
162	-1154.233	-1310.06	155.8271	1.673494	0.8024151	1.235268	9.08064
168	-1154.069	-1308.81	154.7413	1.729768	0.9685051	1.012534	9.654341
174	-1154.837	-1309.209	154.3717	1.722166	1.291485	1.069822	9.654341
180	-1153.452	-1311.118	157.6663	1.683329	1.030391	0.7078657	8.254999
186	-1156.33	-1310.292	153.9617	1.863375	1.048645	0.8149977	10.05574
192	-1158.911	-1311.291	152.3793	1.74237	0.9011448	0.7288613	11.07047
198	-1148.596	-1302.289	153.6933	1.667623	0.8672558	0.8486075	10.37756
204	-1143.677	-1300.259	156.5822	1.615025	0.8672558	0.9766803	8.81407
210	-1146.439	-1298.917	152.4773	1.770845	0.9786832	0.8168498	10.91946
216	-1148.89	-1301.087	152.1975	1.936534	0.6431991	0.8148097	11.14926
222	-1149.545	-1301.901	152.3551	1.913703	1.050707	0.7469512	10.90623
228	-1139.816	-1292.348	152.532	1.933871	0.8071338	0.8333273	10.886
234	-1136.729	-1287.882	151.1537	1.719076	0.7961363	1.203124	11.53289
240	-1140.772	-1294.295	153.523	1.805575	0.7959281	0.9560835	10.37518
246	-1143.039	-1302.588	159.5487	1.66952	0.9855204	0.9813179	7.136807
252	-1143.824	-1299.491	155.6678	1.662523	0.9587458	1.126193	9.145882
258	-1137.444	-1293.809	156.3646	1.627865	0.9180898	1.143445	8.807673
264	-1137.55	-1294.743	157.1934	1.623379	0.768042	1.078583	8.482627
270	-1145.304	-1300.521	155.2173	1.640983	0.7643488	0.6584913	9.737091
276	-1145.089	-1298.155	153.0658	1.783414	1.018612	0.9077944	10.53624
282	-1145.524	-1297.902	152.3776	1.999074	0.7928279	0.8371165	10.93807
288	-1142.621	-1295.275	152.6537	1.813069	0.8774326	0.6533662	10.93807
294	-1146.575	-1300.948	154.3723	1.71504	0.8113786	0.9724333	9.95967
300	-1144.933	-1299.613	154.6801	1.768839	0.7346501	1.166932	9.705875
306	-1143.738	-1302.032	158.2937	1.634115	0.8982121	0.9023606	7.916808
312	-1143.753	-1301.462	157.7096	1.59375	1.127244	1.301767	7.916808
318	-1148.073	-1302.029	153.9561	1.719956	1.127244	1.026484	9.982349
324	-1161.648	-1315.982	154.3345	1.939514	0.8555921	0.6916583	9.982349
330	-1160.138	-1314.989	154.8513	1.706338	1.374393	1.103071	9.349802
336	-1160.815	-1315.708	154.8931	1.706338	1.19755	1.323519	9.304139
342	-1156.267	-1311.845	155.5773	1.654772	0.9585782	0.9513324	9.290176
348	-1140.454	-1292.851	152.3962	1.898305	1.095689	0.7840752	10.85063
354	-1139.296	-1297.055	157.7597	1.638982	0.7998165	1.13746	8.12554
360	-1149.645	-1306.082	156.4365	1.619935	1.162081	1.038464	8.700168
366	-1150.814	-1304.285	153.4717	1.938513	0.8879672	1.28221	10.11472
372	-1151.75	-1310.907	159.1574	1.645077	0.962892	0.7432631	7.497663
378	-1147.811	-1305.065	157.2542	1.666119	0.8058023	1.007984	8.445671
384	-1143.931	-1301.314	157.3824	1.733047	0.7775779	0.830912	8.450076
390	-1141.117	-1298.107	156.9904	1.786794	0.8370397	0.6833611	8.673415
396	-1155.035	-1310.149	155.1137	1.873626	0.8661301	0.897775	9.4962
402	-1147.183	-1302.512	155.3289	1.922632	1.100924	0.7679549	9.300135
408	-1143.377	-1296.704	153.3267	1.968204	0.8044826	1.051215	10.33852
414	-1160.301	-1315.172	154.8716	1.661173	0.8413973	0.9411736	9.725978
420	-1172.578	-1325.82	153.2416	1.723364	0.7229743	1.167504	10.49199
