Iteration	Posterior	Likelihood	Prior	er_morph[1]	er_morph[2]	er_morph[3]	er_morph[4]	er_morph[5]	er_morph[6]	er_morph[7]	er_morph[8]	er_morph[9]	er_morph[10]	er_morph[11]	er_morph[12]	er_morph[13]	er_morph[14]	er_morph[15]	er_morph[16]	er_morph[17]	er_morph[18]	er_morph[19]	er_morph[20]	er_morph[21]	er_morph[22]	er_morph[23]	er_morph[24]	er_morph[25]	er_morph[26]	er_morph[27]	er_morph[28]	er_morph[29]	er_morph[30]	er_morph[31]	er_morph[32]	er_morph[33]	er_morph[34]	er_morph[35]	er_morph[36]	tree_length
0	-2110.934	-2376.689	265.7549	0.927854	1.24094e-07	0.000161489	1.18142e-09	0.00074751	0.000250882	0.00017712	1.53423e-05	0.00220752	0.00098474	0.00106743	0.00101408	0.00661475	0.000425213	0.00316173	0.000165057	0.001369	0.000842574	0.00190537	0.00172958	0.00287097	0.00201528	0.000470387	0.00896546	0.000799517	0.00204856	0.00280862	0.00965051	0.00183303	0.00300727	0.00206405	0.00117304	0.00065271	0.00326071	0.00290176	0.00478451	0.6051296
6	-2105.164	-2370.925	265.7608	0.928926	1.24237e-07	0.000161676	1.18278e-09	0.000748373	0.000251172	0.000177325	1.536e-05	0.00221007	0.000985878	0.00106866	0.00101525	0.00662239	0.0025278	0.00316538	0.000165248	0.00137058	0.000843547	0.00190757	0.00173158	0.00287429	0.00201761	0.00047093	0.00897582	0.000800441	0.00205093	0.00189312	0.00966166	0.00183515	0.00127319	0.00321514	0.00059697	0.000653464	0.00326448	0.00173258	0.00479004	0.5866449
12	-2102.528	-2368.297	265.7689	0.915518	4.03961e-07	5.32619e-05	0.00261218	0.0039969	9.88808e-05	0.000160401	0.00070978	0.00129877	0.00284124	0.00129699	0.000433621	0.0158869	0.000911607	0.00972471	6.51913e-05	0.00158872	0.00343162	0.000435109	0.00329561	0.00239702	0.00294609	0.00194794	0.00125264	0.000368924	0.00131267	0.00220368	0.00433469	0.00321104	0.0011564	0.00205438	0.00153705	0.00118944	0.00316683	0.00175478	0.0048063	0.5538296
18	-2107.347	-2373.115	265.7678	0.918975	4.05486e-07	5.3463e-05	0.00262204	0.00401199	0.000359578	0.000161006	0.00071246	0.000584908	0.00285197	0.00117134	0.000435258	0.0159469	0.000915049	0.00976143	6.54375e-05	0.00159471	0.00344458	0.000436752	0.00344472	0.00240607	0.00295721	0.0019553	0.00125737	0.000370317	0.00131763	0.002212	0.00435106	0.000833988	0.00116076	0.00206214	0.00154286	0.00119393	0.00317879	0.00176141	0.00389002	0.5592373
24	-2115.896	-2381.668	265.7722	0.933595	2.548e-07	0.000162489	1.18873e-09	0.000752134	0.000605165	9.01313e-05	6.53164e-05	0.000405295	0.000990833	0.000997391	0.00131491	0.00311942	0.0025405	0.00318129	0.000166079	0.00104188	0.000847787	0.00191716	0.00188344	0.00191707	0.00484815	0.00135618	0.00902093	0.000804463	0.00206124	0.00190263	0.00971022	0.000473048	0.000730983	0.0032313	0.00059997	0.000656748	0.00328088	0.00174128	0.00398869	0.5334253
30	-2107.993	-2373.753	265.7595	0.937692	9.25589e-08	0.00039098	1.97796e-08	0.000962468	0.000722925	0.000265219	0.000115885	0.000495472	0.00258076	0.00580595	0.00163396	0.00313143	0.000695309	0.00282578	0.000116586	0.00250127	0.00561633	0.0019615	0.00222882	0.00177048	0.00325975	0.000742012	0.00086231	0.00157781	0.0035229	0.00222196	0.00423809	0.000791936	0.000778342	0.00135414	6.05749e-05	0.000899541	0.00198356	0.000878517	0.00531484	0.5910352
36	-2109.172	-2374.93	265.758	0.937579	2.18958e-07	0.000847919	1.97772e-08	0.000962352	0.000722838	0.000265187	0.000115871	0.000495412	0.00258045	0.00580525	0.00163376	0.00313105	0.000695225	0.00282544	0.000116572	0.00250097	0.00561566	0.00196126	0.00222855	0.00177027	0.00325935	0.000741922	0.000862206	0.00104371	0.00352248	0.00241924	0.00423758	0.00079184	0.000778248	0.00135397	6.05676e-05	0.000899433	0.00198332	0.000878411	0.0053142	0.5958981
42	-2112.698	-2378.463	265.765	0.921974	4.0681e-07	0.00034067	0.0026306	0.00402508	0.000282282	0.000161532	0.000714785	0.000655753	0.00286127	0.00117517	0.000436678	0.015999	0.000327051	0.00979328	6.5651e-05	0.00159992	0.00422573	0.000438177	0.00345596	0.00241392	0.00337077	0.00196168	0.00126147	0.00025146	0.00108404	0.00221922	0.00436526	0.00083671	0.000675942	0.00206887	0.000333852	0.00119782	0.00112659	0.00176715	0.00390271	0.5714367
48	-2110.138	-2375.898	265.7597	0.92147	4.06587e-07	0.000340484	0.00262916	0.00402288	0.000282128	0.000161443	0.000714394	0.000655394	0.00285971	0.00117452	0.00043644	0.0165414	0.000326873	0.00978793	6.56151e-05	0.00159904	0.00473433	0.000437938	0.00345407	0.0024126	0.00336892	0.00196061	0.00126078	0.000251322	0.00108345	0.00221801	0.00436287	0.000836252	0.000675572	0.00206774	0.000333669	0.00142112	0.00112597	0.00102679	0.00390058	0.5904239
54	-2097.228	-2362.998	265.7706	0.939431	3.78771e-07	0.000410987	8.47363e-08	0.000964253	0.000393824	0.000265711	0.000116477	0.000539642	0.00258555	0.00272215	0.00163699	0.00582344	0.000696598	0.00283102	0.000116802	0.00250591	0.00645728	0.00121505	0.00223295	0.00177376	0.00261317	0.000743388	0.000808658	0.00104577	0.00352944	0.00242402	0.00424595	0.000793404	0.000779785	0.00135665	6.06873e-05	0.00109967	0.00198724	0.000467449	0.0053247	0.5441737
60	-2102.869	-2368.639	265.7706	0.942122	3.79856e-07	0.000412164	8.49791e-08	0.000818256	0.000394952	0.000266472	0.000116811	0.000541188	0.00127904	0.00229541	0.00164168	0.00584012	0.000698594	0.00283913	0.000117137	0.00251309	0.00464518	0.00121853	0.00223935	0.00177884	0.00262066	0.000745517	0.000810974	0.00104877	0.00353955	0.00243096	0.00425811	0.000795677	0.00152195	0.00136053	0.000184062	0.00110282	0.00199293	0.000468788	0.00533995	0.5441737
66	-2098.951	-2364.714	265.7628	0.938176	3.78265e-07	0.000410438	8.46231e-08	0.000814829	0.000393298	0.000535565	0.000116321	0.000538921	0.00127368	0.00228579	0.0016348	0.00581566	0.00165301	0.00282724	0.000116646	0.00250256	0.00462572	0.00121343	0.00222997	0.00177139	0.00260968	0.00232795	0.000807577	0.00104438	0.00352472	0.00242078	0.00424027	0.000792344	0.00151557	0.00135484	0.000183291	0.0010982	0.00336034	0.000466824	0.00531758	0.5797898
