Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	part_rate_trans	root_freq_neo[1]	root_freq_neo[2]	root_freq_trans[1]	root_freq_trans[2]	tree_length
0	-88.06055	-254.4013	166.3407	0.7119966	3.591186	1.186262	0.802425	0.197575	0.670042	0.329958	2.103669
6	-82.58935	-250.3415	167.7522	0.1055517	2.663301	1.186262	0.888218	0.111782	0.406021	0.593979	2.118001
12	-64.65556	-231.6623	167.0067	0.1003168	4.363943	1.300602	0.919798	0.0802022	0.728132	0.271868	1.975189
18	-63.2673	-230.8865	167.6192	0.3344424	4.363943	1.649526	0.919798	0.0802022	0.877771	0.122229	1.33449
24	-70.98056	-240.5619	169.5814	0.8142802	0.7205697	0.987684	0.840172	0.159828	0.33615	0.66385	1.627123
30	-66.15131	-232.085	165.9336	0.5806181	6.807866	2.086728	0.988578	0.0114219	0.46922	0.53078	1.578996
36	-61.5148	-229.7416	168.2268	0.2614084	3.121651	2.000663	0.961898	0.0381023	0.460144	0.539856	1.182364
42	-69.98744	-238.5011	168.5137	0.09216536	2.230958	2.296357	0.893268	0.106732	0.707322	0.292678	1.057363
48	-63.63687	-232.2086	168.5717	0.3972797	3.837649	1.188465	0.978084	0.021916	0.648266	0.351734	1.331533
54	-54.03714	-220.2538	166.2167	0.4732632	7.962232	1.252812	0.949798	0.0502019	0.390682	0.609318	1.178255
60	-71.16345	-239.1941	168.0306	0.4029334	6.943067	1.788662	0.998589	0.00141097	0.391329	0.608671	1.082084
66	-76.04807	-244.5059	168.4579	0.5355922	2.809456	1.788662	0.961505	0.0384954	0.499952	0.500048	1.109981
72	-82.34007	-249.0561	166.716	1.081723	5.472016	0.6350753	0.97888	0.0211202	0.761412	0.238588	2.020898
78	-66.90991	-233.8151	166.9052	0.5635123	4.636925	0.980019	0.992968	0.0070322	0.380598	0.619402	2.55262
84	-59.83492	-227.1422	167.3073	0.2484895	10.89122	0.7158753	0.99756	0.00243978	0.604692	0.395308	1.299356
90	-52.6998	-218.8558	166.156	0.08203205	8.393455	2.042903	0.960553	0.0394475	0.449235	0.550765	0.7479946
96	-50.22042	-216.4898	166.2693	0.07447537	8.393455	2.036049	0.974794	0.0252058	0.365624	0.634376	0.9339909
102	-66.27365	-234.155	167.8814	0.07447537	5.218895	1.347857	0.974124	0.0258757	0.245859	0.754141	1.416498
108	-80.21653	-244.3423	164.1258	1.967492	5.065697	2.488615	0.982966	0.0170338	0.478897	0.521103	2.022818
114	-74.42667	-241.7987	167.372	0.3548448	3.75872	1.019456	0.934975	0.0650247	0.482959	0.517041	1.975186
120	-81.73314	-248.2218	166.4887	0.3414753	3.751821	1.529272	0.814565	0.185435	0.405799	0.594201	1.944079
126	-75.30099	-241.8864	166.5854	0.3450147	3.193934	1.524592	0.722028	0.277972	0.442454	0.557546	2.018816
132	-88.56474	-253.4405	164.8758	0.257275	7.599476	1.939882	0.876064	0.123936	0.478632	0.521368	1.628611
138	-77.39056	-244.5591	167.1685	0.7143664	2.886812	1.915899	0.878488	0.121512	0.445448	0.554552	1.443378
144	-64.45598	-230.3383	165.8823	1.000718	4.483418	2.635065	0.918072	0.0819275	0.656209	0.343791	1.016861
150	-67.91924	-234.5712	166.6519	0.7799799	5.590331	1.658504	0.932041	0.0679587	0.570753	0.429247	0.9089216
156	-60.0857	-225.1881	165.1024	0.4861494	9.506436	1.279035	0.900658	0.099342	0.659989	0.340011	1.367253
162	-67.34794	-236.2118	168.8639	0.5608847	4.599138	0.9661248	0.992211	0.00778931	0.690407	0.309593	1.223178
168	-70.76504	-236.7587	165.9937	2.363001	3.282415	1.187604	0.972411	0.0275891	0.472164	0.527836	1.91989
174	-73.76585	-241.396	167.6302	0.3984252	3.189047	1.049544	0.904292	0.0957084	0.562392	0.437608	1.885671
