Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	br_lengths[58]	br_lengths[59]	br_lengths[60]	br_lengths[61]	br_lengths[62]	br_lengths[63]	br_lengths[64]	br_lengths[65]	br_lengths[66]	br_lengths[67]	br_lengths[68]	br_lengths[69]	br_lengths[70]	br_lengths[71]	br_lengths[72]	br_lengths[73]	br_lengths[74]	br_lengths[75]	br_lengths[76]	br_lengths[77]	br_lengths[78]	br_lengths[79]	br_lengths[80]	br_lengths[81]	br_lengths[82]	br_lengths[83]	br_lengths[84]	br_lengths[85]	br_lengths[86]	br_lengths[87]	br_lengths[88]	br_lengths[89]	br_lengths[90]	br_lengths[91]	br_lengths[92]	br_lengths[93]	br_lengths[94]	br_lengths[95]	br_lengths[96]	br_lengths[97]	part_rate_trans	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	rel_br_lengths[58]	rel_br_lengths[59]	rel_br_lengths[60]	rel_br_lengths[61]	rel_br_lengths[62]	rel_br_lengths[63]	rel_br_lengths[64]	rel_br_lengths[65]	rel_br_lengths[66]	rel_br_lengths[67]	rel_br_lengths[68]	rel_br_lengths[69]	rel_br_lengths[70]	rel_br_lengths[71]	rel_br_lengths[72]	rel_br_lengths[73]	rel_br_lengths[74]	rel_br_lengths[75]	rel_br_lengths[76]	rel_br_lengths[77]	rel_br_lengths[78]	rel_br_lengths[79]	rel_br_lengths[80]	rel_br_lengths[81]	rel_br_lengths[82]	rel_br_lengths[83]	rel_br_lengths[84]	rel_br_lengths[85]	rel_br_lengths[86]	rel_br_lengths[87]	rel_br_lengths[88]	rel_br_lengths[89]	rel_br_lengths[90]	rel_br_lengths[91]	rel_br_lengths[92]	rel_br_lengths[93]	rel_br_lengths[94]	rel_br_lengths[95]	rel_br_lengths[96]	rel_br_lengths[97]	tree_length
0	-801.0202	-971.8118	170.7916	0.00843144	0.0150635	0.000990753	0.00508104	0.006093	0.00388371	0.00666761	0.0209684	0.013734	0.00191537	0.00335518	0.0165127	0.011584	0.00399325	0.00143297	0.00684933	0.0285634	0.00098965	0.0084161	0.0304963	0.00753637	0.00474676	0.0417713	0.00452296	0.00718507	0.0185057	0.0138274	0.00888945	0.0205568	0.0384767	0.00858751	0.00230695	0.0133335	0.00122557	0.0100898	0.0293737	0.00415809	0.0377514	0.0128379	0.000267979	0.0129202	0.00347222	9.87677e-05	0.00432448	0.0282413	0.0150661	0.00442009	0.00781225	0.0121608	0.0182307	0.0529399	0.00779515	0.0044806	0.000869108	0.00119125	0.00446787	0.000339565	0.0338276	0.00594348	0.0195399	0.000933444	0.00142293	0.00950673	0.003195	0.0057926	0.0119842	0.00132582	0.00027129	0.0241208	0.0211068	0.00681831	0.0303226	0.0028634	0.00367298	0.00371044	0.00844515	0.024843	0.0031805	0.00428302	0.00882899	0.0166072	0.00970675	0.00619489	0.00262322	0.00381006	0.00367197	0.00104786	0.0274119	0.0074123	0.0165109	0.00186667	0.0124767	0.00781891	0.0111636	0.00515627	0.0073478	0.00109206	2.501336	0.00812542	0.0145168	0.000954795	0.00489663	0.00587186	0.00374276	0.00642561	0.0202074	0.0132355	0.00184585	0.00323341	0.0159134	0.0111636	0.00384832	0.00138096	0.00660074	0.0275267	0.000953731	0.00811064	0.0293895	0.00726284	0.00457448	0.0402553	0.0043588	0.00692429	0.017834	0.0133255	0.00856682	0.0198107	0.0370803	0.00827583	0.00222322	0.0128496	0.00118108	0.0097236	0.0283076	0.00400718	0.0363812	0.012372	0.000258253	0.0124512	0.0033462	9.5183e-05	0.00416752	0.0272163	0.0145193	0.00425967	0.00752871	0.0117195	0.0175691	0.0510185	0.00751224	0.00431798	0.000837564	0.00114802	0.00430571	0.00032724	0.0325999	0.00572776	0.0188308	0.000899565	0.00137128	0.00916169	0.00307904	0.00558237	0.0115493	0.0012777	0.000261444	0.0232453	0.0203407	0.00657085	0.029222	0.00275947	0.00353967	0.00357577	0.00813864	0.0239414	0.00306506	0.00412757	0.00850855	0.0160045	0.00935445	0.00597005	0.00252801	0.00367178	0.0035387	0.00100983	0.026417	0.00714328	0.0159116	0.00179892	0.0120239	0.00753513	0.0107584	0.00496912	0.00708112	0.00105242	1.037661
36	-800.2631	-971.2167	170.9536	0.00759865	0.0267498	0.00152552	0.0102176	0.00157312	0.0108265	0.00705749	0.00827653	0.00805286	0.000753077	0.0194646	0.00333064	0.0134244	0.00326588	0.0101542	0.00590475	0.0363181	0.00175999	0.00939423	0.0128019	0.00844606	0.00203152	0.0638433	0.00577613	0.029224	0.0103438	0.00947664	0.00352903	0.0251062	0.0176337	0.0257253	0.00418098	0.0342475	0.00251741	0.00142014	0.0383514	0.00350157	0.0254433	0.0191828	0.00538417	0.0129021	0.000373945	0.000599482	0.0181354	0.019774	0.014632	0.00131357	0.0104793	0.00736016	0.0114809	0.00746673	0.000722742	0.00755767	0.00578723	0.00148755	0.0020845	0.00163653	0.0496236	0.032629	0.0199137	0.000293705	0.0020783	0.00301299	0.0163781	0.0154226	0.00375789	0.00450091	0.0182157	0.0272394	0.00563119	0.00160949	0.0115386	0.00931176	0.0045939	0.00351789	0.000798769	0.00330226	0.00385573	0.0134405	0.0269487	0.0018275	0.00665029	0.00214725	0.0069313	0.00494021	0.0145788	0.000462204	0.00131488	0.0139481	0.00815165	0.00406496	0.0206976	0.0110557	0.0175286	0.00264343	0.000404703	0.0153901	2.307472	0.0071151	0.0250476	0.00142844	0.00956742	0.00147301	0.0101375	0.00660838	0.00774985	0.00754041	0.000705154	0.0182259	0.00311869	0.0125701	0.00305806	0.00950806	0.005529	0.0340069	0.00164799	0.00879642	0.0119873	0.00790859	0.00190224	0.0597806	0.00540856	0.0273643	0.00968559	0.00887359	0.00330445	0.0235085	0.0165116	0.0240882	0.00391492	0.0320682	0.00235721	0.00132977	0.0359109	0.00327875	0.0238242	0.0179621	0.00504155	0.0120811	0.000350149	0.000561333	0.0169814	0.0185157	0.0137009	0.00122998	0.00981243	0.00689179	0.0107503	0.00699157	0.000676749	0.00707673	0.00541896	0.00139288	0.00195185	0.00153239	0.0464657	0.0305526	0.0186465	0.000275014	0.00194604	0.00282125	0.0153359	0.0144412	0.00351875	0.00421449	0.0170566	0.025506	0.00527284	0.00150707	0.0108044	0.0087192	0.00430156	0.00329402	0.000747938	0.00309212	0.00361037	0.0125852	0.0252338	0.0017112	0.00622709	0.00201061	0.00649022	0.00462583	0.0136511	0.000432791	0.00123121	0.0130605	0.00763291	0.00380628	0.0193805	0.0103522	0.0164132	0.00247521	0.000378949	0.0144107	1.067961
72	-800.431	-971.616	171.1849	0.00216194	0.0141266	0.00549555	0.00578171	0.00751941	0.0136448	0.0128174	0.0164242	0.00177083	0.00259454	0.000559631	0.00200261	0.0176946	0.00761231	0.00873487	0.00386172	0.0235068	0.00362749	0.011244	0.00312421	0.0198136	0.00152134	0.0517692	0.0107035	0.0253282	0.0372461	0.0270469	0.00525841	0.00430435	0.0311058	0.017488	0.0070003	0.0260964	0.0223709	0.0034485	0.0248049	0.00200446	0.00893351	0.0141935	0.0074749	0.0100703	3.55435e-05	0.000385771	0.012595	0.0273945	0.0111599	0.00366089	0.0144247	0.0197806	0.0227049	0.00154742	0.0083127	0.0225644	0.00325922	0.016161	0.00529309	0.00414745	0.0301849	0.0195993	0.0136762	0.00128056	0.00227132	0.00307242	0.0149155	0.0474667	0.0135578	0.000830141	0.0203641	0.0204982	0.00359897	0.0111403	0.00556455	0.0195385	0.00541647	0.00716301	0.0038511	0.00233547	0.00633294	0.00524906	0.0411007	0.00598056	0.00268984	0.00484646	0.0136395	0.00251792	0.00902525	0.000205362	0.00230266	0.0309389	0.0045004	0.00957474	0.0551768	0.00530221	0.00910562	0.00343566	0.00154713	0.0196955	1.957377	0.00183962	0.0120205	0.00467623	0.00491973	0.00639836	0.0116106	0.0109065	0.0139756	0.00150682	0.00220773	0.000476198	0.00170405	0.0150565	0.00647741	0.00743262	0.00328599	0.0200023	0.00308668	0.00956771	0.00265843	0.0168597	0.00129453	0.0440511	0.00910774	0.0215521	0.0316932	0.0230145	0.00447445	0.00366263	0.0264683	0.0148807	0.00595665	0.0222058	0.0190357	0.00293437	0.0211068	0.00170562	0.00760164	0.0120774	0.00636049	0.00856898	3.02444e-05	0.000328258	0.0107173	0.0233103	0.00949614	0.0031151	0.0122742	0.0168316	0.0193199	0.00131672	0.00707338	0.0192004	0.00277331	0.0137516	0.00450396	0.00352912	0.0256847	0.0166773	0.0116373	0.00108964	0.00193269	0.00261436	0.0126918	0.04039	0.0115365	0.000706378	0.0173281	0.0174421	0.00306241	0.00947939	0.00473495	0.0166256	0.00460895	0.0060951	0.00327695	0.00198728	0.00538878	0.0044665	0.0349731	0.00508893	0.00228882	0.00412392	0.0116061	0.00214253	0.0076797	0.000174745	0.00195936	0.0263263	0.00382945	0.00814727	0.0469506	0.00451172	0.00774809	0.00292345	0.00131648	0.0167591	1.175208
108	-785.5224	-956.4972	170.9748	0.00382865	0.0290006	0.00312512	0.00613176	0.00501589	0.00349619	0.0415841	0.00610174	0.00240409	0.000318792	0.00214395	0.00706144	0.00476307	0.0108327	0.00375059	0.000937386	0.0196119	0.00180811	0.0161028	0.00551404	0.0132649	0.00241489	0.0483307	0.0035132	0.0100997	0.0240722	0.00247944	0.00675585	0.0018124	0.0239916	0.0257924	0.00542371	0.0115944	0.014666	0.000564683	0.0241472	0.000962769	0.0483275	0.0212898	0.00657529	0.0200696	0.000590747	0.0006965	0.0210088	0.0664059	0.0144026	0.000538163	0.0220569	0.0292224	0.0108308	0.0143668	0.006711	0.00635576	0.0025138	0.0124648	0.00956202	0.0153236	0.018602	0.0157071	0.0103685	0.000929426	0.00265286	0.00289333	0.0131007	0.0230523	0.00606734	0.001052	0.021986	0.0201253	0.000742802	0.00174701	0.0157092	0.0105579	0.00248205	0.0033845	0.00541913	0.0104776	0.0174226	0.0168861	0.0430742	0.00210145	0.000694443	0.0103562	0.000846986	0.00050015	8.39215e-05	0.00356869	0.00140931	0.00599474	0.00490319	0.0226541	0.021677	0.00966415	0.00322179	0.00367491	0.00190764	0.00920355	2.263034	0.0035137	0.026615	0.00286805	0.00562736	0.00460328	0.00320859	0.0381634	0.0055998	0.00220633	0.000292568	0.00196759	0.00648056	0.00437126	0.00994156	0.00344207	0.000860276	0.0179986	0.00165937	0.0147782	0.00506045	0.0121737	0.00221624	0.044355	0.0032242	0.0092689	0.022092	0.00227548	0.00620011	0.00166331	0.022018	0.0236707	0.00497755	0.0106407	0.0134596	0.000518232	0.0221608	0.000883571	0.0443521	0.0195385	0.0060344	0.0184187	0.000542152	0.000639205	0.0192806	0.0609433	0.0132178	0.000493893	0.0202425	0.0268186	0.00993987	0.013185	0.00615895	0.00583293	0.00230702	0.0114395	0.00877544	0.014063	0.0170718	0.014415	0.0095156	0.000852971	0.00243463	0.00265533	0.012023	0.021156	0.00556824	0.000965459	0.0201775	0.0184698	0.000681698	0.0016033	0.0144169	0.00968936	0.00227788	0.00310609	0.00497335	0.00961573	0.0159894	0.015497	0.0395309	0.00192859	0.000637318	0.00950428	0.000777312	0.000459008	7.70181e-05	0.00327513	0.00129338	0.00550161	0.00449985	0.0207905	0.0198938	0.00886918	0.00295676	0.00337261	0.00175072	0.00844646	1.089634
144	-793.0381	-964.0721	171.034	0.00759592	0.0346496	2.03094e-05	0.00439558	0.0131285	0.00557083	0.00823935	0.026213	0.00388854	0.000451983	0.0016896	0.00814408	0.0151772	0.0181403	0.0148461	0.00752834	0.0522159	0.00526811	0.00804366	0.0229463	0.0145476	0.00442445	0.0516848	0.0103553	0.00627765	0.06398	0.00967095	0.0239478	0.0219153	0.0442069	0.00457511	0.00331708	0.0113694	0.00333641	0.0183642	0.0158121	0.00477026	0.0223971	0.0240135	0.00238086	0.0241165	0.00217014	0.0109095	0.0262752	0.0393026	0.0133511	0.000545626	0.0276314	0.0302752	0.0370621	0.018189	0.00171083	0.000195046	0.00586574	0.0092221	0.0127861	0.0541248	0.0187906	0.00166335	0.0145232	0.00235902	0.0216593	0.00199353	0.00300592	0.0046706	0.00286686	0.0057518	0.0135235	0.00189771	0.00431473	0.0218027	0.0125647	0.0102051	0.00379025	3.85536e-06	0.00567309	0.00324447	0.0143844	0.00573803	0.00116159	0.0209956	0.00961119	0.0260014	0.0179308	0.00842908	0.000157775	0.00144111	0.00260988	0.00609207	0.0361496	0.00487099	0.010928	0.00347954	0.025703	0.0118471	0.0384203	0.0134593	1.901253	0.00563936	0.0257245	1.50781e-05	0.00326336	0.00974688	0.00413589	0.00611705	0.019461	0.00288693	0.000335561	0.00125439	0.00604632	0.0112678	0.0134677	0.011022	0.00558919	0.0387661	0.00391115	0.00597177	0.0170357	0.0108004	0.0032848	0.0383718	0.00768795	0.00466065	0.0475	0.0071799	0.0177793	0.0162704	0.0328201	0.00339665	0.00246266	0.00844083	0.00247701	0.0136339	0.0117392	0.00354153	0.016628	0.0178281	0.0017676	0.0179045	0.00161116	0.00809939	0.0195072	0.029179	0.0099121	0.000405083	0.0205141	0.0224769	0.0275156	0.0135039	0.00127016	0.000144806	0.00435484	0.00684667	0.00949266	0.0401833	0.0139505	0.0012349	0.0107823	0.00175138	0.0160803	0.00148004	0.00223165	0.00346755	0.00212841	0.00427024	0.0100401	0.0014089	0.00320334	0.0161868	0.00932827	0.00757648	0.00281396	2.8623e-06	0.00421181	0.00240876	0.0106792	0.00426002	0.000862389	0.0155875	0.00713553	0.0193039	0.0133122	0.00625791	0.000117135	0.00106991	0.00193763	0.00452287	0.0268382	0.00361632	0.00811318	0.00258328	0.0190824	0.0087955	0.028524	0.00999246	1.346948
180	-803.6504	-974.7032	171.0527	0.00439813	0.0137998	0.0025131	0.00385081	0.0017465	0.00267667	0.00745931	0.00557817	0.0096976	0.00109442	0.000639324	0.00336615	0.00591589	0.0143848	0.000800463	0.000706609	0.0420474	0.00270531	0.0134651	0.0164588	0.00972792	0.00233377	0.0453793	0.00821396	0.00974287	0.0120806	0.00525694	0.00661237	0.0190964	0.048742	0.0113673	0.00129569	0.0225449	0.00863246	0.00229377	0.0105848	0.000856408	0.0221676	0.028947	0.00584255	0.0216515	0.00689857	0.0094707	0.0232605	0.0224753	0.00375202	7.60491e-05	0.0185952	0.0217429	0.0186165	0.00334004	0.00300043	0.0014799	0.0110191	0.00876432	0.00266795	0.00347262	0.00168744	0.00308099	0.0134107	0.0031711	0.0143579	0.0220594	0.0141054	0.020246	0.0186737	0.0143768	0.0065226	0.00556888	0.00133003	0.00289013	6.14044e-06	0.00152533	0.0061531	0.0153964	0.00533697	0.0208794	0.00220708	0.0076679	0.00115341	0.00838198	0.00561714	0.000415033	0.00129324	0.0133852	0.0110083	0.00233489	0.0251236	0.00879177	0.0263375	0.00232664	0.0107544	0.00712885	0.00971819	0.0135353	0.00474263	0.00416318	2.305977	0.00452403	0.0141949	0.00258504	0.00396104	0.00179649	0.00275329	0.00767283	0.00573784	0.00997519	0.00112575	0.000657624	0.00346251	0.00608524	0.0147966	0.000823376	0.000726836	0.043251	0.00278275	0.0138506	0.01693	0.0100064	0.00240058	0.0466783	0.00844909	0.0100218	0.0124264	0.00540742	0.00680166	0.0196431	0.0501372	0.0116927	0.00133278	0.0231903	0.00887957	0.00235943	0.0108878	0.000880922	0.0228021	0.0297756	0.00600979	0.0222713	0.00709604	0.00974181	0.0239263	0.0231187	0.00385942	7.8226e-05	0.0191275	0.0223653	0.0191494	0.00343565	0.00308632	0.00152226	0.0113345	0.0090152	0.00274433	0.00357202	0.00173575	0.00316918	0.0137946	0.00326188	0.0147689	0.0226909	0.0145092	0.0208256	0.0192083	0.0147884	0.00670931	0.00572829	0.0013681	0.00297286	6.31621e-06	0.00156899	0.00632924	0.0158371	0.00548975	0.021477	0.00227026	0.0078874	0.00118642	0.00862192	0.00577793	0.000426914	0.00133026	0.0137683	0.0113234	0.00240172	0.0258427	0.00904344	0.0270914	0.00239324	0.0110622	0.00733291	0.00999637	0.0139228	0.00487839	0.00428235	0.9721714
216	-794.7689	-965.5927	170.8238	0.00371086	0.0229836	0.00124239	0.0118468	0.00189849	0.00166977	0.0362993	0.0106505	0.00799256	0.00645642	0.00315917	0.0181079	0.00612033	0.0154454	0.00199785	0.000456321	0.0666939	0.00285672	0.00687637	0.00475416	0.0151033	0.00372792	0.0329391	0.00231629	0.0105553	0.0260051	0.00044231	0.00383352	0.0102286	0.0316293	0.00991031	5.32846e-05	0.0257115	0.00892562	0.000697825	0.0249505	0.00234306	0.0150785	0.0129459	0.00229007	0.0123544	0.00479083	0.00963021	0.0122128	0.0562513	0.00718524	0.00015205	0.0188541	0.0207382	0.0170174	0.0019231	0.00537112	0.00465751	0.00568952	0.00689321	0.0113428	0.00108034	0.00947985	0.0116785	0.0121889	0.00565919	0.0243389	0.00417869	0.00376366	0.0558843	0.0117251	0.0340552	0.0101751	0.0022553	0.005846	0.0014621	0.000563736	0.000174628	0.0017716	0.0160807	0.00692287	0.0130482	0.00787039	0.00370453	0.000770195	0.00377789	0.00278299	0.00988457	0.00275839	0.00839424	0.00937481	0.0104674	0.0136793	0.00596767	0.0210324	0.00101417	0.00479761	0.00604193	0.00185795	0.00564844	0.00142231	0.0192962	2.467882	0.00357209	0.0221242	0.00119593	0.0114038	0.0018275	0.00160733	0.0349419	0.0102522	0.00769369	0.00621499	0.00304104	0.0174308	0.00589146	0.0148678	0.00192314	0.000439258	0.0642	0.0027499	0.00661923	0.00457638	0.0145385	0.00358852	0.0317074	0.00222968	0.0101606	0.0250327	0.00042577	0.00369017	0.00984615	0.0304465	0.00953973	5.12921e-05	0.0247501	0.00859186	0.000671731	0.0240175	0.00225544	0.0145147	0.0124618	0.00220443	0.0118924	0.00461169	0.00927011	0.0117561	0.0541479	0.00691655	0.000146364	0.0181491	0.0199627	0.016381	0.00185118	0.00517028	0.00448335	0.00547677	0.00663545	0.0109186	0.00103994	0.00912537	0.0112418	0.0117331	0.00544757	0.0234288	0.00402244	0.00362292	0.0537946	0.0112867	0.0327818	0.00979457	0.00217097	0.0056274	0.00140743	0.000542656	0.000168098	0.00170535	0.0154794	0.006664	0.0125603	0.00757608	0.003566	0.000741394	0.00363662	0.00267892	0.00951495	0.00265525	0.00808035	0.00902426	0.010076	0.0131678	0.00574452	0.0202459	0.000976245	0.00461821	0.005816	0.00178847	0.00543723	0.00136913	0.0185746	1.038846
252	-800.4025	-971.5762	171.1737	0.0153525	0.0294601	0.00537426	0.0109825	0.00710902	0.000171053	0.00670694	0.0104634	0.0162482	0.00614518	0.00214106	0.0119802	0.0207168	0.0087537	0.00868057	0.00863014	0.0439958	0.00497601	0.0104745	0.0134962	0.0267573	0.000237987	0.0654137	0.0111951	0.000390282	0.020779	0.0100651	0.00678087	0.00673392	0.0248532	0.0187913	0.00190228	0.0137969	0.000277365	0.000920487	0.0486437	0.00968237	0.0269868	0.0220157	0.00347536	0.0135468	0.000612564	0.00453614	0.0103671	0.0758304	0.0140782	0.000711738	0.011944	0.00772444	0.0234336	0.00112768	0.00869521	0.0103072	0.00516045	0.000352909	0.0113629	0.00115125	0.00331713	0.00569932	0.0143317	0.00359141	0.00725746	0.00629846	0.00878505	0.0179249	0.024275	0.0245497	0.000482217	0.0169942	0.00409212	0.0101126	0.00356343	0.00432279	0.00118935	0.0188139	0.0164509	0.0155459	0.0332488	0.0188841	0.0134081	0.00100846	0.00172463	0.00401846	0.00278	0.00564644	0.0144022	0.0159772	0.0186698	0.00618275	0.0273614	0.00378892	0.0116081	0.00186125	0.0103769	0.0135673	0.000539113	0.0158788	1.950368	0.0128901	0.024735	0.00451228	0.00922098	0.0059688	0.000143618	0.00563121	0.00878518	0.0136422	0.00515956	0.00179766	0.0100587	0.017394	0.00734969	0.00728829	0.00724595	0.0369393	0.0041779	0.0087945	0.0113315	0.0224657	0.000199816	0.054922	0.00939949	0.000327685	0.0174463	0.00845079	0.00569328	0.00565387	0.020867	0.0157774	0.00159717	0.011584	0.000232878	0.00077285	0.0408417	0.00812941	0.0226583	0.0184846	0.00291795	0.011374	0.000514315	0.00380858	0.00870435	0.0636679	0.0118202	0.000597582	0.0100283	0.00648552	0.0196751	0.000946809	0.00730059	0.00865406	0.00433276	0.000296306	0.00954038	0.000966604	0.00278509	0.0047852	0.012033	0.00301538	0.00609343	0.00528825	0.00737601	0.0150499	0.0203815	0.0206122	0.000404874	0.0142685	0.00343578	0.00849066	0.00299189	0.00362946	0.000998589	0.0157963	0.0138124	0.0130525	0.027916	0.0158553	0.0112576	0.000846712	0.00144802	0.00337394	0.00233411	0.0047408	0.0120923	0.0134146	0.0156754	0.00519109	0.0229729	0.00318122	0.00974624	0.00156272	0.00871253	0.0113913	0.000452645	0.013332	1.19103
288	-792.5042	-963.6897	171.1855	0.00799204	0.0206663	0.000479193	0.01088	0.0193364	6.64362e-05	0.00370031	0.0210637	0.00264817	0.00220417	0.00403929	0.0209015	0.0110162	0.00811043	0.00229257	0.000611213	0.0337516	0.00229603	0.00898387	0.0178476	0.0121822	0.000461322	0.0778031	0.00629591	0.00845277	0.0101943	0.00360533	0.0216139	0.00858407	0.0290872	0.0167635	0.00408347	0.0312191	0.000912006	0.0163851	0.0283333	0.00172953	0.0341971	0.0137701	0.00484938	0.0259874	0.000492893	0.00414485	0.0280394	0.0205231	0.0126013	0.000530286	0.00803957	0.0210749	0.0202885	0.0136839	0.0111006	0.00307681	0.000803136	0.00439543	0.00320301	0.00702609	0.0311382	0.0041287	0.000104288	0.00228789	0.00628121	0.011518	2.29367e-05	0.00131052	0.00876127	0.00746199	0.0066806	0.0147957	0.0108494	0.00474743	0.00556854	0.00564361	0.00406096	0.00585324	0.0210099	0.0022443	0.036224	0.00109392	0.00484205	0.00118033	0.00791	0.000911766	0.0199212	0.00633284	0.00899863	0.00611531	0.0041246	0.0397432	0.032816	0.0160699	0.0125403	0.000568081	0.010442	0.00145048	0.0179424	0.0030887	2.039769	0.00725754	0.018767	0.000435154	0.00988009	0.0175593	6.03305e-05	0.00336024	0.0191279	0.00240479	0.0020016	0.00366806	0.0189805	0.0100037	0.00736505	0.00208187	0.000555041	0.0306497	0.00208501	0.00815822	0.0162073	0.0110626	0.000418925	0.0706527	0.00571729	0.00767593	0.00925739	0.00327399	0.0196275	0.00779517	0.026414	0.0152229	0.00370818	0.02835	0.000828189	0.0148792	0.0257294	0.00157058	0.0310543	0.0125045	0.0044037	0.023599	0.000447595	0.00376393	0.0254625	0.0186369	0.0114432	0.000481551	0.00730071	0.019138	0.0184239	0.0124263	0.0100804	0.00279404	0.000729325	0.00399147	0.00290864	0.00638037	0.0282764	0.00374926	9.47039e-05	0.00207762	0.00570395	0.0104594	2.08287e-05	0.00119008	0.00795608	0.00677621	0.00606663	0.0134359	0.00985232	0.00431113	0.00505677	0.00512494	0.00368774	0.0053153	0.019079	0.00203804	0.0328948	0.000993387	0.00439705	0.00107186	0.00718305	0.000827972	0.0180904	0.00575083	0.00817162	0.00555329	0.00374554	0.0360906	0.0298001	0.014593	0.0113878	0.000515872	0.00948231	0.00131717	0.0162934	0.00280483	1.101205
324	-778.8573	-950.1849	171.3276	0.0107353	0.0318975	0.00277104	0.00806293	0.00573986	0.00116498	0.00891813	0.00683025	0.0369255	0.00963321	0.00384417	0.0158251	0.0214422	0.00926458	0.00569966	0.000344383	0.0503711	0.00340502	0.0149011	0.0111559	0.0103105	0.00153473	0.0747005	0.0077363	0.0076801	0.0331513	0.00925922	0.0114246	0.0108333	0.0471406	0.0503236	0.0142922	0.023127	0.00449371	0.00707993	0.0164785	0.00220393	0.0339322	0.0471091	0.00409328	0.0286154	0.0124145	0.00632105	0.0235181	0.0215883	0.0196594	0.000538678	0.0122606	0.0164778	0.0309406	0.00456899	0.00808568	0.00416415	0.00361075	0.00425566	0.010937	0.0406847	0.00887986	0.00400686	0.00345598	0.0116883	0.0217824	0.00188416	5.43774e-05	0.00329265	0.0124246	0.0143715	0.00556618	0.00671582	0.00995881	0.0223138	0.0146398	0.00828585	0.00881221	0.000541587	0.0218767	0.00416968	0.0158259	0.00535073	0.00935524	0.00504174	0.00572827	0.004217	0.0172192	0.00184057	0.000333127	0.0121152	0.000953006	0.0451343	0.0536696	0.0170305	0.0049105	0.000399425	0.0278049	0.00212066	0.0273628	0.034221	1.540393	0.00766902	0.0227866	0.00197955	0.00575992	0.00410039	0.000832225	0.00637086	0.00487933	0.0263785	0.00688169	0.00274616	0.011305	0.0153177	0.00661835	0.00407167	0.000246017	0.0359836	0.00243245	0.0106449	0.00796947	0.00736549	0.00109637	0.0533639	0.00552659	0.00548644	0.0236823	0.00661452	0.00816139	0.00773897	0.0336758	0.0359497	0.01021	0.0165213	0.00321018	0.0050577	0.0117718	0.00157442	0.0242402	0.0336534	0.00292412	0.020442	0.00886856	0.00451558	0.0168006	0.015422	0.0140441	0.000384816	0.00875864	0.0117713	0.0221031	0.00326396	0.00577617	0.00297475	0.00257941	0.00304012	0.00781306	0.029064	0.00634351	0.00286238	0.00246885	0.00834981	0.0155607	0.00134599	3.88456e-05	0.00235218	0.00887577	0.0102666	0.00397632	0.00479759	0.00711429	0.0159403	0.0104583	0.00591917	0.00629519	0.000386894	0.0156281	0.0029787	0.0113056	0.00382241	0.00668311	0.00360168	0.00409211	0.0030125	0.0123009	0.00131485	0.000237976	0.00865477	0.0006808	0.0322427	0.03834	0.0121661	0.00350792	0.000285338	0.019863	0.00151494	0.0195472	0.0244465	1.399833
