Iteration	Posterior	Likelihood	Prior	alpha	gain_loss_neo	part_rate_trans	tree_length
0	-1633.419	-1800.81	167.3911	1.579571	2.550453	2.140157	0.9239109
6	-1657.153	-1822.959	165.8063	1.990284	3.774231	2.608573	0.7636357
12	-1642.429	-1808.887	166.4586	1.441327	3.1484	2.962289	0.6796931
18	-1659.349	-1825.993	166.644	1.301256	3.1484	2.921203	0.671639
24	-1657.156	-1821.927	164.771	3.586305	2.801782	2.64274	0.8361995
30	-1644.718	-1810.574	165.8563	2.212082	3.099094	2.796405	0.7332311
36	-1643.378	-1809.262	165.8839	2.089409	3.282584	2.796405	0.6835634
42	-1635.521	-1802.132	166.6114	1.153127	3.282584	3.001717	0.6900084
48	-1642.387	-1809.331	166.9442	0.9215555	3.855948	2.557848	0.6446765
54	-1643.886	-1811.393	167.5064	1.487722	2.202526	2.557848	0.7040963
60	-1639.643	-1808.353	168.7102	0.5423042	2.687131	1.964408	0.6209333
66	-1647.307	-1816.398	169.0907	0.3750095	2.694712	1.720249	0.6764527
72	-1644.327	-1813.184	168.8568	0.3750095	2.982605	1.720249	0.7231
78	-1638.379	-1807.131	168.7519	0.3504893	2.738722	2.089888	0.5810843
84	-1646.858	-1815.999	169.1408	0.461812	2.58541	1.574083	0.8150538
90	-1649.566	-1818.686	169.1203	0.6290674	2.051004	1.88378	0.7721582
96	-1650.548	-1818.823	168.2757	0.7991416	2.051004	2.558319	0.7721582
102	-1643.15	-1809.278	166.1284	1.032999	5.054354	2.583656	0.65776
108	-1657.011	-1823.87	166.8587	0.6442538	3.50033	3.169283	0.5711957
114	-1651.847	-1818.133	166.286	1.112903	3.831304	3.065741	0.5711957
120	-1643.367	-1809.471	166.1046	1.112903	4.22799	3.002951	0.6000431
126	-1635.307	-1802.805	167.4978	0.8594614	3.342806	2.373772	0.6811433
132	-1644.276	-1810.898	166.6216	1.415057	3.787793	2.378237	0.7364921
138	-1635.358	-1800.966	165.6088	1.988488	3.872721	2.792712	0.6912718
144	-1631.929	-1800.13	168.2009	0.6652329	2.26827	2.655689	0.6611823
150	-1640.426	-1806.471	166.0449	2.328416	2.940712	2.588585	0.7535787
156	-1650.394	-1818.454	168.06	1.285556	2.380724	1.913816	0.9044821
162	-1641.048	-1807.324	166.2761	2.117401	3.193784	2.34126	0.8247717
168	-1639.087	-1805.011	165.9239	2.319212	2.712056	2.888342	0.7466976
174	-1646.195	-1813.657	167.4623	0.741432	3.925849	2.180634	0.6375455
180	-1641.279	-1810.433	169.1537	0.4284981	2.154418	2.033957	0.6570434
186	-1638.1	-1807.414	169.3138	0.4284981	2.36133	1.679363	0.7096783
192	-1639.974	-1807.779	167.8058	0.8451787	3.716744	1.824387	0.7096783
198	-1647.838	-1816.318	168.4795	0.388929	2.914314	2.171686	0.6495718
204	-1648.367	-1816.166	167.7995	0.9211948	3.005993	2.171686	0.7871676
210	-1632.434	-1798.17	165.7367	2.358527	3.396699	2.558226	0.7511308
216	-1647.119	-1812.531	165.4127	2.018627	4.415265	2.659324	0.6566627
222	-1630.722	-1799.428	168.7066	0.8226386	2.291505	1.83081	0.8699909
228	-1641.411	-1808.534	167.1233	1.272116	3.123694	2.461972	0.7179084
234	-1646.337	-1813.778	167.4414	1.233639	2.880562	2.385394	0.6574309
240	-1636.124	-1804.603	168.4789	0.4868704	2.455881	2.446928	0.5484786
246	-1634.323	-1801.468	167.1455	0.6909996	3.602534	2.775304	0.5484786
252	-1642.7	-1808.853	166.1532	1.470948	3.617524	2.957784	0.6198215
258	-1641.425	-1809.811	168.3864	0.5396506	2.557335	2.340445	0.7159132
264	-1641.287	-1809.188	167.9006	0.8223536	2.390056	2.643302	0.761033
270	-1639.908	-1808.104	168.1957	1.213979	2.195068	2.056725	0.8354289
276	-1648.768	-1816.681	167.9139	1.445806	2.407241	1.808639	0.9794324
282	-1654.861	-1820.708	165.8465	2.254285	3.699114	2.170851	0.9768088
288	-1640.756	-1809.106	168.3499	1.032823	2.532495	1.813871	0.8405441
294	-1645.824	-1814.171	168.3471	0.7243824	2.710834	1.991587	0.8405441
300	-1647.039	-1816.552	169.5131	0.3108342	1.955549	1.983401	0.5956657
306	-1657.627	-1827.49	169.863	0.2130604	1.606661	1.986759	0.7107634
312	-1640.913	-1810.442	169.5292	0.2386346	2.076735	1.946379	0.5624246
318	-1650.191	-1819.158	168.9667	0.4812478	2.780685	1.718444	0.5624246
324	-1640.789	-1810.592	169.8028	0.3873668	1.756039	1.718444	0.7416415
330	-1644.734	-1813.939	169.2054	0.5267753	2.189144	1.712519	0.8676003
