Iteration	Posterior	Likelihood	Prior	alpha	gain_loss_neo	gain_loss_trans	part_rate_trans	tree_length
0	-1722.872	-1886.799	163.9268	0.06147025	3.42714	1.047545	5.761771	0.4253014
6	-1713.95	-1878.348	164.3982	0.06147025	4.703485	1.022542	4.57107	0.4956462
12	-1721.621	-1886.748	165.127	0.07533597	3.823411	0.8919473	4.461255	0.4563284
18	-1725.787	-1890.282	164.495	0.07979508	4.385017	1.148484	4.461255	0.3640145
24	-1720.973	-1887.357	166.3845	0.07979508	3.065629	1.148484	3.439684	0.4833913
30	-1733.317	-1899.008	165.6905	0.07979508	4.367115	0.9072501	3.546649	0.4175482
36	-1721.729	-1886.377	164.6473	0.07318323	4.499346	1.049579	4.371985	0.399497
42	-1731.028	-1896.118	165.0903	0.05964176	3.545041	1.208545	4.37653	0.5064074
48	-1725.305	-1890.183	164.8773	0.05964176	4.046501	1.11183	4.37653	0.5125622
54	-1728.46	-1893.467	165.0067	0.05964176	3.724727	0.8460263	4.707102	0.514562
60	-1722.012	-1887.624	165.6118	0.08276451	3.431503	0.8555401	4.209303	0.3618183
66	-1721.507	-1886.728	165.2211	0.1278955	3.818784	1.016476	4.148659	0.3600486
72	-1720.931	-1887.346	166.415	0.1054854	3.196604	0.8380834	3.569648	0.3809014
78	-1716.254	-1883.243	166.9895	0.0875304	2.61267	0.8803622	3.413912	0.4427849
84	-1722.197	-1888.852	166.6558	0.108815	3.114826	0.8201033	3.413912	0.409176
90	-1713.479	-1880.231	166.7518	0.09032012	2.659592	1.000355	3.479387	0.4027257
96	-1734.076	-1899.137	165.0617	0.1011293	3.658248	1.049075	4.40372	0.3624709
102	-1717.995	-1883.186	165.1915	0.06426842	3.52302	0.9597082	4.531087	0.5268374
108	-1722.349	-1887.682	165.3334	0.06426842	3.52302	1.05371	4.296103	0.5168087
114	-1728.562	-1894.498	165.9364	0.08477185	2.121474	1.44847	4.296103	0.4362182
120	-1746.33	-1911.391	165.0608	0.0908802	3.546748	1.085999	4.399454	0.3118673
126	-1736.513	-1900.865	164.3523	0.08279814	4.543516	1.020485	4.621589	0.3420359
132	-1727.698	-1892.693	164.9944	0.08279814	4.129277	0.880918	4.354465	0.3420359
138	-1721.025	-1886.041	165.0162	0.08279814	3.73675	0.8760367	4.609275	0.3899099
144	-1719.396	-1884.145	164.7493	0.08279814	3.744729	0.8256746	4.888912	0.345664
150	-1715.324	-1879.65	164.3254	0.08279814	4.337116	1.085417	4.702664	0.345664
156	-1714.997	-1879.924	164.9271	0.08181694	4.226633	1.085417	4.203809	0.4024543
162	-1720.04	-1887.166	167.1257	0.08181694	2.683846	0.9990908	3.119057	0.4973261
168	-1735.377	-1903.01	167.6332	0.0963991	2.117409	0.9199048	3.119057	0.5005715
174	-1728.293	-1896.732	168.4393	0.1119395	2.345535	0.8488171	2.177737	0.5559573
180	-1725.744	-1893.431	167.6874	0.1100687	2.077899	0.9231608	3.072564	0.4388176
186	-1717.373	-1884.405	167.0321	0.1100687	2.312142	0.9490137	3.492123	0.3917703
192	-1722.13	-1889.259	167.1294	0.1100687	2.462545	0.8251621	3.416417	0.4301541
198	-1728.677	-1895.522	166.8454	0.1100687	2.892502	0.8822314	3.334654	0.473843
204	-1721.64	-1888.293	166.6525	0.1584802	2.416901	1.047272	3.574778	0.3121581
210	-1722.252	-1889.772	167.52	0.1056022	2.267093	1.010802	3.009273	0.5238419
216	-1734.759	-1903.445	168.6854	0.2533765	1.783744	0.9016319	2.213511	0.5043251
222	-1723.233	-1891.173	167.9402	0.537366	1.783744	0.9016319	2.663561	0.5784577
228	-1724.971	-1890.044	165.0731	1.384174	3.724952	0.8471555	3.311599	0.5448768
234	-1718.411	-1883.142	164.7314	1.384174	2.671516	0.8676431	4.351135	0.5033778
240	-1723.491	-1888.629	165.1377	1.561368	2.723113	0.7473993	3.840946	0.5539912
246	-1717.753	-1880.73	162.9765	2.885093	3.205806	0.8010441	4.292322	0.4938614
252	-1724.713	-1888.455	163.742	1.473884	3.16395	0.8443911	4.923837	0.4904939
258	-1739.842	-1902.628	162.7856	2.142105	3.028141	0.7647813	5.381395	0.5296182
264	-1732.858	-1897.766	164.9087	0.09727564	5.207014	0.8229499	3.901728	0.3494468
270	-1723.959	-1889.864	165.9051	0.1229109	2.390669	0.6798353	4.734739	0.3104104
276	-1717.971	-1882.691	164.7201	0.1427729	3.287496	0.7357711	5.14027	0.2686105
282	-1729.705	-1895.135	165.4296	0.1897723	3.045512	0.7357711	4.538082	0.2628407
288	-1724.842	-1888.672	163.8298	0.1711556	4.538577	0.8448429	5.103808	0.2499516
294	-1729.486	-1892.178	162.6919	4.391634	2.986878	0.8475853	3.119923	0.6857573
300	-1732.414	-1894.362	161.9476	4.899929	2.539451	1.118765	3.403235	0.7021314
306	-1728.131	-1893.046	164.9152	2.544668	1.660853	0.8198283	3.818552	0.7021314
312	-1720.251	-1886.714	166.463	0.2019542	3.601898	0.8173825	3.165105	0.359372
318	-1728.012	-1893.41	165.3989	0.1730054	3.862579	0.8780646	4.0377	0.3607877
324	-1721.019	-1884.756	163.7368	0.1124589	4.160819	0.7813603	5.580579	0.2769506
330	-1717.518	-1882.085	164.567	0.09972784	3.457297	1.019943	4.978282	0.2895523
336	-1719.166	-1884.509	165.3425	0.2782432	3.331388	1.106693	4.035184	0.3003392
342	-1728.388	-1894.853	166.4652	0.1385327	2.578163	1.130467	3.624665	0.3630591
348	-1723.445	-1889.403	165.9582	0.1385327	3.098965	0.8291857	4.044991	0.3489985
354	-1718.48	-1885.159	166.6794	0.1455561	2.460006	0.9417743	3.679616	0.3599212
360	-1736.173	-1902.578	166.4056	0.1273811	3.180971	1.276394	3.139092	0.3913852
366	-1725.154	-1891.868	166.7143	0.1273811	2.553611	0.959175	3.583237	0.3728415
372	-1733.497	-1898.224	164.7272	2.302867	2.429973	0.9044797	3.515948	0.7070164
378	-1729.692	-1892.798	163.1057	3.5158	3.039369	0.9044797	3.468369	0.7214708
384	-1744.475	-1908.622	164.1477	2.159931	3.165124	0.9044797	3.652865	0.7852658
390	-1738.34	-1904.044	165.7035	2.159931	1.680322	0.7568284	3.429116	0.7489872
396	-1740.172	-1903.943	163.7708	2.735151	3.105156	0.9209909	3.545045	0.681373
402	-1736.868	-1900.129	163.2614	2.735151	3.105156	0.7217489	4.292839	0.5693281
408	-1730.683	-1896.308	165.6248	0.9674971	2.575015	0.7030041	4.104783	0.4873642
414	-1723.143	-1889.531	166.3888	0.1485191	3.067307	1.01794	3.452002	0.3657849
420	-1722.043	-1887.66	165.6169	0.1115919	3.067307	0.9662617	4.312426	0.3657849
426	-1722.78	-1887.948	165.1689	0.1115919	3.703441	0.967162	4.312426	0.3316064
432	-1725.182	-1890.098	164.9157	0.110162	3.517417	1.30147	4.312426	0.2968209
438	-1728.348	-1893.244	164.8963	0.1504021	3.583533	0.8556746	4.662759	0.2776225
444	-1723.47	-1887.526	164.0556	0.102491	4.130319	0.9679354	5.123326	0.2886851
450	-1735.454	-1898.412	162.9578	0.07403996	4.718672	0.7781067	6.12933	0.3057665
456	-1733.609	-1896.042	162.4326	0.07403996	7.338763	0.8984608	5.330338	0.3210402
462	-1733.406	-1897.002	163.5962	3.809861	2.594934	0.7738524	3.119771	0.7427005
468	-1732.841	-1895.186	162.3448	5.188276	2.11567	1.058402	3.02309	0.8330198
474	-1739.334	-1903.345	164.0112	2.870741	3.412199	0.8063475	3.104684	0.620715
480	-1734.945	-1898.982	164.0371	4.039402	2.107404	0.90409	2.623254	0.8543659
486	-1737.953	-1903.391	165.4372	2.690842	2.207894	0.7377818	2.690288	0.8053951
492	-1730.007	-1897.158	167.1515	0.09668656	3.094906	0.7915408	2.982846	0.4404834
498	-1724.112	-1890.929	166.8167	0.09668656	2.742867	0.8648995	3.478009	0.3956562
504	-1734.557	-1898.541	163.9838	3.178967	2.744233	0.9980044	3.067495	0.6807835
510	-1742.165	-1903.052	160.8874	5.917898	1.757498	0.9408331	4.28757	0.6626279
516	-1732.352	-1893.403	161.0518	6.437645	2.48216	0.7899518	3.02389	0.853758
522	-1738.395	-1901.348	162.9534	2.7027	3.018996	1.060753	4.364253	0.545166
528	-1725.733	-1885.745	160.012	4.87787	4.363291	0.9838718	4.364253	0.545166
534	-1741.692	-1902.315	160.6234	3.144358	4.363291	0.7547557	5.704985	0.4297363
540	-1716.539	-1878.874	162.3357	1.131209	3.80825	0.9092037	6.157815	0.3790716
546	-1730.436	-1891.223	160.7876	1.070969	5.153086	1.084107	6.802547	0.3340723
552	-1726.017	-1887.864	161.8468	0.8599655	5.622421	1.084107	5.675444	0.295874
558	-1723.928	-1887.188	163.2606	0.5566736	3.920201	0.9400844	5.675444	0.3374472
564	-1723.529	-1888.336	164.8073	0.2827534	3.026913	0.9400844	4.93503	0.2975032
570	-1729.034	-1891.3	162.266	1.041803	4.304715	0.8360603	6.076667	0.353537
576	-1734.236	-1897.109	162.8728	1.341506	3.437307	0.906865	5.646865	0.378904
582	-1728.277	-1890.989	162.7123	0.1296102	4.320591	1.1335	6.040371	0.2241261
588	-1726.473	-1890.363	163.8904	0.1684585	4.005488	1.1335	5.094108	0.265705
594	-1735.254	-1899.897	164.6432	0.2638998	4.076428	1.123658	4.259824	0.295136
600	-1725.37	-1891.405	166.0351	0.1148058	2.567685	0.8876581	4.259824	0.2969099
606	-1735.337	-1900.073	164.7353	0.1339317	3.018043	1.085982	5.024136	0.3033937
612	-1740.973	-1905.681	164.7083	0.1988711	3.514781	0.9896641	4.694135	0.266459
618	-1733.861	-1898.587	164.7258	0.1224571	4.864732	0.8788141	4.117735	0.292129
624	-1728.422	-1894.317	165.8956	0.1056056	2.760492	0.8921536	4.326024	0.3585032
630	-1719.389	-1886.148	166.7589	0.1695278	2.618024	0.9344343	3.47788	0.3808109
636	-1724.82	-1891.348	166.5281	0.1162888	2.8533	0.9344343	3.576456	0.3622465
642	-1720.229	-1886.625	166.3956	0.1849088	2.596606	0.9095298	3.845196	0.3514965
648	-1715.708	-1881.564	165.8561	0.1593447	3.024828	1.027657	3.964768	0.3325365
654	-1718.702	-1884.635	165.9325	0.18237	2.906563	1.012516	3.937504	0.3090781
660	-1717.555	-1881.81	164.2546	0.1992707	4.265084	0.7508807	4.872754	0.2387284
666	-1714.982	-1878.543	163.5609	0.227071	5.253225	0.9918067	4.801321	0.2544187
672	-1718.206	-1883.357	165.1508	0.1244246	3.43891	0.8201457	4.550542	0.2706305
678	-1717.548	-1881.699	164.1508	0.1460328	4.540913	0.8561844	4.81513	0.2601567
684	-1731.143	-1896.919	165.7765	0.2439783	3.423537	0.9708651	3.762567	0.3480264
690	-1726.516	-1891.386	164.8701	0.2609673	3.065455	0.8264111	4.952592	0.2789803
696	-1723.915	-1888.291	164.3766	0.1505794	3.614851	1.005957	4.952592	0.244759
702	-1720.76	-1887.677	166.917	0.1179253	2.961925	0.7654035	3.31832	0.4608026
708	-1718.483	-1886.655	168.1718	0.1346763	1.487958	0.8520653	3.161306	0.459708
714	-1716.776	-1883.485	166.7088	0.1629679	3.006757	0.9127253	3.270514	0.3740912
720	-1727.663	-1893.885	166.222	0.1506066	3.030561	1.018565	3.635685	0.3581095
726	-1718.682	-1884.946	166.2638	0.110364	2.826183	0.9221328	3.876091	0.3592017
732	-1713.485	-1879.463	165.9782	0.1090034	2.598252	0.8791099	4.352967	0.3355592
738	-1716.938	-1882.253	165.3147	0.1294881	3.832266	0.8791099	4.130756	0.3084692
744	-1710.525	-1876.896	166.3713	0.1294881	3.289185	0.9255881	3.447869	0.3936232
750	-1712.994	-1879.266	166.2725	0.1294881	3.289185	0.9996823	3.472699	0.3936232
756	-1725.693	-1892.573	166.8804	0.2717765	2.017185	1.002034	3.684411	0.4216641
762	-1724.134	-1891.655	167.5206	0.09366325	2.800974	0.8233188	2.800156	0.4787783
768	-1716.842	-1884.466	167.6235	0.09366325	2.448984	0.7851422	2.996493	0.4655716
774	-1740.725	-1906.91	166.185	0.1006523	2.448984	1.457991	3.732938	0.3764039
780	-1723.268	-1889.845	166.5772	0.1006523	3.639094	0.7965222	3.180489	0.4121264
786	-1719.089	-1884.774	165.6848	0.1046885	3.585654	1.015286	3.878727	0.3973547
792	-1719.214	-1885.826	166.612	0.1063872	2.168556	1.302427	3.671429	0.3749776
798	-1718.459	-1885.328	166.8686	0.09297946	2.599133	0.9240245	3.486439	0.4139759
804	-1707.209	-1874.649	167.4398	0.1178122	2.089744	0.9240245	3.287585	0.4017513
810	-1718.052	-1884.362	166.3104	0.116088	3.571441	0.8236591	3.434109	0.3846105
816	-1725.713	-1891.676	165.9622	0.116088	3.174323	0.8582609	3.987978	0.3544948
822	-1722.778	-1889.412	166.6338	0.1281385	2.410333	0.9616911	3.784742	0.3961191
828	-1729.343	-1896.442	167.0986	0.1469114	1.841683	0.9221014	3.816741	0.4095587
834	-1732.957	-1900.827	167.87	0.1426336	2.23745	0.9768822	2.670749	0.43153
840	-1729.716	-1896.478	166.762	0.08245629	3.213575	0.7886627	3.308579	0.4405344
846	-1722.365	-1889.451	167.0851	0.1146833	2.395778	0.847129	3.487942	0.4347991
852	-1724.469	-1887.192	162.7225	3.551151	2.99931	1.018119	3.774295	0.6386976
858	-1728.559	-1892.119	163.5599	3.003387	3.532626	0.8621511	3.228058	0.7398334
864	-1715.866	-1883.516	167.6501	0.109188	2.44673	0.8104092	2.931619	0.4657282
870	-1740.15	-1907.107	166.9574	0.1020033	2.815116	0.8987438	3.268868	0.4657282
876	-1733.443	-1900.361	166.9182	0.1020033	2.844249	0.8987438	3.268868	0.4051417
882	-1740.805	-1906.167	165.3618	0.1472776	3.231446	0.8765232	4.475689	0.3278536
888	-1729.478	-1893.559	164.081	0.2263448	5.075792	0.9120555	4.475689	0.267161
894	-1723.646	-1888.435	164.7894	0.1175395	3.456864	0.9120555	4.819906	0.2726878
900	-1718.047	-1883.113	165.0666	0.1667866	3.05495	0.9120555	4.760205	0.2712131
906	-1722.272	-1887.344	165.0714	0.1672877	3.658423	0.8990661	4.41802	0.3035876
912	-1727.692	-1890.8	163.1077	0.150284	4.790931	0.7954088	5.672041	0.2131706
918	-1724.936	-1888.342	163.4058	0.150284	4.837296	0.666904	5.469525	0.2131706
924	-1720.524	-1884.496	163.9724	0.2110403	3.856475	0.8525978	5.305372	0.2478305
930	-1725.85	-1889.934	164.0846	0.1377851	3.856475	0.7749352	5.361896	0.2579219
936	-1737.136	-1899.987	162.8507	0.1052746	4.305025	0.8520473	6.213349	0.2232056
942	-1726.667	-1890.326	163.6588	0.1051991	4.337372	0.9607911	5.364342	0.2635665
948	-1737.022	-1899.842	162.8192	0.08278555	6.313962	0.6866629	5.502953	0.2678406
954	-1722.727	-1884.871	162.1446	0.0742467	4.955439	0.9886272	6.602902	0.3017019
960	-1732.385	-1899.459	167.0747	0.1835365	1.931122	1.068135	3.526499	0.3327222
966	-1737.579	-1904.064	166.4847	0.1768277	2.730802	0.790968	3.776863	0.3465397
972	-1730.291	-1895.138	164.8464	0.1543981	3.345172	0.8325658	4.937095	0.3148222
978	-1741.456	-1907.439	165.9829	0.1468519	2.559414	1.065718	4.143415	0.3256599
