Iteration	Posterior	Likelihood	Prior	gain_loss_ratio	tree_length
0	-1814.153	-1984.827	170.6743	1.279233	2.102248
6	-1819.961	-1990.658	170.6968	1.279233	2.087434
12	-1812.503	-1983.387	170.8836	1.35005	1.917185
18	-1816.585	-1987.367	170.782	1.085765	2.156593
24	-1822.804	-1993.777	170.9728	1.128186	2.003174
30	-1819.171	-1990.239	171.0679	1.040919	1.997802
36	-1816.062	-1987.244	171.1822	1.294033	1.749129
42	-1822.895	-1993.953	171.0582	1.240351	1.870989
48	-1826.765	-1997.688	170.923	1.392027	1.863046
54	-1823.829	-1994.647	170.8176	1.503442	1.863046
60	-1829.13	-2000.073	170.9432	1.347565	1.878399
66	-1823.674	-1994.705	171.0311	1.204668	1.913271
72	-1833.263	-2004.023	170.7597	1.48494	1.914185
78	-1824.88	-1995.91	171.03	1.323181	1.835063
84	-1833.446	-2004.085	170.6388	1.487425	1.993851
90	-1840.293	-2011.144	170.8507	1.478251	1.856584
96	-1829.074	-1999.873	170.7994	1.533062	1.856584
102	-1838.458	-2009.264	170.8066	1.309449	1.995281
108	-1840.842	-2011.774	170.9317	1.181632	1.995281
114	-1840.508	-2011.905	171.3971	0.9974902	1.803864
120	-1826.301	-1997.211	170.9098	1.490169	1.808197
126	-1827.54	-1998.815	171.275	1.142441	1.788291
132	-1843.6	-2014.585	170.985	1.084403	2.024069
138	-1831.052	-2001.96	170.9076	1.332183	1.912643
144	-1843.64	-2014.58	170.9399	1.164889	2.000907
150	-1834.582	-2005.41	170.8278	1.157743	2.079826
156	-1823.016	-1993.75	170.7336	1.143148	2.150941
162	-1832.584	-2003.56	170.9759	1.303916	1.884869
168	-1822.001	-1992.88	170.8792	1.175702	2.034134
174	-1821.253	-1991.943	170.6899	1.3699	2.034134
180	-1830.83	-2001.547	170.7172	1.538175	1.909294
186	-1831.811	-2002.932	171.1201	1.120676	1.909294
192	-1831.472	-2002.436	170.9642	1.120676	2.013867
198	-1837.224	-2008.572	171.3483	1.171503	1.716841
204	-1832.014	-2003.177	171.1632	1.144914	1.863561
210	-1832.503	-2003.149	170.6461	1.249488	2.139653
216	-1835.83	-2006.58	170.7495	1.464691	1.933975
222	-1843.573	-2014.511	170.9382	1.04562	2.080583
228	-1830.677	-2001.74	171.0631	1.311918	1.819838
