Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	br_lengths[58]	br_lengths[59]	br_lengths[60]	br_lengths[61]	br_lengths[62]	br_lengths[63]	br_lengths[64]	br_lengths[65]	br_lengths[66]	br_lengths[67]	br_lengths[68]	br_lengths[69]	br_lengths[70]	br_lengths[71]	br_lengths[72]	br_lengths[73]	br_lengths[74]	br_lengths[75]	br_lengths[76]	br_lengths[77]	br_lengths[78]	br_lengths[79]	br_lengths[80]	br_lengths[81]	br_lengths[82]	br_lengths[83]	br_lengths[84]	br_lengths[85]	br_lengths[86]	br_lengths[87]	br_lengths[88]	br_lengths[89]	br_lengths[90]	br_lengths[91]	br_lengths[92]	br_lengths[93]	br_lengths[94]	br_lengths[95]	br_lengths[96]	br_lengths[97]	gain_loss_ratio	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	rel_br_lengths[58]	rel_br_lengths[59]	rel_br_lengths[60]	rel_br_lengths[61]	rel_br_lengths[62]	rel_br_lengths[63]	rel_br_lengths[64]	rel_br_lengths[65]	rel_br_lengths[66]	rel_br_lengths[67]	rel_br_lengths[68]	rel_br_lengths[69]	rel_br_lengths[70]	rel_br_lengths[71]	rel_br_lengths[72]	rel_br_lengths[73]	rel_br_lengths[74]	rel_br_lengths[75]	rel_br_lengths[76]	rel_br_lengths[77]	rel_br_lengths[78]	rel_br_lengths[79]	rel_br_lengths[80]	rel_br_lengths[81]	rel_br_lengths[82]	rel_br_lengths[83]	rel_br_lengths[84]	rel_br_lengths[85]	rel_br_lengths[86]	rel_br_lengths[87]	rel_br_lengths[88]	rel_br_lengths[89]	rel_br_lengths[90]	rel_br_lengths[91]	rel_br_lengths[92]	rel_br_lengths[93]	rel_br_lengths[94]	rel_br_lengths[95]	rel_br_lengths[96]	rel_br_lengths[97]	tree_length
0	-274.2768	-445.5388	171.262	0.0680362	0.0197529	0.000450282	0.025165	0.0134732	0.0238971	0.00122407	0.0096817	0.0450725	0.0213489	0.0138312	0.0349055	0.0409009	0.0296132	0.0252002	0.00310317	0.00292612	0.00590762	0.0104033	0.032498	0.00170374	0.00888329	0.0463555	0.00510081	0.00621339	0.00121384	0.0093534	0.0443183	0.00400648	0.00963948	0.00540093	0.0397427	0.0107075	0.0148004	0.00753925	0.0239681	0.00084506	0.0017999	0.000508173	0.00604326	0.000502012	0.0118256	0.00494962	0.0316377	0.00322073	0.0159551	0.0194491	0.0409975	0.00497231	0.0116903	0.0143614	0.00392472	0.00564895	0.0426191	0.00331371	0.00985627	0.0526778	0.00548224	0.0229555	0.0119632	0.0576795	0.0527539	0.0103874	0.0074587	0.0348516	0.000203464	0.00323627	0.0157445	0.0122578	0.0204215	0.0462052	0.00780357	0.0461471	0.0205093	0.00430497	0.0519965	0.0142943	0.00382255	0.0106138	0.00268132	0.00805898	0.0310788	0.000956652	0.0313018	0.00386277	0.0102669	0.00466771	0.0140488	0.023843	0.00593158	0.0190852	0.00342655	0.0236312	0.0155995	0.0159486	0.0190095	0.00971968	1.34557	0.0410512	0.0119184	0.000271688	0.0151839	0.00812939	0.0144189	0.000738573	0.00584168	0.0271956	0.0128814	0.00834537	0.021061	0.0246785	0.0178678	0.0152052	0.00187237	0.00176554	0.0035645	0.00627705	0.0196084	0.00102799	0.00535994	0.0279697	0.00307769	0.003749	0.0007324	0.00564359	0.0267405	0.0024174	0.00581621	0.00325878	0.0239797	0.00646061	0.0089302	0.00454899	0.0144617	0.000509887	0.00108601	0.000306618	0.00364635	0.000302901	0.00713525	0.00298647	0.0190893	0.0019433	0.00962688	0.0117351	0.0247368	0.00300016	0.00705364	0.00866526	0.00236807	0.00340843	0.0257153	0.00199941	0.00594701	0.0317844	0.00330784	0.0138507	0.0072183	0.0348023	0.0318303	0.0062675	0.00450039	0.0210285	0.000122765	0.00195268	0.00949981	0.00739601	0.0123218	0.027879	0.00470847	0.027844	0.0123748	0.0025975	0.0313733	0.00862478	0.00230642	0.00640408	0.00161784	0.00486258	0.0187521	0.000577219	0.0188867	0.00233069	0.00619475	0.00281638	0.00847669	0.0143863	0.00357896	0.0115155	0.00206749	0.0142584	0.00941234	0.00962299	0.0114698	0.0058646	1.657348
36	-282.8388	-454.3169	171.4782	0.0121377	0.0286512	0.000953953	0.0128095	0.0120508	0.0164484	0.0078045	0.00205002	0.0426691	0.0038293	0.0152081	0.0299656	0.0367774	0.0119379	0.00399441	0.0146143	0.0230734	0.00304589	0.0186002	0.0131235	0.00561691	0.00507157	0.0192881	0.00763215	0.0138427	0.0224897	0.000844355	0.0364035	0.00938668	0.00959441	0.00284957	0.0173381	0.025727	0.00229579	0.000877599	0.0215052	0.00446926	0.00626651	0.00254457	0.0428064	0.000388927	0.00527364	0.000564028	0.0618783	0.0054585	0.0143653	0.0197176	0.000992703	0.0236878	0.0203943	0.00906134	0.00623726	0.00803405	0.0585864	0.00473325	0.00889326	0.0231201	0.0153629	0.00948374	0.0112308	0.0249924	0.0369886	0.0161174	0.0054997	0.0223238	0.00762864	0.0163137	0.00578068	0.00271884	0.00263948	0.0280439	0.0114718	0.0141304	0.00145252	0.0181437	0.104861	0.00885459	0.00169943	0.00432709	0.00648001	0.00465775	0.00821272	0.00109822	0.056844	0.0052466	0.0014442	0.0103067	0.0222129	0.00924246	0.00183121	0.0421331	0.0140723	0.00720409	0.0362244	0.00908958	0.00134554	0.00810683	1.408048	0.00834896	0.0197078	0.000656179	0.00881108	0.00828916	0.0113141	0.00536834	0.00141011	0.02935	0.002634	0.0104609	0.0206119	0.0252974	0.00821148	0.00274757	0.0100525	0.0158711	0.00209512	0.0127942	0.009027	0.0038636	0.00348849	0.0132673	0.0052498	0.00952177	0.0154696	0.000580791	0.0250402	0.00645665	0.00659954	0.00196008	0.0119261	0.0176964	0.00157916	0.000603658	0.0147924	0.00307419	0.00431043	0.00175029	0.0294445	0.000267524	0.00362748	0.000387968	0.0425631	0.00375464	0.00988118	0.0135628	0.000682833	0.0162937	0.0140283	0.00623287	0.00429031	0.00552624	0.0402988	0.00325578	0.00611725	0.0159032	0.0105674	0.00652341	0.00772512	0.0171911	0.0254427	0.0110864	0.00378298	0.0153555	0.00524738	0.0112214	0.00397626	0.00187016	0.00181557	0.0192901	0.00789092	0.00971964	0.000999121	0.0124802	0.0721292	0.00609065	0.00116896	0.0029764	0.00445729	0.00320385	0.00564914	0.000755413	0.0391003	0.00360889	0.0009934	0.00708952	0.0152792	0.00635745	0.0012596	0.0289813	0.00967964	0.00495535	0.024917	0.00625229	0.000925535	0.00557631	1.4538
72	-276.9826	-447.8286	170.8459	0.0421363	0.0137126	0.00010621	0.0329173	0.00794655	0.00607733	0.00746942	0.00514473	0.0138641	0.00122784	0.00408245	0.0362017	0.0648948	0.00588436	0.00126042	0.00990707	0.0189189	0.0038658	0.0229153	0.0147226	0.00277848	0.00161029	0.0153516	0.011641	0.00213534	0.0101839	0.000385353	0.0180878	0.00307639	0.010301	0.00409268	0.0130546	0.00106488	0.000381226	0.00195988	0.0239268	0.00357949	0.0113099	0.00991502	0.00345022	6.31963e-05	0.00593313	0.0028114	0.0170823	0.012414	0.0123365	0.00326915	0.00907524	0.0128757	0.000753931	0.00835572	0.00376524	0.0153082	0.00860428	0.0107794	0.00186297	0.0564043	0.00039467	0.00676038	0.00431067	0.00276099	0.0149845	0.00431437	0.000357337	0.0106852	0.00580682	0.0037912	0.00512352	0.000830149	0.00815947	0.025293	0.00433053	0.0311668	0.000811871	0.017857	0.0336633	0.0163675	0.00022489	0.00308518	0.00971643	0.0193607	0.0307346	0.0005302	0.0158069	0.00572934	0.00631331	0.00528711	0.000987776	0.014881	0.000479432	0.00544174	0.00718445	0.0269602	0.0058132	0.00261226	0.00299326	0.00376952	2.796931	0.0417639	0.0135914	0.000105271	0.0326263	0.00787631	0.00602362	0.00740341	0.00509926	0.0137416	0.00121699	0.00404637	0.0358818	0.0643213	0.00583235	0.00124928	0.00981952	0.0187517	0.00383164	0.0227128	0.0145924	0.00275393	0.00159606	0.0152159	0.0115381	0.00211647	0.0100939	0.000381947	0.0179279	0.00304921	0.01021	0.00405651	0.0129392	0.00105547	0.000377857	0.00194255	0.0237153	0.00354786	0.01121	0.00982739	0.00341973	6.26378e-05	0.00588069	0.00278655	0.0169313	0.0123042	0.0122275	0.00324026	0.00899503	0.0127619	0.000747268	0.00828188	0.00373197	0.0151729	0.00852824	0.0106841	0.0018465	0.0559058	0.000391182	0.00670063	0.00427257	0.00273659	0.014852	0.00427624	0.000354178	0.0105907	0.00575549	0.00375769	0.00507824	0.000822812	0.00808735	0.0250694	0.00429226	0.0308913	0.000804696	0.0176992	0.0333657	0.0162228	0.000222902	0.00305791	0.00963056	0.0191896	0.030463	0.000525514	0.0156672	0.0056787	0.00625751	0.00524038	0.000979046	0.0147495	0.000475195	0.00539364	0.00712095	0.0267219	0.00576182	0.00258917	0.0029668	0.00373621	1.008917
108	-280.7131	-452.1287	171.4156	0.021375	0.0724718	7.83278e-05	0.0270486	0.0342146	0.0221457	0.00521094	0.00369345	0.069786	0.0125406	0.0079645	0.0186079	0.0114116	0.00764458	0.00242675	0.0180246	0.00687558	0.011665	0.0081009	0.0288395	0.0114575	0.00238457	0.0207676	0.00142678	0.00434182	0.0119305	0.0106427	0.0146243	0.00150233	0.0169842	0.00498356	0.0119047	0.00630784	0.00134496	0.00236849	0.0490824	0.0044682	0.000769574	0.00826232	0.0141838	0.00740262	0.0143678	0.010444	0.0466246	0.00382664	0.00441257	0.0101543	0.00647874	0.00767395	0.00316701	0.0165491	0.0186006	0.0267179	0.0359736	0.00241041	0.00558495	0.0583696	0.000117256	0.0187756	0.000556769	0.011268	0.0147247	0.0148123	0.0079235	0.00637799	0.00525154	0.00272239	0.00479152	0.0225245	0.0113137	0.00554996	0.0133741	0.0241144	0.000847284	0.031815	0.0859711	0.00990056	0.0463985	0.00755555	0.0153505	0.000669199	0.0105347	0.000750957	0.0135314	0.013755	0.00425934	0.0128634	0.0413443	0.00186817	0.00264775	0.00343884	0.0223066	0.0260909	0.00266433	0.0167648	0.0251047	0.0110798	1.49286	0.0148403	0.050316	5.43817e-05	0.0187794	0.0237546	0.0153754	0.00361787	0.0025643	0.0484513	0.00870677	0.00552962	0.0129192	0.00792291	0.00530751	0.00168485	0.0125142	0.0047736	0.00809879	0.00562432	0.0200228	0.00795473	0.00165557	0.0144186	0.000990588	0.00301445	0.00828313	0.00738908	0.0101534	0.00104304	0.0117919	0.00346001	0.00826522	0.00437943	0.000933786	0.0016444	0.0340771	0.0031022	0.000534303	0.0057364	0.0098476	0.00513952	0.00997534	0.00725111	0.0323707	0.00265678	0.00306358	0.00704997	0.00449808	0.0053279	0.0021988	0.0114897	0.0129141	0.0185498	0.0249759	0.00167351	0.00387754	0.0405251	8.14091e-05	0.0130356	0.000386556	0.00782317	0.0102231	0.010284	0.00550116	0.00442814	0.00364606	0.00189011	0.00332667	0.0156384	0.00785491	0.00385325	0.00928541	0.0167422	0.000588256	0.0220886	0.0596883	0.0068738	0.0322137	0.00524569	0.0106576	0.000464614	0.00731409	0.000521377	0.00939466	0.00954988	0.00295719	0.00893085	0.0287046	0.00129704	0.00183829	0.00238753	0.0154871	0.0181145	0.0018498	0.0116395	0.0174298	0.00769256	1.440334
144	-280.7199	-452.1274	171.4075	0.01331	0.0222821	0.00193531	0.0254873	0.0443672	0.0247915	0.0276986	0.00916974	0.0301051	0.00134255	0.0121577	0.0436037	0.0202313	0.00462106	0.00829004	0.00274128	0.0425323	0.00157296	0.00753546	0.0364908	0.00164413	0.000746682	0.0109272	0.00282881	0.00361423	0.00936255	0.00396552	0.00126428	0.000958538	0.012624	0.00631224	0.0204587	0.0199679	0.0151315	0.000621585	0.0167504	0.00774906	0.000332088	0.000389327	0.0045854	0.0288244	0.0160844	0.0162922	0.0517938	0.0129384	0.0181165	0.0226184	0.0035156	0.019127	0.00782623	0.00923679	0.00354952	0.0129818	0.00599748	0.00120975	0.00347914	0.0263843	0.00257941	0.0315496	0.000816265	0.0158265	0.00985599	0.0217693	0.0126867	0.0158489	0.000395739	0.00286905	0.0133755	0.00683425	0.032737	0.0297108	0.00742658	0.00017935	0.0103311	0.0192996	0.0805157	0.014403	0.00639836	0.00504482	0.00109067	0.008402	0.0722549	0.00118029	0.0206362	0.0223314	0.00561626	0.0223435	0.00762005	0.00467635	0.00468479	0.0115437	0.00262858	0.0155085	0.00395654	0.042129	0.0228151	0.0121007	1.554218	0.00949055	0.015888	0.00137995	0.0181734	0.0316355	0.0176773	0.0197502	0.00653838	0.0214661	0.000957291	0.0086689	0.0310911	0.0144257	0.003295	0.00591112	0.00195464	0.0303272	0.00112158	0.00537308	0.0260193	0.00117233	0.000532413	0.00779153	0.00201705	0.00257709	0.00667587	0.00282757	0.000901481	0.000683475	0.00900142	0.00450087	0.0145879	0.0142379	0.0107893	0.000443214	0.0119437	0.00552538	0.000236792	0.000277606	0.00326957	0.0205529	0.0114688	0.011617	0.036931	0.00922556	0.0129178	0.0161278	0.00250676	0.0136383	0.00558041	0.00658619	0.00253095	0.00925652	0.00427644	0.000862596	0.00248076	0.018813	0.00183922	0.0224961	0.000582029	0.0112849	0.00702771	0.0155223	0.00904609	0.0113009	0.000282178	0.00204574	0.00953727	0.00487309	0.0233428	0.021185	0.00529544	0.000127883	0.0073665	0.0137614	0.0574108	0.0102699	0.00456228	0.00359715	0.000777688	0.00599095	0.0515205	0.000841592	0.0147144	0.0159232	0.00400461	0.0159318	0.00543339	0.00333442	0.00334044	0.00823108	0.00187428	0.0110582	0.00282117	0.0300396	0.0162681	0.00862827	1.402448
180	-286.1051	-456.5788	170.4738	0.0326413	0.00612217	0.0119624	0.0830373	0.0390175	0.00561094	7.90463e-05	0.00842238	0.038099	0.00518984	0.00197363	0.017603	0.0448904	0.0290192	0.00608994	0.000500146	0.051103	0.0146519	0.0171341	0.0123857	0.0106497	0.00503975	0.03822	0.000759488	0.000775747	0.00368118	0.00218151	0.00891826	0.0216335	0.00776903	0.00515965	0.0151096	0.00668156	0.0122437	0.0182982	0.041504	0.0278725	0.000211623	0.00405196	0.00525869	0.0341616	0.00489277	0.00376475	0.0566447	0.0261172	0.0172523	0.0227902	0.00453545	0.0300519	0.0256697	0.0076449	0.00908497	0.00783903	0.037345	0.0336188	0.00777674	0.00536034	0.0044761	0.0447913	0.0117436	0.0338936	0.023203	0.043413	0.0338146	0.0219007	0.00789005	0.011308	0.000729667	0.0553512	0.0440922	0.0383487	0.0317238	0.00223794	0.0249603	0.0196627	0.0197135	0.0171242	0.0307399	0.00543682	0.00657563	0.0121658	0.0922077	0.0320224	0.0111862	0.0280876	0.0060339	0.0242343	0.000842114	0.00459568	0.0144342	0.0296197	0.00858891	0.0369098	0.0238204	0.0309971	0.004701	0.0092279	1.824418	0.0171895	0.00322405	0.0062996	0.043729	0.0205473	0.00295482	4.16272e-05	0.00443538	0.0200636	0.00273307	0.00103935	0.00927009	0.0236401	0.0152821	0.00320708	0.000263386	0.0269118	0.00771599	0.00902312	0.00652253	0.00560834	0.00265403	0.0201274	0.000399961	0.000408523	0.00193858	0.00114882	0.00469652	0.0113926	0.00409131	0.00271717	0.007957	0.00351863	0.00644777	0.00963616	0.0218568	0.0146782	0.000111445	0.00213384	0.00276932	0.0179901	0.00257662	0.00198259	0.0298301	0.0137538	0.00908539	0.0120018	0.00238845	0.0158259	0.0135181	0.00402594	0.00478431	0.00412818	0.0196666	0.0177043	0.00409538	0.00282286	0.0023572	0.0235879	0.00618441	0.017849	0.0122191	0.0228621	0.0178074	0.0115333	0.00415505	0.00595498	0.000384256	0.029149	0.0232198	0.0201951	0.0167063	0.00117854	0.0131446	0.0103547	0.0103815	0.00901794	0.0161882	0.00286313	0.00346285	0.00640673	0.0485583	0.0168636	0.00589088	0.0147914	0.00317756	0.0127622	0.000443473	0.00242017	0.00760131	0.0155983	0.00452308	0.0194374	0.0125442	0.0163236	0.00247564	0.00485959	1.898908
216	-297.882	-469.8369	171.9548	0.0526031	0.0560348	0.00722291	0.0260778	0.0113515	0.017675	0.000204149	0.00658772	0.042687	0.00434847	0.00547444	0.00229139	0.031728	0.00442125	0.00358829	0.00756741	0.00176335	0.000223663	0.0189916	0.0411193	0.0123976	0.000937778	0.0123389	0.00162501	0.0109674	0.00637812	0.000918489	0.000778519	0.000668926	0.0170171	0.0122867	0.0127145	0.00342138	0.0156635	0.00116112	0.0359911	0.0343736	7.58688e-05	0.00269832	0.0299097	0.00800909	0.00552047	0.00542042	0.036537	0.0274081	0.0101755	0.00924506	0.0585138	0.012924	0.00484838	0.0391796	0.0134409	0.0048295	0.0164863	4.56298e-05	0.0203929	0.0552892	0.00884258	0.0122856	0.00973802	0.00468907	0.012427	0.0207344	0.0321969	0.0130499	0.0201026	0.00354345	0.00646912	0.0159464	0.0209187	0.0228285	0.0637278	0.0107151	0.00252766	0.00747583	0.0261323	0.000199722	0.0146661	0.0187465	0.00660773	0.0153947	0.00404524	0.0260275	0.0272169	0.016389	0.00289342	0.0124645	0.0316857	0.00575608	0.00772351	0.00670628	0.000488415	0.00400963	0.0447627	0.00434611	0.0164565	0.0071388	0.901755	0.0357692	0.0381027	0.00491145	0.0177324	0.0077188	0.0120187	0.000138818	0.00447953	0.0290264	0.00295688	0.00372252	0.0015581	0.0215745	0.00300637	0.00243998	0.00514571	0.00119905	0.000152087	0.012914	0.0279604	0.00843018	0.000637673	0.00839021	0.00110498	0.00745766	0.00433701	0.000624556	0.000529379	0.000454858	0.0115713	0.00835472	0.00864567	0.00232648	0.0106509	0.000789544	0.0244733	0.0233734	5.15894e-05	0.00183481	0.0203381	0.00544604	0.00375382	0.00368579	0.0248445	0.018637	0.00691919	0.00628648	0.0397884	0.00878809	0.00329681	0.0266414	0.00913957	0.00328398	0.0112104	3.10274e-05	0.0138668	0.0375957	0.0060128	0.008354	0.00662168	0.00318848	0.00845015	0.014099	0.0218933	0.00887368	0.0136694	0.00240948	0.00439889	0.0108432	0.0142243	0.015523	0.0433338	0.00728607	0.00171876	0.00508343	0.0177695	0.000135807	0.0099727	0.0127473	0.00449314	0.0104681	0.00275069	0.0176983	0.018507	0.0111442	0.00196747	0.00847561	0.0215457	0.00391403	0.00525185	0.00456015	0.000332114	0.00272648	0.0304378	0.00295528	0.0111901	0.00485426	1.470627
252	-285.4171	-456.0132	170.5961	0.0480428	0.0237023	0.00554669	0.018455	0.00311518	0.0133195	0.0119201	0.00926458	0.0221362	0.00455776	0.00840551	0.00235815	0.0447724	0.007091	0.0159735	0.00843319	0.0144085	0.000990927	0.0097037	0.00464292	0.000358616	0.00362317	0.0458056	0.00454754	0.00752792	0.0158384	0.00304785	0.0184246	0.0259745	0.0107537	0.013885	0.0152797	0.00957443	0.000134936	0.000878505	0.0274381	0.00318753	0.0130732	0.000340979	0.000782749	0.00767617	0.00850943	0.00551005	0.00807552	0.0176765	0.00042817	0.020443	0.0112143	0.0117057	0.00951368	0.00134669	0.0131797	0.000762342	0.00768886	0.00100408	0.00216992	0.0225775	0.00760713	0.012752	0.0086444	0.00665612	0.0219217	0.014953	0.0163129	0.0508795	0.00596504	0.0110885	0.00928869	0.00662505	0.00122977	0.00598173	0.0174963	0.00304744	0.00652069	0.0295182	0.0502578	0.00968471	0.00220065	0.0132732	0.00394099	0.0044034	0.0138769	0.00722781	0.000594732	0.00461364	0.00873619	0.0114011	0.0102709	0.008119	0.00185462	0.020797	7.21029e-05	0.0155474	0.0192599	0.0114021	0.00228981	0.00755268	2.996865	0.043256	0.0213407	0.00499404	0.0166162	0.00280479	0.0119924	0.0107325	0.00834149	0.0199306	0.00410364	0.00756801	0.00212319	0.0403114	0.00638447	0.014382	0.00759294	0.0129728	0.000892194	0.00873685	0.00418031	0.000322884	0.00326217	0.0412417	0.00409443	0.00677786	0.0142603	0.00274417	0.0165888	0.0233865	0.00968228	0.0125015	0.0137572	0.00862046	0.000121492	0.000790974	0.0247042	0.00286993	0.0117706	0.000307005	0.000704759	0.00691134	0.00766157	0.00496105	0.0072709	0.0159153	0.000385508	0.0184061	0.0100969	0.0105393	0.00856576	0.00121251	0.0118665	0.000686385	0.00692277	0.000904036	0.00195372	0.020328	0.00684918	0.0114814	0.0077831	0.00599293	0.0197375	0.0134631	0.0146875	0.0458101	0.0053707	0.00998364	0.0083632	0.00596495	0.00110724	0.00538573	0.015753	0.0027438	0.00587098	0.0265771	0.0452503	0.00871976	0.00198138	0.0119507	0.00354832	0.00396466	0.0124942	0.00650766	0.000535475	0.00415396	0.00786574	0.0102651	0.00924753	0.00731005	0.00166983	0.0187248	6.49188e-05	0.0139983	0.0173409	0.010266	0.00206166	0.00680016	1.110663
288	-291.6977	-463.0311	171.3334	0.0167627	0.0127471	0.00986111	0.015002	0.012575	0.0115161	0.0156873	0.00194499	0.0236986	0.0128356	0.000440361	0.0157555	0.00552236	0.0170448	0.0120464	0.00535343	0.0211915	0.00117313	0.00881353	0.00869335	0.000508676	0.0115399	0.009924	0.0040856	0.0208392	0.0209232	0.0146177	0.01787	0.0127472	0.00662896	0.0125785	0.0289129	0.00628521	0.0132113	0.00815182	0.0208485	0.00292261	0.00107635	0.00141119	0.00566197	0.0245585	0.00321165	0.000745376	0.00813059	0.00974595	0.0129263	0.00319556	0.00183473	0.0163211	0.015969	0.000659692	0.00537652	0.000695521	0.00613141	0.00105929	0.010117	0.000257208	0.0117083	0.0101075	0.00738028	0.0128946	0.00544073	0.0108534	0.00469595	0.0102484	0.00945909	0.00177586	0.00810613	0.00644873	0.00240132	0.0027872	0.0301854	0.00590149	0.0362811	0.0527949	0.0214899	0.0100734	0.00158995	0.0243905	0.00890283	0.0029862	0.0123232	0.0547588	0.00312566	0.0310274	0.0885056	0.00351864	0.00478999	0.0340695	0.00799594	0.0026125	0.00236517	0.00541315	0.00396473	0.00342035	0.00214106	0.0188001	1.985258	0.0146006	0.0111029	0.00858921	0.0130671	0.0109531	0.0100308	0.013664	0.00169413	0.0206419	0.0111801	0.000383563	0.0137233	0.00481008	0.0148464	0.0104927	0.00466294	0.0184582	0.00102182	0.00767675	0.00757208	0.000443066	0.0100514	0.00864399	0.00355864	0.0181514	0.0182245	0.0127323	0.0155651	0.0111031	0.00577395	0.0109561	0.0251837	0.00547454	0.0115073	0.00710039	0.0181595	0.00254565	0.000937522	0.00122917	0.00493169	0.0213909	0.0027974	0.000649236	0.0070819	0.00848891	0.011259	0.00278339	0.00159808	0.014216	0.0139093	0.000574604	0.00468305	0.000605812	0.00534058	0.000922664	0.00881213	0.000224033	0.0101982	0.00880386	0.00642836	0.0112315	0.00473898	0.0094535	0.00409026	0.00892659	0.00823905	0.00154681	0.0070606	0.00561697	0.0020916	0.0024277	0.0262921	0.00514031	0.0316015	0.0459854	0.0187182	0.00877413	0.00138487	0.0212446	0.00775453	0.00260104	0.0107337	0.047696	0.00272251	0.0270254	0.0770901	0.0030648	0.00417217	0.0296752	0.00696462	0.00227553	0.00206011	0.00471495	0.00345336	0.00297919	0.0018649	0.0163753	1.14808
324	-286.7704	-457.9178	171.1474	0.0525916	0.030362	0.0188381	0.032634	0.0226731	0.00781168	0.00494921	0.00334381	0.0127256	0.0113551	0.00464519	0.00196722	0.0780866	0.0198264	0.00419901	0.0144402	0.027813	0.000455563	0.0248621	0.0433035	0.00123741	0.00584642	0.0317193	0.00722734	0.00158266	0.0161236	0.00129854	0.00785586	0.00894524	0.0208884	0.00109969	0.0114369	0.00858381	0.000904824	0.00941391	0.0254265	0.00795563	0.00293315	0.00884421	0.00879396	0.0386206	0.00713855	0.00928783	0.0162921	0.0277217	0.026857	0.0158578	0.0323822	0.0255078	0.0028879	0.0119249	0.0171676	0.00173733	0.00611297	0.00202211	0.00948517	0.00363397	0.00833506	0.0012189	0.0064467	0.00357735	0.0363247	0.0485175	0.00341626	0.0112559	0.020995	0.00315879	0.01865	0.0256286	0.00685496	0.0042644	0.0165952	0.00266325	0.0399023	0.0405707	0.032121	0.00439587	0.00182921	0.00896772	0.0168005	0.0117387	0.0090677	0.0377441	0.0131918	0.00995696	0.0787498	0.0612556	0.0114626	0.0387733	0.00154918	0.0114352	0.00271254	0.0175885	0.00836402	0.00379567	0.00433855	0.00443608	1.627301	0.0339676	0.01961	0.0121671	0.0210775	0.014644	0.00504537	0.00319657	0.00215968	0.00821913	0.00733396	0.00300021	0.00127058	0.0504341	0.0128054	0.00271204	0.00932658	0.0179637	0.000294237	0.0160578	0.0279686	0.00079921	0.00377605	0.0204867	0.00466795	0.0010222	0.0104138	0.000838695	0.0050739	0.0057775	0.0134913	0.000710261	0.00738683	0.00554406	0.000584403	0.0060802	0.0164223	0.00513834	0.00189445	0.00571225	0.00567979	0.024944	0.00461061	0.00599877	0.0105227	0.0179047	0.0173463	0.0102422	0.0209148	0.0164749	0.00186522	0.00770196	0.0110881	0.0011221	0.00394821	0.00130603	0.00612623	0.00234709	0.00538341	0.000787254	0.00416376	0.00231052	0.0234612	0.0313362	0.00220648	0.00726991	0.0135602	0.00204018	0.0120456	0.0165529	0.00442744	0.00275427	0.0107184	0.00172012	0.0257719	0.0262036	0.0207461	0.00283918	0.00118144	0.00579202	0.010851	0.00758173	0.0058566	0.024378	0.00852027	0.00643095	0.0508625	0.0395634	0.00740342	0.0250427	0.00100057	0.0073857	0.00175196	0.01136	0.00540211	0.00245153	0.00280216	0.00286515	1.548288
