Iteration	Posterior	Likelihood	Prior	gain_loss_neo	part_rate_trans	tree_length
0	-643.1129	-807.6867	164.5738	5.163075	3.070492	2.307704
6	-638.3187	-803.1848	164.8661	4.036405	3.070492	2.514485
12	-633.8045	-798.3705	164.5661	4.783356	3.792526	1.971206
18	-648.1327	-812.9751	164.8424	4.783356	3.5162	1.971206
24	-635.8492	-799.9187	164.0694	3.715535	5.345015	1.667741
30	-638.9793	-803.3663	164.3871	2.978156	5.482189	1.690736
36	-649.4492	-811.7323	162.2831	7.292483	5.519902	1.540369
42	-639.3718	-801.6671	162.2953	5.153463	6.759286	1.329207
48	-633.8646	-796.828	162.9634	4.501773	6.197626	1.515421
54	-646.5395	-808.434	161.8945	5.602032	6.580788	1.599532
60	-644.5736	-806.4031	161.8296	4.874987	7.284773	1.396601
66	-643.8654	-806.2677	162.4022	4.704137	6.792576	1.40524
72	-629.3477	-792.6448	163.2972	4.925396	5.644268	1.508162
78	-641.9987	-805.7062	163.7074	4.925396	4.641041	1.927261
84	-639.7762	-803.1944	163.4182	4.48722	5.005392	2.035753
90	-636.4814	-800.84	164.3587	4.444831	4.010312	2.087473
96	-645.8053	-811.0375	165.2322	2.556593	4.000516	2.32124
102	-651.0033	-814.3842	163.3809	4.055046	4.000516	2.849003
108	-645.2426	-810.6101	165.3675	2.59253	4.161937	2.112103
114	-642.7055	-806.6707	163.9651	3.454995	5.129948	2.001344
120	-638.5018	-802.1868	163.6851	5.462882	4.659744	1.741326
126	-632.7802	-797.3763	164.5961	4.518352	4.339795	1.672769
132	-638.6515	-804.4582	165.8068	2.212829	4.586493	1.728224
138	-621.9202	-785.1657	163.2455	5.916105	4.878798	1.742931
144	-630.7459	-794.5911	163.8452	4.514873	4.658821	1.971953
150	-630.579	-794.803	164.224	3.646146	4.659367	2.060829
156	-643.8919	-806.7947	162.9028	6.123615	4.659367	2.059186
162	-634.9236	-798.7516	163.8279	4.514289	4.970403	1.771291
168	-635.1836	-798.8383	163.6547	4.514289	5.143604	1.771291
174	-643.5327	-804.5809	161.0483	6.957032	6.992954	1.466458
180	-631.5228	-794.3494	162.8266	4.009823	6.620377	1.513316
186	-630.4371	-793.7936	163.3565	5.462646	5.054298	1.694866
192	-629.5633	-793.4704	163.9071	4.719921	4.596769	1.896246
198	-634.2591	-796.8312	162.5721	4.484117	6.25431	1.763451
204	-631.7631	-795.0659	163.3027	5.921013	4.465903	1.984509
210	-631.6336	-795.2519	163.6184	5.921013	4.3244	1.866896
216	-634.994	-798.3308	163.3368	5.458219	4.396688	2.154587
222	-623.8753	-787.041	163.1656	4.289819	5.546881	1.917015
228	-622.2689	-786.3165	164.0477	4.905933	4.326216	1.917015
234	-638.4465	-802.1057	163.6592	5.983169	4.326216	1.817699
240	-632.1584	-796.5702	164.4118	3.863917	4.744635	1.785054
246	-632.4135	-796.414	164.0006	3.655906	4.99512	1.982114
252	-620.7332	-784.4337	163.7005	4.740647	4.751963	1.923533
258	-621.1634	-785.5619	164.3985	2.806365	5.418478	1.813068
264	-622.9608	-785.5053	162.5445	5.499439	6.318309	1.343685
270	-625.2885	-787.8685	162.58	5.590127	6.134167	1.42529
276	-631.8881	-794.1696	162.2815	5.570945	6.134167	1.653478
282	-645.58	-808.2701	162.6902	5.570945	5.289804	1.955135
288	-641.6996	-805.32	163.6204	3.549239	6.392017	1.29451
294	-650.9595	-812.0796	161.1202	6.724894	7.075546	1.424156
300	-636.9489	-798.3431	161.3942	6.333085	7.075546	1.344798
306	-638.9189	-802.0304	163.1115	5.699932	5.400307	1.538009
312	-635.7249	-799.75	164.0252	3.79881	5.400307	1.622833
318	-633.6218	-799.1233	165.5015	3.216962	3.975098	1.849904
324	-641.6446	-805.0591	163.4145	5.675826	4.387078	2.040193
330	-631.7679	-794.112	162.3442	5.932038	6.267966	1.377705
336	-643.1491	-805.4325	162.2834	5.165481	6.913351	1.206705
342	-647.468	-808.1992	160.7313	5.1146	8.265645	1.390599
348	-642.2937	-799.8954	157.6016	7.642944	10.73895	0.9693749
354	-639.0787	-797.1759	158.0972	8.689915	9.907042	0.9034966
360	-642.0282	-801.8242	159.796	7.719782	8.376516	1.102555
366	-639.3195	-800.4489	161.1294	7.409183	7.135077	1.131681
372	-644.0764	-806.6604	162.584	4.896444	6.643496	1.297592
378	-637.8298	-800.2845	162.4547	5.496003	6.057286	1.610532
384	-629.4304	-792.4244	162.9941	5.496003	5.628793	1.529175
390	-628.5333	-792.5678	164.0346	4.07438	5.147418	1.678447
396	-627.9462	-790.9232	162.977	6.064974	4.924378	1.849352
402	-650.1849	-810.6651	160.4802	8.384066	7.448206	1.092902
408	-647.4063	-808.4155	161.0092	6.659748	7.448206	1.236957
