Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	part_rate_trans	tree_length
0	-200.4233	-357.1896	156.7663	1.801998	5.409181	6.043743	4.042051
6	-209.8695	-368.1618	158.2923	1.808641	8.193667	3.066064	4.180131
12	-196.5763	-354.2608	157.6845	1.489152	10.07247	4.224324	3.668331
18	-194.7064	-352.4881	157.7817	1.489152	10.92936	4.140612	3.501536
24	-195.4113	-356.9498	161.5386	1.20411	4.802637	3.624912	3.204511
30	-216.6853	-378.1416	161.4562	1.20411	4.580129	3.624912	3.324423
36	-209.7016	-367.7419	158.0403	1.286743	10.98232	4.973463	2.965787
42	-195.1136	-352.9849	157.8714	1.559733	12.9581	4.396155	2.904156
48	-188.8329	-347.2336	158.4007	1.975758	7.737497	5.154467	2.904156
54	-181.1269	-339.2188	158.0918	1.975758	6.899922	5.154467	3.292524
60	-191.1186	-353.2593	162.1407	1.213676	2.653704	4.212374	3.292524
66	-181.7164	-346.0484	164.332	1.557049	1.950787	3.730269	2.38544
72	-191.3332	-354.082	162.7488	1.758717	3.854995	3.743571	2.38544
78	-188.0085	-351.0951	163.0866	1.865048	2.210847	4.30952	2.474597
84	-186.9534	-343.4808	156.5274	1.948498	9.146178	6.032004	3.202855
90	-185.3387	-347.5424	162.2038	1.221997	2.648278	6.639509	1.720852
96	-191.3378	-348.9704	157.6326	1.221997	8.093335	8.381552	1.720852
102	-189.5965	-351.8826	162.2861	1.324073	4.992691	5.612299	1.260153
108	-191.5762	-352.3946	160.8184	1.041884	6.042022	6.474711	1.549389
114	-188.3708	-346.3305	157.9597	1.597105	7.90867	6.474711	2.556659
120	-204.7703	-356.8029	152.0326	2.266621	14.10257	8.075484	3.58292
126	-221.9775	-377.7111	155.7336	1.574089	8.315541	6.853628	3.58292
132	-218.916	-372.1983	153.2823	2.261165	16.95072	6.415833	3.424124
138	-205.1037	-362.5876	157.4839	1.446349	5.151817	6.145015	3.851203
144	-223.5245	-379.6738	156.1493	1.360765	12.33053	3.713777	4.514163
150	-211.2385	-367.5064	156.2679	1.508574	10.31517	5.919168	3.449182
156	-222.3898	-382.2465	159.8567	1.444238	5.936744	6.841948	1.723042
162	-199.9351	-357.5367	157.6016	1.143539	13.33025	6.162851	2.166678
168	-210.3933	-367.2373	156.8441	1.91528	10.30398	5.975163	2.833171
174	-200.1044	-356.1793	156.0748	2.133711	10.0499	7.186482	2.47723
180	-204.8453	-364.8297	159.9844	1.470833	6.110172	5.407059	2.51153
186	-208.7205	-370.5949	161.8744	1.290179	4.234171	5.121929	2.219185
192	-203.017	-362.5165	159.4995	1.801996	4.3724	5.296086	3.208496
198	-192.7923	-356.2142	163.4219	1.304628	4.73002	3.723061	1.929338
204	-198.0796	-359.6124	161.5328	1.134065	4.726664	4.734753	2.604191
210	-198.5661	-355.547	156.9809	1.412328	16.18688	6.36788	1.785379
216	-194.2479	-351.5685	157.3206	1.127589	16.18688	2.223903	4.265348
222	-194.0798	-355.9299	161.8501	1.127589	6.315457	2.88936	3.061453
228	-189.8217	-347.4429	157.6212	1.423263	14.72444	5.698056	2.037704
234	-199.9058	-357.3168	157.411	1.423263	14.72444	5.579166	2.25233
240	-207.2662	-364.5241	157.2579	1.091613	19.46121	4.175273	2.765251
246	-204.0215	-360.0857	156.0642	1.63374	21.40088	5.009377	2.415628
252	-206.9904	-363.0948	156.1044	1.432987	22.87972	4.998216	2.35107
258	-202.7687	-360.0102	157.2415	1.445886	17.41091	4.998216	2.313428
264	-193.8666	-351.0484	157.1818	1.592499	17.41091	4.998216	2.257807
270	-198.9985	-356.9671	157.9686	0.8353709	11.65555	6.447321	2.250495
276	-215.3123	-373.732	158.4197	1.651984	7.611038	4.801707	3.325691
282	-206.093	-364.5842	158.4912	1.109406	10.87856	5.640733	2.407115
288	-208.3722	-368.4317	160.0595	1.345471	6.550075	4.373095	3.052253
294	-194.4718	-352.4948	158.023	1.688284	8.486554	4.25005	3.661987
300	-196.952	-355.5891	158.6372	1.234792	12.62506	3.470052	3.249098
306	-188.5491	-347.7106	159.1615	1.723417	7.735565	4.866569	2.770708
312	-198.3971	-355.7817	157.3846	0.920377	12.85639	7.233626	1.832181
318	-199.6493	-355.945	156.2957	1.368918	10.0358	7.233626	2.786859
324	-194.0728	-353.3399	159.267	1.423809	7.384526	3.76971	3.620056
330	-198.3763	-358.4101	160.0338	1.065572	6.039194	1.260577	5.13684
336	-191.6301	-354.0436	162.4135	0.8565202	6.759037	2.427422	3.046088
342	-200.7814	-362.5174	161.7359	1.435579	7.762228	3.158368	2.405622
348	-203.1068	-362.6293	159.5225	2.097018	7.070058	4.072432	2.970203
354	-221.3691	-380.4874	159.1183	1.202864	9.28486	4.664363	2.88806
360	-210.7842	-369.9028	159.1186	1.327768	12.54084	3.887104	2.666323
366	-207.4407	-365.6136	158.1729	1.45642	9.603323	4.869202	3.114649
372	-219.0057	-374.6621	155.6564	1.306095	9.391459	4.721567	4.771404
378	-217.0683	-371.5919	154.5236	1.378481	20.90994	5.264432	3.404623
384	-191.9767	-350.6862	158.7095	1.378481	9.154277	4.402302	3.211608
390	-201.3548	-360.7078	159.353	0.8899215	8.720353	4.402302	3.211608
396	-216.3551	-377.8582	161.5032	0.8899215	5.276768	4.481497	2.751681
402	-208.503	-369.565	161.062	0.9070886	5.759396	5.826591	2.017459
408	-201.7643	-362.8798	161.1155	1.128285	5.759396	5.826591	1.831887
414	-205.5867	-363.9818	158.3951	1.019811	17.63614	5.257114	1.615991
420	-206.4619	-362.5741	156.1122	1.659723	15.44674	6.29441	2.36036
426	-207.4458	-366.244	158.7981	1.059045	11.59688	6.29441	1.655553
432	-211.7128	-370.0658	158.353	1.171028	12.26071	4.689843	2.788239
438	-208.7691	-368.0843	159.3152	1.161126	9.845483	4.482725	2.788239
444	-200.2274	-357.6764	157.4491	1.854818	12.44465	4.482725	3.01476
450	-201.6248	-358.5248	156.9001	1.473379	14.36321	4.482725	3.261771
456	-196.2713	-358.1617	161.8904	0.8514242	5.097132	5.142274	2.175178
462	-198.5794	-356.6699	158.0904	1.059024	12.17646	5.376945	2.611265
468	-199.2287	-357.9274	158.6987	1.096763	10.95574	5.691826	2.235068
474	-196.3587	-360.3347	163.9759	0.9176902	2.993528	4.155309	2.235068
480	-204.0826	-366.6864	162.6038	0.9225807	4.327314	5.133364	1.938161
486	-215.1436	-377.1044	161.9608	0.6500539	4.772754	5.16337	2.355266
492	-205.5806	-363.651	158.0704	1.820625	10.37712	5.649288	2.318154
498	-213.2279	-371.2902	158.0623	0.9857651	9.654121	6.700371	2.337577
504	-219.8773	-380.7451	160.8678	0.9857651	7.041569	4.876116	2.337577
510	-214.6076	-375.5586	160.951	1.009709	6.713611	3.588848	3.145973
516	-230.1004	-387.1547	157.0544	1.688311	11.86206	4.991791	3.145973
522	-212.032	-374.13	162.098	1.688311	3.388215	3.515337	3.145973
528	-208.5183	-366.4821	157.9638	1.177583	12.83526	6.178784	1.984131
534	-219.497	-376.7006	157.2036	1.607164	19.02226	4.092348	2.588099
540	-205.8191	-363.3949	157.5758	1.691033	13.35787	4.673344	2.769666
546	-203.7993	-364.2459	160.4466	1.130805	9.131845	4.148011	2.465868
552	-197.4342	-357.3467	159.9125	1.305741	8.398316	3.923157	2.986337
558	-209.606	-367.2603	157.6543	1.390155	15.00274	3.923157	3.100384
564	-203.0907	-361.9754	158.8846	0.9537547	17.11844	2.510684	3.172141
570	-185.2107	-345.5454	160.3347	1.481502	7.629641	2.510684	3.640483
576	-200.134	-363.3179	163.184	0.9199182	5.512232	3.714788	2.081439
582	-190.1869	-350.4219	160.235	1.277656	5.512232	6.554758	1.915524
588	-213.2241	-368.8666	155.6425	2.039096	5.677425	9.887435	2.191966
594	-199.1782	-350.1428	150.9646	2.094395	28.85536	9.345147	1.786934
600	-193.7122	-352.1045	158.3922	0.9990914	11.60162	6.143149	2.07673
606	-201.5096	-354.7979	153.2882	2.038423	17.59629	8.12694	2.43449
612	-205.3129	-362.532	157.2191	1.222535	13.00939	3.3348	4.094255
618	-189.6356	-349.3294	159.6938	1.594117	10.66034	4.100239	2.357543
624	-189.4309	-347.429	157.9981	1.337691	13.42532	4.323813	2.928786
630	-199.3446	-357.6092	158.2646	1.091046	14.02086	4.127486	2.94052
636	-207.1499	-365.6709	158.521	1.936533	4.331626	3.545299	4.70931
642	-207.7831	-363.5169	155.7337	1.936533	6.462136	3.224916	5.837291
648	-202.0594	-361.6578	159.5984	1.473575	5.329919	5.362803	3.001683
654	-196.6095	-355.734	159.1245	1.972895	5.329919	5.832952	2.70117
660	-198.5096	-353.7429	155.2333	1.972895	20.80116	5.656574	2.390125
666	-200.1028	-355.758	155.6552	1.292891	11.72806	9.615707	1.314777
672	-197.5436	-357.594	160.0504	1.382263	7.830685	3.859319	3.025839
678	-196.9702	-357.0863	160.1161	1.462011	7.903309	3.685643	3.025839
684	-192.4613	-352.4473	159.986	0.7578468	11.09013	4.413149	2.419072
690	-207.0779	-367.3536	160.2757	0.7578468	12.55293	4.413149	1.952157
696	-195.4547	-355.2268	159.7721	1.118826	12.89002	4.911982	1.639986
702	-192.2393	-353.2215	160.9822	1.118826	3.211792	4.848265	3.423011
708	-192.5003	-351.9046	159.4043	1.598528	5.257797	4.82499	3.383133
714	-202.8071	-363.8496	161.0425	1.188803	5.257797	4.82499	2.646057
720	-199.8327	-354.0304	154.1977	1.945924	14.64243	6.488108	3.352288
726	-204.5233	-360.276	155.7527	1.847429	14.36284	5.948709	2.847587
732	-205.181	-365.5156	160.3346	1.141234	4.578604	4.730893	3.371084
738	-212.2642	-371.3996	159.1354	1.065846	7.441208	4.663057	3.371084
744	-204.5138	-359.2496	154.7358	1.554056	17.50261	6.396543	2.919214
750	-201.7217	-360.9273	159.2056	0.9562553	9.684495	6.579367	1.666981
756	-222.5881	-377.6031	155.015	1.412507	25.2374	5.878843	2.235531
762	-203.1783	-358.288	155.1097	1.549289	25.2374	5.647387	2.235531
768	-205.7524	-362.1953	156.4429	1.499307	18.00028	5.647387	2.292388
774	-209.886	-367.6069	157.7209	1.850814	12.55687	5.425104	2.246822
780	-206.7332	-362.8796	156.1464	0.9864397	19.67316	5.945023	2.3954
786	-219.8709	-373.6063	153.7354	1.03804	26.89822	6.051654	2.984982
792	-209.9394	-365.2712	155.3318	1.065265	18.13072	6.786685	2.53073
798	-210.9072	-369.337	158.4298	1.773375	11.32965	5.034103	2.321941
804	-209.9146	-369.6228	159.7082	0.849361	14.52174	3.798085	2.321941
810	-216.2083	-373.8323	157.624	1.360179	14.06004	4.440463	2.9696
816	-211.5696	-370.1426	158.573	1.347038	7.782857	3.543983	4.101255
822	-207.0051	-364.9806	157.9755	1.074244	13.6553	3.574401	3.50585
828	-218.4577	-378.9563	160.4985	1.800612	4.552705	4.503057	3.026569
834	-196.527	-354.663	158.136	1.68537	13.1162	2.382609	3.83289
840	-201.5067	-361.3713	159.8645	1.68537	11.03826	3.371967	2.57603
846	-203.9948	-363.9925	159.9977	1.331399	11.55037	3.229008	2.704633
852	-209.0812	-368.5025	159.4213	1.300101	12.03985	4.604587	2.129086
858	-198.5106	-358.8554	160.3448	1.585137	9.371915	3.383103	2.669981
864	-195.9476	-353.9935	158.0459	1.585137	16.89007	4.866121	1.855785
870	-196.681	-353.0106	156.3295	1.851273	16.89007	5.740415	2.237216
876	-197.5471	-356.0934	158.5464	1.077257	19.60642	4.52351	1.694421
882	-215.6013	-372.0769	156.4756	1.599516	19.60642	4.783533	2.541339
888	-198.2166	-357.0572	158.8407	1.44605	8.092864	4.385207	3.333715
894	-194.3002	-354.7138	160.4136	1.110406	5.837245	5.867982	2.256916
900	-194.1677	-353.5253	159.3576	1.620867	9.469296	4.124717	2.777989
906	-181.7732	-339.061	157.2877	1.637198	9.469296	4.813425	3.588379
912	-192.4388	-355.3392	162.9004	1.37861	2.486074	5.063002	2.285835
918	-184.3195	-344.0393	159.7198	1.592623	9.693285	4.779153	2.10758
924	-179.2937	-340.1855	160.8918	1.297781	4.71624	6.489114	1.777517
930	-187.197	-347.6387	160.4418	1.578869	6.639678	5.726961	1.777517
936	-185.9066	-346.079	160.1723	1.074771	5.837164	5.816044	2.465542
942	-191.6249	-349.6713	158.0464	1.665335	6.693594	6.721187	2.616458
948	-184.8051	-345.1616	160.3566	1.393469	3.27324	7.718005	1.829853
954	-178.4184	-339.4319	161.0135	1.167854	3.037602	7.592526	1.728806
960	-181.542	-344.3779	162.8359	1.235281	2.393541	6.648406	1.380928
966	-199.661	-358.3232	158.6622	1.327605	8.936293	7.753759	1.077511
972	-199.1189	-359.6165	160.4977	1.419024	3.434149	7.729939	1.629595
978	-198.1985	-360.2346	162.0361	1.235382	3.449424	5.669859	2.105379
984	-193.8464	-354.6208	160.7744	0.9299194	7.203697	5.317642	2.105379
990	-214.9429	-376.7758	161.8329	0.9299194	4.699314	5.438624	2.105379
996	-191.3421	-353.464	162.1218	0.7933745	4.576437	5.438624	2.049226
1002	-197.1454	-357.9566	160.8112	1.146093	8.886907	4.989629	1.717858
1008	-204.9748	-363.5947	158.6199	1.577263	10.78884	6.100513	1.726923
1014	-207.1002	-364.6997	157.5995	1.136844	6.362956	8.743304	2.04198
1020	-205.5438	-360.7539	155.2101	1.998883	16.20806	7.168235	2.04198
1026	-197.5645	-354.5178	156.9533	1.998883	7.101591	6.979453	2.817385
1032	-207.4409	-365.0501	157.6092	1.311632	7.101591	7.696366	2.392963
1038	-204.3929	-357.4259	153.033	2.158608	16.05895	6.233093	3.853243
1044	-215.9884	-369.7416	153.7532	2.333733	12.56883	6.233093	3.853243
1050	-220.7661	-373.581	152.815	2.322415	12.55339	5.593376	4.755196
1056	-222.0308	-374.8217	152.7909	2.105967	13.45346	5.792115	4.640474
1062	-218.1239	-375.4546	157.3308	1.412862	11.77356	3.958143	3.765143
1068	-206.8161	-364.8268	158.0107	1.090656	9.41112	4.351558	3.765143
1074	-205.7507	-363.1758	157.4251	1.691842	9.41112	4.335969	3.765143
1080	-199.5197	-355.8813	156.3616	1.691842	13.92143	4.053495	3.765143
1086	-197.8985	-355.6754	157.7769	1.185049	13.92143	3.219931	3.721877
1092	-189.9271	-345.5461	155.619	1.875547	15.5241	7.149885	1.972119
1098	-196.2967	-352.9646	156.6679	1.098847	11.31828	7.108	2.552194
1104	-201.1353	-355.9946	154.8593	1.706674	18.23184	6.926277	2.322719
1110	-202.44	-360.7064	158.2664	1.393628	6.788721	7.771955	1.949214
1116	-205.552	-362.4136	156.8615	1.232696	8.220632	8.430752	2.167691
1122	-204.8623	-363.7128	158.8505	1.016902	8.220632	6.919085	1.99561
1128	-200.3924	-356.8009	156.4085	1.556087	11.98951	6.548235	2.65298
1134	-206.5932	-363.8104	157.2172	0.9877294	12.80314	6.525242	2.373115
1140	-199.5492	-362.1454	162.5961	0.9877294	4.667155	3.763332	2.657706
1146	-190.6827	-353.618	162.9353	1.252448	3.833176	4.174779	2.323147
1152	-199.1243	-359.1792	160.0549	1.084482	7.281157	3.155736	3.740168
1158	-193.5649	-354.2673	160.7025	1.22701	5.104928	3.197439	3.835347
1164	-194.7979	-353.5924	158.7945	1.379819	11.11791	3.197439	3.490795
1170	-188.6833	-345.924	157.2408	1.627761	9.313106	5.0913	3.490795
1176	-188.0318	-344.6939	156.6621	1.50026	5.929661	2.335882	6.186141
1182	-194.2022	-350.8104	156.6082	1.28266	7.950954	2.335882	5.866139
1188	-189.7521	-347.2835	157.5314	1.176914	11.0808	4.016214	3.871912
1194	-191.1724	-347.4101	156.2377	1.528415	14.41092	3.216229	4.334809
1200	-182.3063	-340.9919	158.6856	1.724534	11.3305	2.940614	3.46523
1206	-188.229	-348.126	159.897	1.183307	8.356223	2.764965	3.757066
1212	-191.2778	-353.3364	162.0586	1.183307	6.254105	3.602553	2.481578
1218	-205.8157	-363.7248	157.9091	1.570881	15.27301	3.653047	2.961571
1224	-203.4069	-362.8805	159.4736	1.04607	8.900999	5.143781	2.555679
1230	-203.8798	-362.0916	158.2118	1.389607	10.52934	5.457246	2.59011
1236	-200.1873	-357.6488	157.4615	1.302523	19.08297	4.53726	2.330246
1242	-209.1209	-365.9709	156.85	1.249284	17.70321	4.249435	3.095295
1248	-203.5873	-365.5733	161.986	1.202921	6.122519	4.249435	2.140798
1254	-184.4307	-342.1004	157.6697	1.321582	16.33771	5.132986	2.187866
1260	-191.0202	-350.5022	159.482	1.489647	8.228651	5.529674	2.181083
1266	-201.7004	-359.8781	158.1777	1.254988	17.28479	4.804519	1.971758
1272	-196.9821	-353.09	156.108	1.303993	19.09988	5.120293	2.805923
1278	-200.6167	-359.6183	159.0016	1.637237	9.371997	2.490689	3.958637
1284	-198.5849	-358.0718	159.4868	1.08547	7.00838	3.455944	3.958637
1290	-205.8729	-365.2157	159.3428	1.786357	5.857412	2.887071	4.257311
1296	-201.6769	-363.7802	162.1032	1.102823	5.799697	2.988276	3.008319
1302	-211.0744	-371.2368	160.1625	1.102823	7.684064	4.14419	2.98994
1308	-208.071	-365.6234	157.5524	1.904911	11.26295	5.561732	2.472596
1314	-218.2902	-377.8355	159.5453	0.7294537	7.02662	7.80161	1.417098
1320	-205.2645	-365.0304	159.7659	1.299867	9.144474	6.125842	1.472902
1326	-205.2125	-362.4908	157.2783	1.001739	9.294571	7.622613	2.31787
1332	-208.2103	-367.6892	159.4789	1.037731	5.720137	5.238884	3.291761
1338	-208.2695	-369.887	161.6174	1.080353	6.595421	2.656879	3.291761
1344	-208.4499	-370.6517	162.2018	1.080353	5.317373	2.040844	3.65987
1350	-188.2482	-351.7548	163.5066	1.079608	4.164894	2.37114	3.065404
1356	-203.0234	-365.0009	161.9776	1.563312	4.049369	3.364	3.137115
1362	-202.4226	-364.6301	162.2075	1.544857	2.242092	4.395708	3.137115
1368	-198.6361	-357.5968	158.9607	1.262777	13.72542	4.067148	2.492834
1374	-199.6231	-357.792	158.169	1.400359	12.48364	5.060007	2.492834
1380	-191.3838	-351.5304	160.1466	1.213998	7.576089	5.060007	2.394878
1386	-195.6535	-356.5596	160.9061	1.088834	4.374015	5.057302	2.936368
1392	-193.7602	-356.341	162.5808	0.9715235	3.657612	5.15456	2.17163
1398	-197.1198	-356.3747	159.2549	1.623768	3.955095	4.314187	4.162658
1404	-193.6429	-354.2057	160.5628	1.19504	8.244148	4.345391	2.431541
1410	-187.8757	-351.6896	163.8138	0.9445252	3.829877	3.997989	2.069414
1416	-192.5692	-353.5041	160.935	1.364798	8.749696	4.206371	2.051793
1422	-206.8525	-365.3936	158.5412	1.219447	13.88329	4.26925	2.629087
1428	-213.6097	-370.8094	157.1997	1.887204	14.81346	4.739324	2.608098
1434	-197.9305	-358.7369	160.8064	0.817407	10.13723	4.685283	1.863545
1440	-200.4305	-363.1737	162.7432	0.817407	2.963731	4.430522	2.905638
1446	-198.0402	-358.0157	159.9756	1.013685	9.753801	3.806926	2.905638
1452	-196.7765	-361.7568	164.9803	1.230915	1.596999	4.995889	1.524624
1458	-203.4895	-362.7519	159.2624	1.580448	6.872262	6.148561	2.215699
1464	-197.5851	-359.5352	161.9501	1.133504	3.224837	6.496101	1.775022
1470	-202.8642	-361.8224	158.9582	1.466785	9.566603	5.97211	1.933107
1476	-209.7442	-371.9663	162.2221	0.9385659	7.368527	4.052913	1.933107
1482	-208.6589	-373.6023	164.9434	1.323291	1.486094	4.463899	1.933107
1488	-208.0963	-372.9539	164.8576	0.6488141	2.239197	5.140783	1.529557
1494	-211.4281	-375.0668	163.6386	0.6859612	2.577327	4.592435	2.510411
1500	-213.6176	-377.9091	164.2916	1.169826	3.623131	2.940918	2.380746
1506	-209.9757	-375.8576	165.8819	1.261489	1.447183	4.075516	1.618491
1512	-207.7808	-370.4797	162.6989	1.128978	2.304479	6.660211	1.607932
1518	-211.5143	-368.144	156.6297	1.291826	18.41904	6.592628	1.607932
1524	-200.8841	-359.4219	158.5377	0.9387722	22.65785	4.414777	1.452537
1530	-212.9378	-373.3308	160.393	1.124181	6.200516	6.673049	1.602082
1536	-207.436	-368.6499	161.2139	1.124181	7.399777	5.016523	1.828432
1542	-210.953	-370.4621	159.5091	0.7814355	5.978336	7.532518	1.929929
1548	-200.3143	-358.5003	158.186	0.9432835	8.506333	7.648382	1.929929
1554	-204.1277	-363.3001	159.1725	1.061525	10.26368	6.405044	1.602545
1560	-202.5111	-360.6048	158.0938	0.8690845	14.85104	6.405044	1.582934
1566	-198.1597	-357.8999	159.7401	1.574765	5.581464	7.875106	1.024372
1572	-198.9844	-359.4941	160.5097	0.8429525	5.580004	7.875106	0.9875435
1578	-191.4946	-352.2114	160.7168	0.8429525	11.21075	4.990106	1.447371
1584	-190.3325	-350.0932	159.7608	1.098554	11.21075	4.990106	1.945451
1590	-201.2571	-361.8417	160.5846	1.098554	6.674682	5.061149	2.427366
1596	-211.4726	-369.5351	158.0625	0.8166892	14.45768	6.394131	1.721711
1602	-203.9222	-363.9032	159.981	0.7373419	9.3299	6.111925	1.689965
1608	-199.4719	-360.2191	160.7472	1.092724	7.133445	5.627031	1.826381
1614	-212.1483	-375.8334	163.685	1.136336	1.602917	5.462638	2.156946
1620	-211.1301	-371.5584	160.4283	1.136336	11.17717	3.551766	2.427829
1626	-214.3	-373.527	159.227	0.9745905	9.19457	4.776755	2.91144
1632	-196.5158	-356.7885	160.2728	1.051923	18.77492	2.776886	1.845607
1638	-199.3788	-359.1268	159.748	1.051923	9.6573	5.69503	1.845607
1644	-192.27	-354.9619	162.6919	0.8247829	5.881801	3.555905	2.446353
1650	-201.8777	-361.8374	159.9596	1.562967	5.881801	7.245375	1.27145
1656	-205.1367	-366.4101	161.2733	1.478312	5.881801	5.077277	1.956474
1662	-198.7673	-359.5462	160.7789	1.728458	3.080742	5.729751	2.706342
1668	-196.1893	-357.5529	161.3636	1.100366	3.837258	6.304449	2.058492
1674	-212.2664	-373.5921	161.3257	0.7474596	3.837258	7.137694	1.758482
1680	-208.8538	-368.8396	159.9858	1.372819	6.852914	6.467285	1.657419
1686	-201.8336	-361.2264	159.3928	0.7558754	10.21344	5.684879	2.163523
1692	-201.2945	-361.8629	160.5684	1.010193	3.929082	7.681261	1.684698
1698	-208.6097	-369.8902	161.2806	1.662721	2.007801	7.681261	1.684698
1704	-188.8542	-351.4613	162.607	1.662721	4.926188	3.557193	2.269537
1710	-196.8293	-359.1498	162.3205	1.331072	6.582808	3.72771	2.043954
1716	-204.2434	-363.9335	159.6901	0.8369222	6.686854	7.635937	1.461814
1722	-203.8747	-367.1335	163.2588	1.034918	4.134135	5.023229	1.555299
1728	-205.1304	-367.1413	162.0109	1.488009	1.804397	3.66859	3.923715
1734	-201.8678	-360.2184	158.3506	2.131438	1.464439	4.125261	5.530529
1740	-204.862	-364.6987	159.8367	1.22182	4.604781	4.206321	3.908793
1746	-213.4887	-374.6708	161.1821	1.018977	8.526592	3.317546	2.728911
1752	-194.5005	-356.7752	162.2747	1.434453	2.077463	4.387172	3.247766
1758	-193.9547	-353.0739	159.1191	1.567127	3.962725	5.758883	3.438698
1764	-206.1485	-365.8537	159.7052	1.422241	7.568735	2.46278	4.077648
1770	-204.9277	-361.5701	156.6423	1.878955	10.1885	3.654301	4.345228
1776	-197.3192	-355.2419	157.9228	1.425805	14.10946	3.748537	3.157662
1782	-203.1289	-360.9747	157.8458	1.291453	13.40365	4.176008	3.139639
1788	-207.8396	-366.2205	158.3808	1.291453	9.846957	5.080048	2.913277
1794	-203.2037	-359.0272	155.8235	2.199676	10.0175	6.295937	3.138926
1800	-189.5137	-346.9066	157.3929	1.255781	12.37222	6.470511	2.201571
1806	-197.7678	-358.6185	160.8506	1.316716	8.845997	3.839528	2.3524
1812	-197.9632	-355.977	158.0138	1.577269	15.23875	3.357312	3.077272
1818	-203.0181	-362.308	159.29	1.212004	9.054647	3.850185	3.313896
1824	-196.8015	-358.6315	161.83	0.9321812	5.55637	4.018718	2.724048
1830	-203.3089	-363.9254	160.6164	1.333958	8.126418	3.7261	2.724048
1836	-221.0659	-379.8728	158.807	0.7402554	13.99735	3.598529	3.146012
1842	-211.9633	-370.4634	158.5	1.317522	15.62221	4.444242	2.208175
1848	-218.3468	-378.4112	160.0644	1.111792	8.508607	5.113377	2.250306
1854	-210.4833	-372.0867	161.6034	1.538617	6.423597	4.053679	2.209915
1860	-217.2627	-381.6316	164.3689	0.6117892	2.789194	3.356157	2.771525
1866	-211.7026	-371.8462	160.1435	0.8154698	11.29771	3.565746	2.771525
1872	-202.5145	-362.8269	160.3124	1.734726	8.089501	3.565746	2.771525
1878	-202.5285	-361.104	158.5755	1.739469	11.37143	4.217055	2.753455
1884	-201.0941	-359.383	158.2888	1.472268	12.10998	5.448781	2.191452
1890	-196.4334	-356.2062	159.7728	0.9429175	10.00551	5.040541	2.257504
1896	-199.7153	-361.4324	161.7172	1.7596	2.716486	4.946741	2.751072
1902	-209.213	-366.5749	157.3619	1.808594	12.40726	4.738308	2.947689
1908	-214.5478	-369.5921	155.0443	2.284164	9.817028	4.281138	4.732182
1914	-203.924	-360.2224	156.2985	2.284164	11.53354	4.71283	3.461904
1920	-204.8235	-359.5157	154.6922	2.273817	12.34878	4.71283	4.254442
1926	-212.9868	-370.7604	157.7737	1.752424	9.765822	2.949775	4.254442
1932	-224.1719	-384.3723	160.2005	1.712571	4.511421	5.738065	2.522471
1938	-224.3535	-381.1682	156.8147	1.243955	12.73713	5.436559	3.139712
1944	-205.4011	-367.8398	162.4387	1.208313	4.692584	2.889028	3.139712
1950	-202.6124	-363.9126	161.3002	0.9996494	6.547251	3.332764	3.139712
1956	-191.6002	-354.1851	162.5849	1.3312	5.917489	3.652549	2.117863
1962	-191.8087	-354.5796	162.7708	1.60661	5.629514	2.941391	2.367044
