Iteration	Posterior	Likelihood	Prior	acrv_sd	tree_length
0	-2885.285	-3052.937	167.6514	0.2944645	4.437797
6	-2880.486	-3048.4	167.9136	0.03224692	4.437797
12	-2885.127	-3052.894	167.7673	0.2881356	4.375965
18	-2893.247	-3060.627	167.3807	0.3598221	4.553289
24	-2881.259	-3048.695	167.4357	0.4043919	4.497365
30	-2886.927	-3054.915	167.9881	0.4043919	4.185174
36	-2886.731	-3054.327	167.5967	0.3040198	4.463197
42	-2884.818	-3052.343	167.5249	0.3109212	4.499721
48	-2886.962	-3054.709	167.7472	0.3109212	4.374479
54	-2888.928	-3056.339	167.411	0.2798308	4.581184
60	-2881.716	-3049.389	167.6732	0.04373771	4.566565
66	-2888.23	-3055.839	167.6097	0.1175502	4.560776
72	-2883.254	-3050.917	167.6634	0.06932057	4.557682
78	-2891.65	-3059.518	167.8677	0.02466188	4.467925
84	-2897.745	-3065.733	167.9879	0.2746493	4.258891
90	-2884.672	-3052.458	167.7855	0.183708	4.424613
96	-2892.012	-3059.617	167.6052	0.2778111	4.473176
102	-2892.229	-3059.384	167.1547	0.3923664	4.661808
108	-2892.084	-3059.955	167.8711	0.3088377	4.305625
114	-2886.608	-3054.302	167.6937	0.3580955	4.378045
120	-2882.702	-3050.877	168.1753	0.1710972	4.211309
126	-2886.981	-3054.937	167.9558	0.2170588	4.309643
132	-2899.441	-3067.126	167.6849	0.02134341	4.572558
138	-2898.68	-3066.78	168.1001	0.03072912	4.333427
144	-2891.213	-3058.531	167.3182	0.192562	4.682157
150	-2883.235	-3051.258	168.0234	0.103194	4.335818
156	-2892.602	-3060.562	167.9597	0.1669029	4.335818
162	-2890.379	-3057.776	167.3967	0.1691667	4.651287
168	-2887.359	-3054.873	167.5144	0.2352763	4.548149
174	-2886.259	-3054.231	167.9721	0.2174311	4.300187
180	-2885.829	-3053.436	167.6067	0.218706	4.505611
186	-2882.017	-3049.494	167.477	0.1787266	4.600924
192	-2884.672	-3052.2	167.5275	0.04815293	4.645811
198	-2884.958	-3053.292	168.3343	0.02748529	4.202612
204	-2888.334	-3056.318	167.9833	0.1987977	4.304394
210	-2893.559	-3061.01	167.4509	0.2227195	4.590842
216	-2890.172	-3057.763	167.5908	0.2088104	4.520113
222	-2894.334	-3061.684	167.3491	0.5493751	4.464453
228	-2889.499	-3057.314	167.8156	0.3895797	4.291352
234	-2869.842	-3037.585	167.7432	0.2018567	4.438237
240	-2892.116	-3059.341	167.2255	0.2084692	4.725124
246	-2886.373	-3053.644	167.2706	0.262693	4.669505
252	-2891.57	-3059.858	168.288	0.331486	4.055989
258	-2887.765	-3055.288	167.5227	0.444539	4.425761
264	-2892.209	-3059.888	167.6799	0.114872	4.522827
270	-2890.115	-3058.298	168.1826	0.1402142	4.224708
276	-2896.32	-3063.48	167.1598	0.4040079	4.652446
282	-2885.131	-3052.629	167.4978	0.06594858	4.652446
288	-2892.63	-3060.591	167.9608	0.1474535	4.346164
294	-2886.156	-3053.952	167.7963	0.1492676	4.437979
300	-2893.378	-3061.151	167.7728	0.1844636	4.431356
306	-2883.769	-3051.708	167.94	0.3631557	4.235871
