Iteration	Posterior	Likelihood	Prior	part_rate_trans	tree_length
0	-741.276	-906.5631	165.2871	1.010875	5.35574
6	-745.2036	-910.8576	165.654	0.9437318	5.190152
12	-745.5993	-911.114	165.5148	1.056825	5.204621
18	-740.8484	-906.6751	165.8267	1.029066	5.04715
24	-736.6961	-902.0796	165.3835	1.029066	5.29248
30	-746.4946	-910.9884	164.4938	0.8694537	5.868859
36	-740.473	-904.8496	164.3766	0.8586908	5.938757
42	-745.801	-910.0325	164.2315	0.8573671	6.018617
48	-727.2549	-892.4088	165.1539	1.058297	5.403018
54	-731.1941	-897.1231	165.9289	1.011623	5.000101
60	-735.5414	-899.057	163.5157	1.001299	6.329787
66	-735.8929	-900.6336	164.7407	0.9710509	5.67809
72	-735.6868	-899.6299	163.9431	0.8077029	6.202755
78	-735.1723	-899.9792	164.807	0.8331519	5.717342
84	-733.394	-896.6922	163.2982	0.8421509	6.533989
90	-735.8474	-899.7853	163.9379	0.8142955	6.201977
96	-738.1014	-902.9837	164.8823	0.8142955	5.686385
102	-731.588	-896.3952	164.8072	0.8893886	5.686385
108	-738.5755	-903.4621	164.8866	0.8893886	5.642814
114	-737.1602	-899.9467	162.7864	0.9471283	6.753934
120	-743.3003	-909.555	166.2546	1.068369	4.787114
126	-735.7497	-900.8881	165.1383	0.9536296	5.469232
132	-739.5141	-906.4026	166.8885	1.132572	4.395405
138	-747.843	-910.8779	163.0349	0.815342	6.69089
144	-747.0227	-912.036	165.0134	1.027086	5.497572
150	-744.5266	-909.4082	164.8816	1.15889	5.497572
156	-735.6633	-900.07	164.4068	0.9736869	5.859441
162	-726.7383	-891.7688	165.0305	0.8750447	5.571747
168	-733.1944	-897.3958	164.2014	0.8965146	6.013699
174	-739.9337	-904.3067	164.373	0.7865167	5.980087
180	-733.0338	-897.0509	164.0172	1.012578	6.050875
186	-733.5814	-898.3757	164.7943	0.954524	5.657748
192	-740.2774	-905.7512	165.4738	1.076879	5.216167
198	-750.4062	-914.1828	163.7767	1.005903	6.185455
204	-737.7301	-903.4385	165.7084	1.071136	5.089434
210	-739.8473	-905.7999	165.9526	1.071136	4.953851
216	-744.4238	-910.1933	165.7695	1.214338	4.976037
222	-741.6262	-905.7523	164.1261	0.8004649	6.107091
228	-733.2475	-897.3188	164.0713	0.8552421	6.107091
234	-737.6592	-902.3879	164.7287	1.091232	5.618732
240	-742.2126	-906.9915	164.779	1.040951	5.618732
246	-735.4069	-900.2435	164.8365	0.9833776	5.618732
252	-743.1589	-907.7117	164.5528	0.9377686	5.799204
258	-737.6577	-903.9905	166.3329	0.9665483	4.800261
264	-739.1466	-903.6157	164.4691	0.9283248	5.850185
270	-741.3215	-905.3612	164.0396	0.8837498	6.108812
276	-746.8168	-910.5043	163.6876	0.9396678	6.269903
282	-744.4166	-909.7034	165.2868	0.9062638	5.413537
288	-743.5935	-908.0534	164.4599	0.8888034	5.876812
294	-743.322	-908.4091	165.0871	0.9956595	5.47427
300	-752.6884	-916.8424	164.154	1.013402	5.97578
306	-746.4719	-910.8363	164.3645	0.9340995	5.904192
312	-734.1645	-898.65	164.4855	0.8213731	5.899659
318	-741.9453	-905.4922	163.5469	0.8755011	6.381132
