Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	br_lengths[58]	br_lengths[59]	br_lengths[60]	br_lengths[61]	br_lengths[62]	br_lengths[63]	br_lengths[64]	br_lengths[65]	br_lengths[66]	br_lengths[67]	br_lengths[68]	br_lengths[69]	br_lengths[70]	br_lengths[71]	br_lengths[72]	br_lengths[73]	br_lengths[74]	br_lengths[75]	br_lengths[76]	br_lengths[77]	br_lengths[78]	br_lengths[79]	br_lengths[80]	br_lengths[81]	br_lengths[82]	br_lengths[83]	br_lengths[84]	br_lengths[85]	br_lengths[86]	br_lengths[87]	br_lengths[88]	br_lengths[89]	br_lengths[90]	br_lengths[91]	br_lengths[92]	br_lengths[93]	br_lengths[94]	br_lengths[95]	br_lengths[96]	br_lengths[97]	gain_loss_neo	part_rate_trans	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	rel_br_lengths[58]	rel_br_lengths[59]	rel_br_lengths[60]	rel_br_lengths[61]	rel_br_lengths[62]	rel_br_lengths[63]	rel_br_lengths[64]	rel_br_lengths[65]	rel_br_lengths[66]	rel_br_lengths[67]	rel_br_lengths[68]	rel_br_lengths[69]	rel_br_lengths[70]	rel_br_lengths[71]	rel_br_lengths[72]	rel_br_lengths[73]	rel_br_lengths[74]	rel_br_lengths[75]	rel_br_lengths[76]	rel_br_lengths[77]	rel_br_lengths[78]	rel_br_lengths[79]	rel_br_lengths[80]	rel_br_lengths[81]	rel_br_lengths[82]	rel_br_lengths[83]	rel_br_lengths[84]	rel_br_lengths[85]	rel_br_lengths[86]	rel_br_lengths[87]	rel_br_lengths[88]	rel_br_lengths[89]	rel_br_lengths[90]	rel_br_lengths[91]	rel_br_lengths[92]	rel_br_lengths[93]	rel_br_lengths[94]	rel_br_lengths[95]	rel_br_lengths[96]	rel_br_lengths[97]	tree_length
0	-1475.675	-1641.618	165.9424	0.0172073	0.0658735	0.0310153	0.0849407	0.0464323	0.00706189	0.112424	0.0108487	0.0230743	0.0188221	0.00080404	0.0232067	0.005312	0.079962	0.0256485	0.019184	0.0366258	0.019874	0.0459506	0.107805	0.0627245	0.0183494	0.0209389	0.00320784	0.0436879	0.0140332	0.0309622	0.0703793	0.0309508	0.0998157	0.0188566	0.0923406	0.00932443	0.0135417	0.0391873	0.0312694	0.00285753	0.0388223	0.0423648	0.0151069	0.0432125	0.037884	0.012588	0.00680348	0.0508431	0.043387	0.0231956	0.081979	0.0444928	0.0429596	0.0181604	0.030869	0.0241606	0.0054075	0.00696342	0.0139232	0.033925	0.0403917	0.00862746	0.037925	0.000781252	0.0283411	0.159563	0.0491019	0.103449	0.00856423	0.040121	0.046103	0.0132094	0.0155926	0.0123037	0.00572915	0.00810556	0.138221	0.0314841	0.00328196	0.00287015	0.00775949	0.061661	0.0109023	0.0718729	0.0138232	0.00400913	0.0214938	0.0462971	0.0159082	0.0172186	0.0373149	0.0293211	0.0295519	0.0584692	0.000292598	0.0437882	0.027238	0.0454285	0.023214	0.000128999	2.3519	1.807222	0.00518136	0.0198354	0.00933911	0.0255768	0.0139814	0.00212643	0.0338525	0.00326669	0.00694798	0.00566759	0.000242107	0.00698786	0.00159951	0.0240776	0.00772309	0.00577656	0.0110285	0.00598431	0.0138363	0.0324615	0.0188872	0.00552526	0.006305	0.000965924	0.013155	0.00422559	0.00932313	0.0211921	0.00931971	0.0300558	0.00567798	0.027805	0.00280771	0.00407758	0.0117998	0.00941564	0.00086044	0.0116899	0.0127566	0.00454891	0.0130119	0.0114074	0.00379041	0.00204862	0.0153095	0.0130644	0.0069845	0.024685	0.0133974	0.0129357	0.00546833	0.00929508	0.00727509	0.00162827	0.00209678	0.00419246	0.0102153	0.0121625	0.00259784	0.0114197	0.000235245	0.0085339	0.0480464	0.0147852	0.0311498	0.00257881	0.012081	0.0138822	0.00397753	0.00469514	0.00370482	0.00172512	0.00244069	0.0416203	0.00948028	0.000988242	0.00086424	0.00233649	0.018567	0.00328282	0.0216419	0.00416236	0.0012072	0.00647208	0.0139407	0.00479018	0.00518477	0.011236	0.00882899	0.00889848	0.0176059	8.81053e-05	0.0131852	0.00820173	0.0136791	0.00699005	3.88434e-05	3.321008
36	-1482.733	-1648.761	166.0274	0.0203483	0.078698	0.0146367	0.200875	0.0477842	0.0179464	0.101394	0.0090528	0.0184102	0.000447664	0.00431477	0.0117927	0.00950091	0.0583376	0.0409633	0.0099486	0.0110081	0.0202482	0.0348193	0.0905167	0.0744747	0.0538764	0.0266982	0.0291681	0.0551291	0.0266835	0.0347553	0.10194	0.0504509	0.0940335	0.000896489	0.0701382	0.0155831	0.018683	0.0329644	0.0429238	0.0139249	0.0048862	0.0324133	0.00154088	0.0450736	0.0151415	0.00766307	0.0197825	0.0876296	0.11099	0.0224259	0.123725	0.0154907	0.00272297	0.0422488	0.0862721	0.0548484	0.00211022	0.000408477	0.0314264	0.0532319	0.0335809	0.0447143	0.0101094	0.00288117	0.00482579	0.0401681	0.0287451	0.046412	0.00198389	0.0120509	0.0487367	0.00707654	0.0320473	0.00416895	0.00873506	0.00266673	0.0741664	0.0210093	0.000520558	0.0512771	0.011189	0.080573	0.0458584	0.134884	0.012058	0.0329064	0.0613292	0.0490696	0.0145145	0.00831345	0.00931052	0.0631525	0.00626088	0.0188413	0.0146769	0.0293825	0.00119009	0.0402433	0.0191093	0.0297906	1.890544	1.863282	0.00587774	0.0227324	0.00422789	0.0580239	0.0138028	0.00518394	0.0292882	0.00261496	0.00531791	0.000129311	0.00124635	0.00340639	0.0027444	0.0168512	0.0118325	0.00287372	0.00317975	0.00584883	0.0100578	0.0261463	0.0215125	0.0155625	0.00771195	0.00842538	0.0159244	0.00770771	0.0100393	0.029446	0.0145731	0.0271622	0.000258957	0.0202599	0.00450129	0.0053967	0.00952198	0.0123988	0.00402231	0.00141141	0.0093628	0.000445095	0.0130198	0.00437372	0.00221353	0.0057143	0.0253124	0.0320601	0.00647788	0.0357387	0.00447458	0.000786547	0.0122038	0.0249202	0.0158433	0.000609549	0.000117991	0.00907772	0.0153764	0.00970005	0.012916	0.00292016	0.000832244	0.00139396	0.0116028	0.00830321	0.0134064	0.000573061	0.00348098	0.0140779	0.0020441	0.00925706	0.00120423	0.00252318	0.000770302	0.0214235	0.00606867	0.000150367	0.0148117	0.00323202	0.023274	0.0132465	0.0389621	0.00348304	0.00950523	0.0177153	0.0141741	0.00419261	0.00240139	0.0026894	0.018242	0.0018085	0.00544242	0.00423953	0.00848731	0.000343765	0.0116245	0.00551984	0.00860521	3.461927
72	-1494.27	-1660.654	166.3847	0.0197793	0.0412751	0.00780344	0.0886831	0.0606408	0.0289259	0.0668989	0.000939763	0.0121827	0.000139853	0.00694128	0.00521522	0.00480054	0.0163812	0.0264301	0.0022123	0.0418748	0.00885528	0.0246382	0.0795403	0.0624297	0.00899349	0.0215733	0.0172274	0.0419864	0.0244064	0.0400856	0.0692134	0.00831579	0.0569851	0.0173136	0.113076	0.0039502	0.014087	0.0143857	0.0269231	0.00914978	0.064291	0.0579767	0.0140056	0.0258312	0.0477391	0.00222935	0.0285096	0.0217639	0.0767149	0.0113422	0.12181	0.0206796	0.0114819	0.0255586	0.0369938	0.0705207	0.00197897	0.00208465	0.0070266	0.0672291	0.0192435	0.0299808	0.0169327	0.001356	0.0290832	0.0653963	0.00653102	0.0102812	0.00411591	0.0119135	0.0305311	0.0216172	0.0545624	0.00585532	0.0259389	0.00352292	0.0644689	0.0304238	0.00305274	0.0260435	0.0289629	0.0812394	0.00442395	0.0523899	0.0192648	0.072595	0.0294262	0.0645428	0.0241257	0.00420569	0.0101105	0.0176519	0.00833069	0.040993	0.00878266	0.0724518	0.00454179	0.0481	0.0346389	0.0186571	1.863097	2.449497	0.00678231	0.0141532	0.00267579	0.0304093	0.0207937	0.00991865	0.0229396	0.000322244	0.00417745	4.79555e-05	0.00238015	0.00178829	0.0016461	0.0056171	0.00906283	0.000758596	0.0143588	0.00303646	0.00844842	0.0272743	0.0214071	0.00308386	0.00739745	0.00590726	0.0143971	0.00836892	0.0137453	0.0237332	0.00285147	0.0195401	0.00593682	0.0387736	0.00135452	0.0048304	0.00493283	0.00923191	0.00313745	0.0220453	0.0198802	0.0048025	0.00885748	0.0163697	0.000764441	0.00977589	0.00746281	0.0263055	0.00388923	0.0417684	0.007091	0.00393713	0.00876401	0.0126851	0.0241815	0.000678588	0.000714825	0.00240941	0.0230528	0.00659856	0.0102804	0.0058062	0.00046497	0.00997261	0.0224243	0.00223948	0.00352541	0.00141134	0.00408511	0.0104691	0.0074125	0.0187094	0.00200778	0.0088944	0.001208	0.0221063	0.0104323	0.00104678	0.00893028	0.00993134	0.0278569	0.00151697	0.0179644	0.00660586	0.0248927	0.0100902	0.0221316	0.00827268	0.00144212	0.00346688	0.00605282	0.00285658	0.0140564	0.00301156	0.0248436	0.00155737	0.0164934	0.0118777	0.00639751	2.916313
108	-1476.188	-1642.328	166.1392	0.0571947	0.0568464	0.0147568	0.1393	0.0837494	0.00610463	0.106204	0.00617731	0.0465016	0.00826375	0.0125414	0.0466646	0.0130429	0.0257734	0.0647934	0.01062	0.0258465	0.0358129	0.0340292	0.0710737	0.0337368	0.0238413	0.0195152	0.0355936	0.0664042	0.0317497	0.0855242	0.0896454	0.0431186	0.0604748	0.0188032	0.0696524	0.0193406	0.0188019	0.0382741	0.0494366	0.0167205	0.0292295	0.072971	0.00948729	0.0188307	0.00498798	0.0144846	0.0387075	0.0180349	0.107008	0.0306278	0.0617101	0.0139771	0.00734075	0.052832	0.0308011	0.0375615	0.00711075	0.000226916	0.0214363	0.0489682	0.012435	0.0176706	0.0170485	0.0108712	0.0539276	0.0247502	0.121683	0.00430302	0.0250712	0.0166684	0.0189429	0.0143166	0.00684326	0.018544	0.000594173	0.00721422	0.0399363	0.0217245	0.00247674	0.00387303	0.000239656	0.0162545	0.0442933	0.0305742	0.00591431	0.0123507	0.0927694	0.0209089	0.0567271	0.00557614	0.0302956	0.00953592	0.0874755	0.0938071	0.0191332	0.132154	0.108301	0.0108687	0.0243449	0.0165349	1.69572	1.911055	0.0164864	0.0163859	0.00425365	0.0401532	0.0241407	0.00175966	0.0306132	0.00178061	0.0134041	0.00238202	0.00361504	0.0134511	0.00375962	0.00742918	0.0186767	0.00306121	0.00745024	0.010323	0.00980891	0.020487	0.0097246	0.00687226	0.00562526	0.0102598	0.019141	0.00915185	0.0246523	0.0258402	0.0124289	0.0174318	0.00542	0.0200773	0.00557491	0.00541964	0.0110325	0.0142501	0.00481966	0.00842539	0.0210339	0.00273471	0.00542793	0.00143778	0.00417517	0.0111574	0.00519854	0.030845	0.00882846	0.0177879	0.00402889	0.00211597	0.0152288	0.00887841	0.0108271	0.00204967	6.54084e-05	0.00617899	0.0141151	0.00358439	0.00509354	0.00491423	0.00313361	0.0155446	0.00713424	0.035075	0.00124034	0.00722675	0.00480467	0.00546028	0.00412674	0.00197257	0.00534531	0.00017127	0.00207949	0.0115116	0.00626206	0.00071392	0.0011164	6.90808e-05	0.00468535	0.0127675	0.008813	0.0017048	0.00356008	0.0267407	0.00602697	0.0163516	0.00160732	0.0087327	0.00274873	0.0252148	0.0270399	0.00551512	0.0380934	0.0312177	0.00313289	0.0070174	0.00476618	3.469216
144	-1481.526	-1647.249	165.7223	0.0296565	0.0519801	0.013442	0.116771	0.0672906	0.01076	0.0775859	0.0161739	0.0305603	0.0016951	0.00604432	0.0160903	0.0143919	0.0383715	0.0287355	0.0310038	0.0281392	0.00489308	0.00161787	0.117534	0.0470725	0.0415752	0.0170503	0.0357962	0.0811082	0.0307358	0.0417832	0.0865716	0.0207631	0.0332041	0.0105939	0.12795	0.00249622	0.0102066	0.0328534	0.0564781	0.0164316	0.0565609	0.070469	0.0284328	0.00516731	0.014407	0.00806929	0.0598788	0.044146	0.0505067	0.0303749	0.161276	0.019376	0.012725	0.028733	0.0581508	0.0616042	0.0419647	0.00436535	0.0419385	0.0379527	0.0548785	0.0156617	0.00234245	0.013943	0.00525876	0.032999	0.144324	0.00287367	0.0243248	0.0222268	0.0106915	0.00547058	0.00920839	0.0283671	0.00121919	0.0174496	0.046509	0.0201827	0.0104604	0.00235026	0.00699462	0.000470944	0.0301224	0.0564991	0.0263279	0.015741	0.0270413	0.00969973	0.0770094	0.0114663	0.0346342	0.0148843	0.0349557	0.0922532	0.0268485	0.129577	0.128167	0.0420928	0.0199881	0.0200577	2.130912	1.887913	0.00845617	0.0148215	0.00383281	0.0332959	0.0191871	0.00306808	0.0221226	0.00461179	0.00871389	0.000483337	0.00172346	0.00458795	0.00410367	0.0109412	0.00819358	0.00884035	0.00802355	0.0013952	0.000461317	0.0335135	0.0134221	0.0118547	0.00486167	0.0102069	0.023127	0.00876393	0.011914	0.0246848	0.00592035	0.00946774	0.00302072	0.0364832	0.000711767	0.00291029	0.00936775	0.016104	0.00468526	0.0161276	0.0200934	0.00810726	0.00147339	0.00410798	0.00230086	0.0170737	0.0125877	0.0144013	0.00866102	0.0459859	0.00552483	0.00362837	0.00819286	0.016581	0.0175657	0.0119657	0.00124473	0.0119582	0.0108217	0.0156479	0.00446573	0.000667919	0.00397569	0.00149947	0.00940925	0.0411521	0.000819392	0.00693593	0.00633769	0.00304856	0.00155987	0.00262566	0.00808853	0.000347636	0.00497555	0.0132615	0.00575485	0.00298265	0.000670149	0.00199443	0.000134284	0.00858903	0.01611	0.00750707	0.00448834	0.0077105	0.00276576	0.0219583	0.00326948	0.00987552	0.00424409	0.0099672	0.0263049	0.00765551	0.0369472	0.0365453	0.0120022	0.00569937	0.0057192	3.507079
180	-1492.468	-1658.517	166.049	0.00897097	0.0726948	0.00427971	0.116959	0.0331802	0.0116601	0.0447184	0.0177346	0.0468132	0.000460334	0.0048507	0.0489585	0.0449086	0.0740263	0.0239852	0.0580068	0.0282993	0.00444632	0.0126641	0.0993517	0.0162062	0.03566	0.012221	0.0128906	0.0385911	0.0451173	0.074314	0.0999003	0.0443287	0.0620048	0.00886788	0.116092	0.0233166	0.0123334	0.0184182	0.0484451	0.0237001	0.0363286	0.0311598	0.0175598	0.00810914	0.0429294	0.000904865	0.0182122	0.0472027	0.0503339	0.0287469	0.0813638	0.0203374	0.00381177	0.00802143	0.13676	0.0439856	0.0659105	0.027439	0.0279622	0.0110148	0.0626734	0.0111813	0.00677431	0.0170861	0.0142223	0.0143139	0.134328	0.0158915	0.0313407	0.038056	0.000397895	0.0586961	0.0315589	0.0405269	0.00411994	0.0335388	0.0198886	0.0442456	0.0231758	0.0124141	0.00897675	0.0117671	0.0291408	0.0969422	0.0537981	0.0132778	0.0548607	0.0211451	0.0262725	0.00771644	0.0335241	0.00504845	0.0479051	0.110776	0.0105286	0.115866	0.0721727	0.0213983	0.0171479	0.0273292	1.55269	1.980589	0.00252171	0.0204343	0.00120301	0.0328768	0.00932685	0.00327762	0.0125702	0.00498513	0.013159	0.000129398	0.00136352	0.0137621	0.0126237	0.0208085	0.00674217	0.0163055	0.00795485	0.00124985	0.00355984	0.0279275	0.00455552	0.0100239	0.00343529	0.00362349	0.0108478	0.0126823	0.0208894	0.0280817	0.0124606	0.0174294	0.00249273	0.032633	0.00655423	0.00346687	0.00517728	0.0136178	0.00666203	0.0102118	0.00875893	0.004936	0.00227945	0.0120673	0.000254355	0.00511939	0.0132685	0.0141487	0.00808065	0.0228711	0.00571677	0.00107147	0.0022548	0.0384427	0.0123642	0.0185272	0.00771301	0.00786008	0.00309623	0.0176173	0.00314304	0.00190424	0.00480286	0.00399785	0.0040236	0.0377591	0.00446705	0.00880976	0.0106974	0.000111847	0.0164993	0.0088711	0.011392	0.0011581	0.00942764	0.00559062	0.0124373	0.00651463	0.00348955	0.00252334	0.00330768	0.00819138	0.0272501	0.0151225	0.00373236	0.0154212	0.00594382	0.00738511	0.00216907	0.00942352	0.0014191	0.013466	0.0311388	0.00295956	0.0325696	0.0202875	0.006015	0.00482021	0.00768216	3.557494
216	-1470.578	-1636.825	166.2475	0.0185724	0.0433623	0.0269858	0.101241	0.0437227	0.00162583	0.0895004	0.00793125	0.0143822	0.0274968	0.00113312	0.00954419	0.0117794	0.0238677	0.0260986	0.0120007	0.0281153	0.0266929	0.00724055	0.0977781	0.0367887	0.0338271	0.0145894	0.0210973	0.0268385	0.0201252	0.0470211	0.0739012	0.0487512	0.0618119	0.00467059	0.10049	0.00444165	0.021395	0.0250816	0.0419347	0.0207517	0.0479055	0.0269307	0.0334937	0.00722326	0.0164416	0.00676938	0.017882	0.0209778	0.10171	0.0338322	0.06648	0.0231321	0.0130511	0.00333158	0.0377266	0.0392582	0.0410815	0.0188367	0.0303105	0.00133019	0.0761037	0.0191828	0.00471167	0.0154415	0.149129	0.0451254	0.0255831	0.0150167	0.0213927	0.00622357	0.00615777	0.0243911	0.00682615	0.106583	0.00982753	0.0171287	0.0144859	0.0281193	0.0110499	0.00434028	0.00297279	0.0156421	0.0457856	0.00855498	0.0211429	0.0084429	0.0276039	0.0206664	0.0245188	0.00303446	0.0320676	0.0140568	0.0479419	0.0544784	0.0181864	0.0869975	0.0555078	0.0294155	0.0110362	0.0246475	2.375095	2.074514	0.00625373	0.014601	0.0090867	0.0340901	0.0147224	0.000547451	0.0301367	0.00267062	0.0048428	0.00925877	0.000381547	0.00321373	0.00396636	0.00803678	0.00878795	0.00404091	0.00946702	0.00898806	0.00243805	0.032924	0.0123875	0.0113903	0.00491257	0.00710392	0.00903708	0.00677658	0.015833	0.0248841	0.0164156	0.0208134	0.00157269	0.0338373	0.0014956	0.00720417	0.00844551	0.0141203	0.00698753	0.0161308	0.00906816	0.011278	0.00243223	0.00553625	0.0022794	0.00602126	0.00706369	0.034248	0.011392	0.0223852	0.00778909	0.00439458	0.00112182	0.0127034	0.0132191	0.013833	0.00634272	0.0102062	0.000447905	0.0256258	0.00645925	0.00158652	0.00519949	0.050215	0.0151947	0.00861437	0.00505644	0.00720338	0.00209561	0.00207345	0.008213	0.00229851	0.0358886	0.00330914	0.00576761	0.00487772	0.00946837	0.00372074	0.00146147	0.001001	0.00526703	0.015417	0.00288064	0.00711926	0.00284291	0.00929481	0.00695882	0.00825601	0.00102177	0.0107979	0.00473324	0.0161431	0.0183441	0.00612375	0.0292939	0.0186907	0.00990481	0.00371612	0.00829935	2.969814
252	-1485.017	-1650.811	165.7939	0.0737423	0.101658	0.0204133	0.194549	0.0299654	0.00208797	0.04863	0.0179177	0.0374257	0.0368938	0.00563043	0.00869214	0.0413312	0.0742208	0.0391558	0.00324178	0.0276412	0.00359021	0.0754574	0.0860658	0.0706296	0.0657704	0.0365108	0.0381632	0.0450905	0.0209088	0.0526601	0.0526817	0.0422827	0.0379281	0.0257737	0.0646199	0.0427788	0.00945275	0.0615257	0.049953	0.0207152	0.0485623	0.0303611	0.015597	0.0153575	0.0315216	0.0200116	0.0192534	0.069434	0.0318468	0.0151169	0.0755209	0.0533578	0.0219929	0.000108754	0.0888868	0.110613	0.058049	0.00512626	0.0488141	0.00491661	0.0883994	0.0303588	0.00968067	0.00408425	0.00632857	0.0251415	0.0402985	0.0218883	0.0400076	0.0288503	0.018109	0.014458	0.00371338	0.115857	0.00747015	0.0258548	0.0283455	0.0707956	0.0303535	0.00641393	0.00576925	0.0119121	0.0229218	0.0101577	0.0298613	0.0104465	0.0234295	0.0168959	0.0274333	0.0033404	0.0101908	0.0342854	0.0655417	0.0799761	0.0445373	0.0566236	0.101038	0.0173725	0.00649051	0.0347445	1.742986	1.886655	0.0201505	0.0277786	0.00557805	0.0531616	0.00818822	0.000570548	0.0132884	0.00489611	0.0102268	0.0100814	0.00153855	0.00237517	0.011294	0.0202812	0.0106995	0.000885833	0.00755309	0.000981045	0.0206191	0.0235179	0.0192999	0.0179721	0.00997676	0.0104283	0.0123212	0.00571345	0.0143897	0.0143956	0.011554	0.0103641	0.0070428	0.0176577	0.0116895	0.00258302	0.0168122	0.0136499	0.00566054	0.0132699	0.00829632	0.00426196	0.00419651	0.00861344	0.00546827	0.0052611	0.0189732	0.0087023	0.00413076	0.0206365	0.0145803	0.00600968	2.97176e-05	0.0242888	0.0302256	0.0158622	0.00140078	0.0133387	0.00134349	0.0241556	0.00829572	0.0026453	0.00111604	0.00172932	0.00687005	0.0110118	0.00598111	0.0109323	0.00788351	0.00494838	0.00395072	0.0010147	0.0316586	0.00204126	0.00706496	0.00774557	0.0193453	0.00829426	0.00175264	0.00157648	0.00325504	0.00626351	0.00277565	0.00815976	0.00285456	0.00640223	0.00461689	0.00749629	0.000912783	0.0027847	0.00936868	0.0179096	0.0218539	0.0121701	0.0154727	0.0276092	0.00474714	0.00177357	0.00949413	3.659581
288	-1480.358	-1646.376	166.0174	0.0293223	0.0528032	0.0194412	0.110826	0.0485783	0.0127382	0.0734931	0.0155187	0.0324379	0.0191484	0.00404939	0.0134552	0.00996399	0.0890619	0.0202935	5.25379e-05	0.0230555	0.0122688	0.0278794	0.115029	0.0474245	0.0429248	0.0505958	0.00255072	0.0825743	0.0183655	0.0686149	0.100634	0.0567081	0.0406844	0.0142364	0.0768501	0.0508492	0.0251104	0.086203	0.0157398	0.0197288	0.043847	0.056359	0.00531872	0.00344956	0.0245523	0.0149323	0.0199427	0.0236884	0.0346278	0.0167305	0.0128433	0.0189122	0.00897608	0.0034341	0.012605	0.0439054	0.0738057	0.000587253	0.0573369	0.00292876	0.0540576	0.00822545	0.010097	0.0177795	0.00808297	0.0247566	0.0372562	0.00763891	0.010262	0.0176518	0.0172083	0.0179284	0.0230349	0.13172	0.018386	0.00241975	0.00681869	0.0794593	0.00932627	0.00294216	0.00614655	0.0154518	0.0214431	0.040963	0.0357833	0.0053469	0.0187456	0.00272662	0.0396533	0.024923	0.0592588	0.00365229	0.0906924	0.0888091	0.043292	0.11205	0.09777	0.0122793	0.0158864	0.0388199	2.155547	1.948363	0.00892141	0.0160655	0.00591505	0.0337192	0.0147801	0.00387564	0.0223605	0.00472161	0.00986934	0.00582594	0.00123204	0.00409378	0.00303157	0.0270974	0.00617435	1.59848e-05	0.00701471	0.00373282	0.00848239	0.0349979	0.014429	0.01306	0.0153939	0.000776064	0.0251235	0.00558775	0.0208763	0.0306181	0.0172536	0.0123783	0.00433146	0.0233819	0.015471	0.00763991	0.0262275	0.00478887	0.00600253	0.0133406	0.0171474	0.00161824	0.00104954	0.0074701	0.0045432	0.00606763	0.00720728	0.0105356	0.00509029	0.00390761	0.00575408	0.002731	0.00104483	0.00383511	0.0133583	0.0224556	0.000178673	0.0174449	0.000891083	0.0164472	0.00250262	0.00307205	0.00540945	0.00245927	0.00753226	0.0113353	0.00232416	0.00312225	0.00537062	0.00523569	0.00545477	0.00700844	0.0400762	0.005594	0.000736216	0.0020746	0.0241757	0.00283754	0.00089516	0.00187011	0.00470124	0.00652411	0.0124631	0.0108872	0.00162681	0.00570341	0.000829581	0.0120646	0.0075829	0.0180297	0.00111122	0.0275934	0.0270204	0.0131717	0.0340915	0.0297468	0.00373601	0.00483347	0.0118111	3.28674
324	-1481.63	-1647.633	166.0033	0.0302956	0.0772049	0.0130757	0.0739032	0.0619899	0.0117302	0.0890462	0.00598654	0.00658056	0.00851483	0.00921361	0.0532914	0.0142253	0.0298771	0.0256785	0.000303447	0.0153326	0.0017391	0.0384338	0.107863	0.0335943	0.0458841	0.0333694	0.0115365	0.0432242	0.0328094	0.021386	0.0817202	0.038548	0.0352678	0.0174168	0.0684778	0.00551275	0.0303593	0.0561309	0.0587949	0.00585727	0.0636921	0.032034	0.0168626	0.0150136	0.014277	0.00592423	0.00914972	0.0380379	0.0557157	0.0371932	0.0851166	0.032186	0.0154791	0.0166779	0.0108699	0.027899	0.0195624	0.0135448	0.0197227	0.0459555	0.0352545	0.017493	0.00219334	0.0379679	0.0597669	0.0170039	0.0242133	0.0177174	0.0282066	0.0238472	0.0447685	0.0229819	0.048434	0.110338	0.0129871	0.00242836	0.0111092	0.0108803	0.0737531	0.00716747	0.00180736	0.0511547	0.00575742	0.031072	0.0679167	0.000602104	0.0296871	0.00686835	0.000189446	0.018589	0.0111152	0.00630731	0.0695414	0.117935	0.0176326	0.00562106	0.0360473	0.0391033	0.0099538	0.205865	2.42329	1.877855	0.0094368	0.0240486	0.00407295	0.0230202	0.0193093	0.00365385	0.0277371	0.00186475	0.00204978	0.00265229	0.00286995	0.0165998	0.00443106	0.00930644	0.00799863	9.45208e-05	0.00477597	0.000541713	0.0119718	0.0335984	0.0104643	0.0142925	0.0103942	0.00359351	0.0134639	0.0102198	0.00666154	0.0254551	0.0120074	0.0109856	0.00542518	0.0213302	0.00171717	0.00945663	0.0174843	0.0183141	0.00182449	0.0198395	0.0099783	0.00525254	0.0046766	0.00444716	0.00184534	0.00285005	0.0118485	0.0173549	0.0115854	0.026513	0.0100257	0.0048216	0.00519502	0.00338589	0.00869027	0.00609351	0.00421909	0.00614344	0.0143147	0.0109815	0.00544892	0.000683206	0.0118267	0.0186168	0.00529656	0.00754222	0.00551881	0.0087861	0.00742819	0.013945	0.00715865	0.0150868	0.0343694	0.00404536	0.000756412	0.00346042	0.00338912	0.0229734	0.0022326	0.000562975	0.0159342	0.00179338	0.00967864	0.0211554	0.00018755	0.00924725	0.00213943	5.90108e-05	0.0057903	0.00346227	0.00196467	0.0216615	0.0367355	0.00549241	0.00175091	0.0112284	0.0121803	0.00310052	0.064125	3.210368
