Iteration	Posterior	Likelihood	Prior	acrv_sd	part_rate_trans	tree_length
0	-3530.663	-3689.902	159.2389	1.423023	1.984954	7.33881
6	-3535.915	-3695.052	159.1364	1.481956	2.216787	7.2377
12	-3536.28	-3695.678	159.3986	1.302722	2.527528	7.026003
18	-3543.35	-3704.434	161.0841	1.261775	2.366037	6.223869
24	-3533.985	-3695.483	161.4984	1.396948	2.224549	6.001707
30	-3529.23	-3690.805	161.5754	1.31993	2.224549	6.001707
36	-3544.764	-3706.833	162.069	1.139606	2.604012	5.622722
42	-3550.132	-3713.153	163.0212	1.344142	2.580124	4.997337
48	-3544.04	-3705.54	161.5001	1.287749	2.983256	5.645496
54	-3546.053	-3706.984	160.9317	1.234125	3.20024	5.867283
60	-3543.575	-3705.243	161.6685	1.526958	3.554203	5.106047
66	-3537.637	-3698.465	160.8279	1.368902	2.947931	5.988154
72	-3536.172	-3697.25	161.0785	1.279107	2.947931	5.900397
78	-3540.417	-3701.225	160.8081	1.40742	2.742415	6.089973
84	-3540.717	-3700.712	159.9951	1.389467	2.755266	6.534257
90	-3543.845	-3706.119	162.2738	1.176848	3.014321	5.263541
96	-3538.572	-3700.101	161.5293	1.303751	3.629594	5.264833
102	-3534.078	-3695.822	161.7435	1.345273	3.643436	5.115679
108	-3536.846	-3697.42	160.5741	1.458349	2.855278	6.128213
114	-3547.38	-3708.847	161.4667	1.254128	2.221062	6.098762
120	-3537.157	-3698.208	161.0507	1.231188	2.221062	6.337399
126	-3545.839	-3707.486	161.6464	1.295136	2.142834	6.021081
132	-3536.972	-3698.356	161.384	1.271105	2.637876	5.907234
138	-3544.8	-3706.239	161.4392	1.271105	2.356911	6.030427
144	-3549.773	-3710.226	160.4524	1.236142	2.678316	6.411218
150	-3541.095	-3701.248	160.153	1.583926	2.564035	6.446943
156	-3534.747	-3694.857	160.1102	1.540802	2.306879	6.632687
162	-3534.58	-3696.169	161.5891	1.45617	2.505111	5.766498
168	-3534.341	-3694.848	160.5073	1.498962	2.563572	6.301059
174	-3536.801	-3696.466	159.6653	1.587298	2.4924	6.747735
180	-3534.735	-3694.814	160.0798	1.579844	2.458099	6.546237
186	-3542.852	-3703.371	160.519	1.410539	2.13812	6.573302
192	-3533.474	-3694.844	161.3699	1.393438	2.47538	5.93686
198	-3535.673	-3697.325	161.6516	1.393438	2.193682	5.93686
204	-3524.931	-3685.401	160.4706	1.366082	1.913047	6.745193
210	-3526.945	-3687.167	160.2226	1.420925	2.106197	6.745193
216	-3527.669	-3688.585	160.9161	1.456373	2.09533	6.356453
222	-3539.666	-3698.763	159.0962	1.456373	2.418706	7.164551
228	-3534.981	-3694.458	159.4773	1.386818	2.211581	7.108429
234	-3541.066	-3701.96	160.8937	1.191867	2.182639	6.464701
240	-3537.333	-3697.847	160.5138	1.368912	2.570773	6.364239
246	-3548.674	-3709.302	160.6282	1.412648	2.412686	6.364239
252	-3524.424	-3685.124	160.7004	1.313638	2.980746	6.069932
258	-3518.44	-3678.651	160.2114	1.354188	3.024297	6.29018
264	-3518.12	-3679.621	161.5009	1.355222	2.519322	5.862174
270	-3536.326	-3698.035	161.7096	1.254649	2.411247	5.862174
276	-3540.254	-3701.02	160.766	1.254649	2.427406	6.36718
282	-3531.093	-3692.173	161.0802	1.513207	2.981613	5.752994
288	-3535.928	-3695.687	159.7591	1.438	2.147525	6.963672
294	-3531.448	-3691.974	160.5254	1.267357	2.004872	6.719325
300	-3525.125	-3684.844	159.7187	1.487569	2.086387	6.991687
306	-3530.573	-3690.334	159.7608	1.628482	2.850575	6.48006
312	-3525.312	-3686.53	161.2188	1.358314	3.324965	5.573637
318	-3527.075	-3687.759	160.6839	1.47302	2.455844	6.277793
324	-3530.774	-3689.521	158.7465	1.47302	2.860964	7.105845
330	-3535.329	-3696.525	161.1961	1.286832	2.678014	5.979304
336	-3531.858	-3693.254	161.3965	1.361355	3.320425	5.476755
342	-3526.04	-3687.299	161.2592	1.287359	2.362488	6.116628
348	-3527.765	-3690.352	162.5871	1.291065	2.362488	5.387354
354	-3532.401	-3694.4	161.9994	1.410054	2.991401	5.298974
360	-3528.227	-3689.804	161.577	1.201636	2.518683	5.904851
366	-3520.311	-3681.914	161.6033	1.4053	2.69179	5.684325
372	-3530.168	-3691.572	161.4047	1.488029	2.807619	5.684325
378	-3530.407	-3689.996	159.5889	1.426647	2.702924	6.762068
384	-3531.58	-3691.166	159.5857	1.463871	3.416829	6.357212
390	-3526.195	-3686.734	160.5391	1.463871	2.627496	6.268149
396	-3525.691	-3685.207	159.5159	1.463871	2.543445	6.867433
402	-3545.376	-3705.022	159.6458	1.261905	2.566904	6.893651
408	-3536.539	-3697.299	160.7598	1.305468	2.555219	6.273577
414	-3539.969	-3699.457	159.488	1.412724	2.325225	7.027605
420	-3531.441	-3691.643	160.2017	1.290378	2.325225	6.708683
426	-3533.545	-3695.778	162.2331	1.196108	2.536182	5.538828
432	-3527.742	-3687.873	160.131	1.384535	2.810299	6.433466
438	-3538.264	-3698.139	159.8756	1.221979	2.14641	7.017898
444	-3523.912	-3684.464	160.5522	1.252965	2.14641	6.636124
450	-3531.686	-3694.725	163.0398	1.349165	2.492927	5.032684
456	-3531.103	-3694.071	162.9678	1.329251	2.222437	5.233415
462	-3535.208	-3696.895	161.6863	1.344857	3.177621	5.404914
468	-3532.386	-3694.144	161.7581	1.282673	2.205696	5.932636
474	-3538.81	-3699.695	160.8851	1.282673	2.94494	6.00564
480	-3543.26	-3706.228	162.9677	1.430489	2.853326	4.827008
486	-3533.006	-3694.423	161.4174	1.293279	3.679334	5.304943
492	-3537.551	-3698.438	160.8874	1.281697	2.773928	6.098146
498	-3532.865	-3692.732	159.8665	1.465701	2.389821	6.760139
504	-3532.311	-3694.412	162.101	1.213476	2.454901	5.646467
510	-3533.346	-3693.825	160.4787	1.485948	3.499792	5.813517
516	-3528.275	-3689.882	161.6076	1.421727	2.970706	5.519769
522	-3528.106	-3687.381	159.2754	1.377197	2.391497	7.125429
528	-3531.203	-3690.715	159.5127	1.329564	2.201852	7.125429
534	-3524.334	-3684.662	160.3271	1.311471	2.201852	6.696186
540	-3536.332	-3696.21	159.8779	1.408241	2.547778	6.699699
546	-3530.081	-3689.995	159.9145	1.408241	2.903337	6.487534
552	-3525.78	-3686.348	160.5676	1.402712	3.095008	6.031451
558	-3527.297	-3687.794	160.4964	1.217449	2.764978	6.350471
564	-3534.596	-3694.863	160.2673	1.329263	2.815665	6.386616
570	-3542.279	-3704.112	161.8331	1.490423	3.322224	5.1636
576	-3533.442	-3694.878	161.4368	1.399541	2.622188	5.81676
582	-3535.747	-3696.243	160.496	1.191256	2.054539	6.749461
588	-3532.101	-3693.51	161.4093	1.269893	2.471293	5.985014
594	-3538.615	-3699.006	160.391	1.286996	2.757894	6.373772
600	-3541.116	-3702.295	161.1793	1.346473	1.965586	6.343717
606	-3533.328	-3694.584	161.2562	1.312235	2.014889	6.293764
612	-3546.732	-3707.061	160.3287	1.370864	2.497683	6.503168
618	-3534.509	-3695.842	161.3335	1.22108	2.630442	5.966198
624	-3540.976	-3702.386	161.4092	1.166195	2.517967	6.016198
630	-3537.851	-3696.935	159.0838	1.359464	2.185679	7.348416
636	-3546.9	-3704.453	157.553	1.564107	2.124239	8.090307
642	-3540.452	-3701.636	161.1841	1.352087	1.928824	6.358003
648	-3546.464	-3706.424	159.9604	1.352087	2.99777	6.44192
654	-3552.304	-3712.338	160.0338	1.230204	2.949908	6.494111
660	-3533.102	-3694.184	161.0819	1.307473	2.749394	5.991418
666	-3524.66	-3686.149	161.4882	1.327893	2.897354	5.677142
672	-3521.867	-3684.579	162.7119	1.197874	2.748272	5.156794
678	-3529.509	-3690.555	161.0455	1.463242	2.873099	5.858664
684	-3523.182	-3685.652	162.4702	1.216483	2.299905	5.527212
690	-3527.56	-3688.147	160.5869	1.366346	2.335224	6.453727
696	-3515.867	-3678.888	163.0209	1.387232	2.778953	4.862899
702	-3525.258	-3686.961	161.7032	1.574991	2.446188	5.671166
708	-3524.709	-3686.592	161.8834	1.45408	3.096323	5.280763
714	-3519.818	-3682.106	162.2877	1.300022	2.987592	5.202561
720	-3518.409	-3680.201	161.7921	1.259976	2.643955	5.686663
726	-3525.909	-3687.084	161.1746	1.310165	2.999754	5.802532
732	-3522.336	-3684.307	161.9711	1.47199	2.471331	5.566818
738	-3526.053	-3685.453	159.4004	1.483659	3.43603	6.436603
744	-3521.999	-3683.171	161.1721	1.44469	2.982689	5.739602
750	-3524.937	-3687.101	162.1645	1.308171	2.626393	5.465343
756	-3525.386	-3686.673	161.2876	1.348461	2.626393	5.923907
762	-3525.922	-3688.169	162.2462	1.395315	2.315638	5.543382
768	-3527.542	-3688.855	161.3129	1.416536	2.515744	5.933369
774	-3535.179	-3696.688	161.5088	1.218421	2.55952	5.910629
780	-3532.221	-3693.262	161.0405	1.379549	3.50356	5.561784
786	-3527.074	-3690.082	163.0074	1.275748	2.872361	4.880509
792	-3529.76	-3692.064	162.304	1.419992	2.885007	5.183909
798	-3537.55	-3698.646	161.0959	1.667205	3.102404	5.59373
804	-3531.918	-3692.743	160.8249	1.363157	2.6657	6.146737
810	-3542.623	-3704.181	161.5585	1.213108	2.534842	5.899898
816	-3542.71	-3703.96	161.2495	1.254174	2.975766	5.805303
822	-3536.645	-3698.347	161.7019	1.357337	3.234686	5.357959
828	-3533.365	-3694.89	161.5247	1.345543	2.644196	5.786148
834	-3544.283	-3703.166	158.8831	1.732493	3.021602	6.805948
840	-3540.497	-3702.879	162.3821	1.273527	3.13612	5.082668
846	-3535.863	-3696.978	161.1152	1.273527	3.210452	5.739785
852	-3531.54	-3693.694	162.1533	1.190393	2.808377	5.436148
858	-3548.149	-3709.996	161.8468	1.356414	2.808377	5.513428
864	-3545.833	-3707.881	162.0481	1.346414	2.617068	5.513428
870	-3545.887	-3707.466	161.579	1.398021	3.04563	5.507371
876	-3536.891	-3700.018	163.1267	1.233374	2.908733	4.817339
882	-3533.037	-3693.971	160.9344	1.316869	3.05573	5.899579
888	-3543.371	-3705.796	162.4251	1.168963	2.735822	5.338114
894	-3526.898	-3688.134	161.236	1.213259	2.66031	6.007351
900	-3526.17	-3688.307	162.1367	1.267129	2.245223	5.712446
906	-3523.347	-3684.436	161.0896	1.291132	2.325632	6.226907
912	-3531.387	-3691.905	160.518	1.410865	2.760901	6.235928
918	-3529.627	-3691.549	161.9219	1.251785	2.764513	5.553783
924	-3518.236	-3679.063	160.827	1.219557	2.672279	6.220097
930	-3523.43	-3684.697	161.2674	1.41266	2.335476	6.058641
936	-3531.768	-3691.652	159.8848	1.440951	2.636157	6.630539
942	-3535.169	-3698.699	163.5295	1.103445	2.252728	5.030563
948	-3526.279	-3686.589	160.3095	1.416359	2.331871	6.578671
954	-3526.874	-3688.62	161.7459	1.282289	3.182225	5.404005
960	-3531.138	-3692.818	161.6796	1.194291	2.385856	5.925379
966	-3530.327	-3692.536	162.2098	1.272041	2.446186	5.559395
972	-3540.154	-3702.024	161.8699	1.394728	3.691947	4.99121
978	-3547.223	-3708.969	161.7463	1.268926	3.623783	5.16733
984	-3539.944	-3699.559	159.6155	1.468682	4.696773	5.640125
990	-3531.071	-3692.046	160.9753	1.443238	2.718039	5.992592
996	-3542.227	-3703.013	160.7869	1.325349	3.024386	5.992592
1002	-3533.754	-3694.951	161.1973	1.321727	2.394847	6.114006
1008	-3527.463	-3689.164	161.7019	1.21642	2.252998	5.973667
1014	-3543.847	-3707.32	163.4735	1.30087	2.428313	4.854208
1020	-3536.626	-3697.622	160.9956	1.30087	2.466098	6.196315
1026	-3533.486	-3693.714	160.2289	1.212815	2.370192	6.711607
1032	-3525.875	-3688.058	162.1824	1.310778	3.176095	5.15055
1038	-3527.71	-3689.203	161.4937	1.457065	3.176095	5.450014
1044	-3539.582	-3702.628	163.0461	1.229397	3.20858	4.697072
1050	-3527.738	-3689.959	162.2207	1.408694	4.07439	4.573952
1056	-3539.712	-3701.768	162.0562	1.261411	3.47575	5.081787
1062	-3531.008	-3691.527	160.519	1.374583	2.442541	6.427919
1068	-3525.842	-3686.946	161.1041	1.29453	2.537454	6.101888
1074	-3523.797	-3685.819	162.0218	1.203355	2.25358	5.805679
1080	-3532.876	-3693.452	160.5764	1.224623	2.25358	6.580379
1086	-3536.065	-3698.266	162.2014	1.459482	2.683233	5.330292
1092	-3529.046	-3692.077	163.031	1.264536	2.318726	5.181035
1098	-3526.015	-3689.794	163.7788	1.181303	2.702293	4.597141
1104	-3525.381	-3687.861	162.4792	1.168605	2.842798	5.249406
1110	-3543.401	-3705.57	162.1695	1.332342	2.97751	5.255624
1116	-3542.821	-3704.232	161.411	1.480058	2.813242	5.682183
1122	-3536.02	-3696.969	160.9495	1.395425	2.656552	6.066294
1128	-3545.561	-3706.287	160.7259	1.208433	2.615742	6.311835
1134	-3528.727	-3688.282	159.5544	1.505715	2.150616	7.035772
1140	-3535.341	-3697.264	161.9238	1.244194	2.885562	5.490358
1146	-3527.473	-3688.42	160.947	1.367166	2.885562	5.958169
1152	-3529.257	-3691.899	162.6422	1.45614	2.759099	5.046236
1158	-3533.432	-3694.705	161.2727	1.423823	3.179455	5.587939
1164	-3537.7	-3701.066	163.3665	1.351548	2.926643	4.607088
1170	-3530.01	-3692.111	162.1012	1.251448	2.813677	5.428306
1176	-3533.258	-3694.16	160.9014	1.251448	2.844925	6.068285
1182	-3526.613	-3686.761	160.1478	1.311191	2.069135	6.864755
1188	-3524.018	-3684.164	160.146	1.382202	3.303655	6.158657
1194	-3532.924	-3693.418	160.4939	1.370853	3.18897	6.037797
1200	-3546.197	-3704.67	158.4726	1.590598	4.990502	6.037797
1206	-3532.83	-3694.051	161.2207	1.41588	3.909791	5.218576
1212	-3532.408	-3693.156	160.7487	1.474227	3.464032	5.691679
1218	-3526.571	-3687.634	161.0625	1.26516	2.474551	6.174751
1224	-3531.944	-3693.01	161.0662	1.271534	2.905622	5.934342
1230	-3535.241	-3695.832	160.5906	1.472719	2.455006	6.329068
1236	-3538.451	-3699.731	161.2798	1.217004	3.21407	5.678543
1242	-3540.342	-3702.503	162.1606	1.291012	3.007877	5.266584
1248	-3532.446	-3693.698	161.2516	1.313827	3.155593	5.67297
1254	-3535.802	-3697.482	161.68	1.343056	2.838711	5.595783
1260	-3536.8	-3698.148	161.3478	1.275171	3.238716	5.595783
1266	-3531.496	-3692.765	161.2688	1.480684	3.112209	5.595783
1272	-3533.767	-3694.484	160.7162	1.285866	3.275779	5.915493
1278	-3544.357	-3705.503	161.1458	1.259761	2.872335	5.915493
1284	-3554.415	-3715.864	161.4497	1.261572	2.330204	6.044499
1290	-3547.133	-3707.924	160.7908	1.234412	2.391398	6.384277
1296	-3547.579	-3708.804	161.2249	1.307507	2.579315	6.006164
1302	-3548.674	-3707.478	158.8043	1.293849	2.550803	7.337685
1308	-3542.771	-3704.102	161.331	1.257427	2.333666	6.109497
1314	-3528.114	-3689.944	161.8305	1.236733	2.719564	5.636895
1320	-3531.974	-3693.739	161.7658	1.301444	2.719564	5.636895
1326	-3522.87	-3683.818	160.9477	1.296935	2.66982	6.113679
1332	-3526.325	-3688.927	162.6022	1.158802	3.020636	5.088295
1338	-3532.495	-3694.576	162.0812	1.228556	3.641006	4.994446
1344	-3523.42	-3685.407	161.9868	1.276302	2.844898	5.46041
1350	-3525.915	-3686.847	160.9327	1.362855	3.123263	5.838466
1356	-3523.06	-3684.205	161.1457	1.340707	2.214908	6.229663
1362	-3535.473	-3696.978	161.5045	1.237933	2.766247	5.789314
1368	-3534.262	-3694.257	159.9949	1.118201	2.486287	6.826322
1374	-3534.848	-3695.425	160.5771	1.248899	2.38247	6.497062
1380	-3535.419	-3694.223	158.8035	1.38629	1.987832	7.590263
1386	-3524.936	-3687.725	162.7893	1.180968	2.460837	5.282274
1392	-3540.882	-3699.123	158.2406	1.549866	2.920052	7.304639
1398	-3531.449	-3692.846	161.3967	1.32448	2.639929	5.870042
1404	-3523.374	-3685.193	161.8188	1.405902	3.133085	5.322719
1410	-3519.403	-3679.926	160.5229	1.45173	3.556263	5.777162
1416	-3541.882	-3701.487	159.6051	1.336832	2.550825	6.883827
1422	-3540.89	-3700.755	159.8648	1.278558	2.16808	6.981551
1428	-3533.787	-3694.922	161.1348	1.258102	2.16808	6.305899
1434	-3533.084	-3694.251	161.1666	1.431718	3.21386	5.622965
1440	-3530.072	-3691.567	161.4954	1.202697	3.195114	5.578487
1446	-3527.105	-3687.88	160.7753	1.360344	2.645173	6.186426
1452	-3524.566	-3685.048	160.4815	1.36278	2.347493	6.506113
1458	-3526.016	-3686.622	160.6052	1.278645	2.740533	6.271463
1464	-3525.676	-3687.369	161.6928	1.118152	2.587014	5.849882
1470	-3524.525	-3685.582	161.0563	1.302631	2.397593	6.199643
1476	-3522.641	-3683.42	160.7789	1.429635	3.566092	5.643612
1482	-3529.903	-3690.147	160.2439	1.400661	2.934173	6.296252
1488	-3534.098	-3695.738	161.6399	1.300861	2.451594	5.852917
1494	-3531.74	-3693.865	162.1249	1.347963	2.440017	5.567697
1500	-3543.701	-3703.012	159.3114	1.357436	2.740558	6.928773
1506	-3544.408	-3707.145	162.7375	1.122257	2.41005	5.371285
1512	-3537.209	-3699.055	161.8461	1.436691	3.202137	5.252553
1518	-3541.806	-3702.955	161.1486	1.436691	3.140274	5.670491
1524	-3542.894	-3704.784	161.8901	1.328898	3.167339	5.307007
1530	-3548.505	-3707.839	159.3343	1.297361	2.567106	7.042199
1536	-3541.98	-3704.275	162.2953	1.13566	2.414431	5.60476
1542	-3540.176	-3702.842	162.6665	1.13566	2.358693	5.431286
1548	-3535.361	-3695.638	160.2772	1.447726	2.837437	6.305122
1554	-3533.65	-3694.235	160.585	1.362096	2.629253	6.297521
1560	-3533.122	-3693.624	160.5025	1.396334	2.67752	6.297521
1566	-3542.237	-3702.985	160.7481	1.228786	2.801811	6.187559
1572	-3533.83	-3696.151	162.3212	1.228786	2.901828	5.270809
1578	-3539.559	-3701.692	162.1325	1.261985	2.610983	5.516784
1584	-3528.258	-3690.277	162.0191	1.268189	2.610983	5.575714
1590	-3531.363	-3692.813	161.4497	1.323025	2.682294	5.818678
1596	-3549.81	-3709.667	159.8565	1.4154	2.369295	6.803771
1602	-3537.737	-3696.791	159.0545	1.305263	2.403222	7.276475
1608	-3531.535	-3692.876	161.341	1.257155	2.148019	6.205277
1614	-3542.304	-3702.119	159.8151	1.088604	1.746332	7.337071
1620	-3532.511	-3691.713	159.2023	1.262549	2.200362	7.328958
1626	-3528.811	-3687.775	158.9646	1.434775	2.186183	7.371683
1632	-3527.862	-3688.666	160.8031	1.198727	2.101403	6.554069
1638	-3540.703	-3700.336	159.6324	1.428959	2.623743	6.780065
1644	-3533.189	-3692.568	159.3784	1.600778	2.632514	6.819715
1650	-3538.411	-3698.856	160.4447	1.336629	3.712953	5.797168
1656	-3541.575	-3704.618	163.0423	1.336629	2.316897	5.135832
1662	-3532.45	-3694.487	162.0367	1.302289	2.285452	5.725897
1668	-3519.676	-3680.031	160.3551	1.290445	2.262972	6.659379
1674	-3529.929	-3691.55	161.6209	1.290445	2.034428	6.0966
1680	-3520.305	-3681.696	161.391	1.316918	1.939696	6.258828
1686	-3530.563	-3693.195	162.6319	1.381829	2.800641	5.070116
1692	-3522.393	-3684.535	162.1421	1.355742	2.514127	5.513245
1698	-3525.572	-3687.574	162.0018	1.172733	2.393876	5.756585
1704	-3524.121	-3685.374	161.2524	1.365928	2.739047	5.872067
1710	-3531.622	-3693.215	161.5928	1.250056	2.447971	5.908429
1716	-3537.326	-3697.184	159.858	1.223296	1.869311	7.175689
1722	-3534.655	-3695.953	161.2978	1.330891	3.17174	5.629457
1728	-3529.362	-3691.362	161.9998	1.287366	3.386485	5.148132
1734	-3527.258	-3688.449	161.1908	1.243402	2.742163	5.970911
1740	-3533.743	-3693.05	159.3069	1.296141	3.398543	6.609097
1746	-3534.521	-3695.702	161.1808	1.296141	2.783214	5.925169
1752	-3546.715	-3708.75	162.0347	1.31284	2.414844	5.65029
1758	-3540.723	-3702.922	162.199	1.361847	2.956277	5.23474
1764	-3535.861	-3698.177	162.3152	1.235891	2.575082	5.450383
1770	-3537.866	-3699.965	162.0987	1.335998	2.748149	5.419182
1776	-3523.536	-3685.438	161.9017	1.351224	3.008792	5.375706
1782	-3535.791	-3697.69	161.8988	1.301317	2.595877	5.631864
1788	-3533.747	-3694.424	160.6777	1.301317	3.248698	5.942892
1794	-3525.151	-3685.577	160.4256	1.481703	3.513104	5.837595
1800	-3532.899	-3691.169	158.2705	1.481703	2.846176	7.364824
1806	-3534.918	-3694.455	159.5366	1.302976	2.453716	6.991356
1812	-3545.76	-3705.324	159.5643	1.253674	2.308569	7.081076
1818	-3542.7	-3704.413	161.7134	1.362769	2.540449	5.730231
1824	-3534.297	-3693.837	159.5402	1.456899	3.355408	6.419012
1830	-3540.272	-3700.848	160.576	1.317058	2.95512	6.149749
1836	-3529.333	-3689.951	160.6184	1.23929	2.289643	6.530218
1842	-3533.674	-3695.264	161.5892	1.196313	2.817858	5.737472
1848	-3535.354	-3697.177	161.8225	1.585532	2.817858	5.395479
1854	-3541.176	-3703.008	161.8327	1.465098	2.817858	5.456203
1860	-3535.677	-3698.023	162.3464	1.317146	3.129808	5.081797
1866	-3532.421	-3694.301	161.8791	1.258459	3.129808	5.372604
1872	-3537.125	-3696.886	159.7614	1.522629	2.731729	6.601401
1878	-3533.913	-3693.875	159.9622	1.502504	2.551037	6.601401
1884	-3535.205	-3697.574	162.3696	1.13433	2.714128	5.399779
1890	-3538.709	-3699.084	160.3757	1.51924	3.086984	6.076954
1896	-3537.283	-3699.09	161.8073	1.326384	2.924606	5.487743
1902	-3527.748	-3689.809	162.0608	1.225576	3.02003	5.351063
1908	-3531.286	-3693.502	162.2163	1.354061	3.729963	4.79974
1914	-3527.185	-3688.876	161.6914	1.360426	3.02239	5.47902
1920	-3534.279	-3696.32	162.0412	1.172002	2.630923	5.605453
1926	-3536.561	-3699.006	162.445	1.156604	2.599361	5.409214
1932	-3528.733	-3688.594	159.8612	1.405805	2.169973	6.913905
1938	-3531.672	-3693.701	162.029	1.174213	2.32363	5.779378
1944	-3538.667	-3700.293	161.6261	1.283057	2.617622	5.779378
1950	-3541.417	-3703.53	162.1129	1.265078	2.284097	5.705304
1956	-3527.559	-3690.129	162.5706	1.289633	2.577267	5.278725
1962	-3523.559	-3685.284	161.7252	1.215762	2.132469	6.027076
1968	-3537.882	-3699.601	161.7189	1.315889	2.058174	6.016386
1974	-3538.53	-3700.988	162.4579	1.325362	2.668567	5.270826
1980	-3528.846	-3691.746	162.8997	1.256612	2.668567	5.06431
1986	-3535.48	-3697.539	162.0592	1.319657	2.668567	5.493756
1992	-3529.749	-3691.273	161.5242	1.450904	2.140919	6.003829
