cell_label,M1 (Mk baseline),M2,M11,M10,M6,M7,M4,M3,M5,M9,M12,M8 (NT baseline)
"tree_length=1, gain_loss=0.25",0.267,0.269,0.26,0.27,0.269,0.269,0.268,0.266,0.269,0.27,0.26,0.268
"tree_length=1, gain_loss=0.1",0.267,0.269,0.26,0.27,0.269,0.269,0.268,0.266,0.269,0.27,0.261,0.268
"tree_length=1, gain_loss=1",0.267,0.269,0.26,0.27,0.269,0.269,0.268,0.266,0.269,0.27,0.26,0.268
"tree_length=1, gain_loss=0.5",0.267,0.269,0.26,0.27,0.269,0.269,0.268,0.266,0.269,0.27,0.26,0.268
"tree_length=1.5, gain_loss=0.1",0.254,0.266,0.255,0.271,0.269,0.27,0.267,0.265,0.268,0.267,0.255,0.267
"tree_length=1.5, gain_loss=0.25",0.254,0.266,0.255,0.271,0.269,0.27,0.267,0.265,0.268,0.267,0.255,0.267
"tree_length=1.5, gain_loss=0.5",0.254,0.266,0.255,0.271,0.269,0.27,0.267,0.265,0.268,0.267,0.255,0.267
"tree_length=1.5, gain_loss=1",0.254,0.266,0.255,0.271,0.269,0.27,0.267,0.265,0.268,0.267,0.255,0.267
"tree_length=2.5, gain_loss=0.1",0.23,0.254,0.221,0.254,0.256,0.266,0.255,0.256,0.255,0.256,0.222,0.257
"tree_length=5, gain_loss=0.25",0.25,0.256,0.213,0.258,0.255,0.263,0.254,0.255,0.254,0.253,0.215,0.255
"tree_length=5, gain_loss=0.5",0.25,0.256,0.213,0.258,0.255,0.262,0.254,0.255,0.254,0.253,0.215,0.255
"tree_length=5, gain_loss=0.1",0.25,0.256,0.213,0.258,0.255,0.262,0.254,0.255,0.254,0.253,0.215,0.255
"tree_length=5, gain_loss=1",0.25,0.256,0.213,0.258,0.255,0.262,0.254,0.255,0.254,0.253,0.215,0.255
"tree_length=2.5, gain_loss=0.25",0.23,0.254,0.221,0.254,0.256,0.26,0.255,0.256,0.255,0.256,0.222,0.257
"tree_length=2.5, gain_loss=0.5",0.23,0.254,0.221,0.254,0.256,0.26,0.255,0.256,0.255,0.256,0.222,0.257
"tree_length=2.5, gain_loss=1",0.23,0.254,0.221,0.254,0.256,0.26,0.255,0.256,0.255,0.256,0.222,0.257
