cell_label,M5,M9,M1 (Mk baseline),M10,M8 (NT baseline),M3,M6,M2,M12,M11,M4,M7
"tree_length=1, gain_loss=0.1",0.198,0.198,0.174,0.197,0.198,0.198,0.198,0.198,0.2,0.18,0.198,0.196
"tree_length=1, gain_loss=0.25",0.198,0.198,0.174,0.197,0.198,0.198,0.198,0.198,0.197,0.18,0.198,0.196
"tree_length=1, gain_loss=1",0.198,0.198,0.174,0.197,0.198,0.198,0.198,0.198,0.188,0.18,0.198,0.196
"tree_length=1, gain_loss=0.5",0.198,0.198,0.174,0.197,0.198,0.198,0.198,0.198,0.187,0.18,0.198,0.196
"tree_length=5, gain_loss=0.1",0.182,0.18,0.159,0.185,0.181,0.18,0.183,0.182,0.18,0.144,0.181,0.181
"tree_length=5, gain_loss=0.25",0.182,0.18,0.159,0.185,0.181,0.18,0.183,0.182,0.171,0.144,0.181,0.181
"tree_length=5, gain_loss=0.5",0.182,0.18,0.159,0.185,0.181,0.18,0.183,0.182,0.149,0.144,0.181,0.181
"tree_length=5, gain_loss=1",0.182,0.18,0.159,0.185,0.181,0.18,0.183,0.182,0.143,0.144,0.181,0.181
"tree_length=1.5, gain_loss=0.25",0.16,0.162,0.166,0.162,0.162,0.16,0.162,0.161,0.158,0.133,0.158,0.161
"tree_length=1.5, gain_loss=0.1",0.16,0.162,0.166,0.162,0.162,0.16,0.162,0.161,0.158,0.133,0.158,0.161
"tree_length=1.5, gain_loss=0.5",0.16,0.162,0.166,0.162,0.162,0.16,0.162,0.161,0.158,0.133,0.158,0.161
"tree_length=1.5, gain_loss=1",0.16,0.162,0.166,0.162,0.162,0.16,0.162,0.161,0.146,0.133,0.158,0.161
"tree_length=2.5, gain_loss=0.1",0.161,0.162,0.155,0.16,0.16,0.16,0.16,0.161,0.159,0.128,0.159,0.128
"tree_length=2.5, gain_loss=0.25",0.161,0.162,0.155,0.16,0.16,0.16,0.16,0.161,0.159,0.128,0.159,0.128
"tree_length=2.5, gain_loss=0.5",0.161,0.162,0.155,0.16,0.16,0.16,0.16,0.161,0.15,0.128,0.159,0.128
"tree_length=2.5, gain_loss=1",0.161,0.161,0.155,0.16,0.16,0.16,0.16,0.161,0.13,0.128,0.159,0.147
