cell_label,M11,M5,M7,M9,M10,M3,M4,M6,M1 (Mk baseline),M12,M8 (NT baseline),M2
"tree_length=5, gain_loss=0.1",0.317,0.35,0.336,0.334,0.334,0.347,0.357,0.338,0.351,0.32,0.332,0.334
"tree_length=2.5, gain_loss=0.1",0.311,0.32,0.313,0.303,0.302,0.324,0.34,0.307,0.334,0.305,0.302,0.309
"tree_length=1, gain_loss=1",0.304,0.32,0.313,0.312,0.31,0.32,0.32,0.313,0.32,0.302,0.313,0.311
"tree_length=1, gain_loss=0.1",0.271,0.322,0.33,0.33,0.328,0.294,0.298,0.306,0.297,0.276,0.33,0.302
"tree_length=2.5, gain_loss=0.25",0.279,0.311,0.306,0.304,0.304,0.312,0.31,0.305,0.304,0.276,0.304,0.303
"tree_length=1.5, gain_loss=0.1",0.307,0.296,0.296,0.297,0.298,0.312,0.306,0.3,0.301,0.306,0.295,0.301
"tree_length=1, gain_loss=0.25",0.287,0.302,0.301,0.303,0.3,0.299,0.299,0.302,0.3,0.287,0.301,0.302
"tree_length=2.5, gain_loss=0.5",0.275,0.312,0.29,0.289,0.29,0.31,0.314,0.297,0.313,0.296,0.291,0.294
"tree_length=5, gain_loss=0.25",0.282,0.307,0.3,0.297,0.297,0.313,0.299,0.299,0.302,0.265,0.296,0.298
"tree_length=5, gain_loss=0.5",0.259,0.295,0.291,0.292,0.292,0.3,0.283,0.295,0.293,0.266,0.292,0.292
"tree_length=1, gain_loss=0.5",0.278,0.285,0.285,0.284,0.286,0.287,0.287,0.283,0.288,0.276,0.283,0.288
"tree_length=1.5, gain_loss=1",0.263,0.286,0.273,0.277,0.271,0.287,0.283,0.272,0.285,0.249,0.274,0.273
"tree_length=5, gain_loss=1",0.241,0.269,0.268,0.268,0.268,0.27,0.269,0.266,0.272,0.255,0.267,0.264
"tree_length=1.5, gain_loss=0.5",0.243,0.259,0.259,0.259,0.26,0.262,0.262,0.263,0.262,0.241,0.261,0.264
"tree_length=1.5, gain_loss=0.25",0.239,0.255,0.258,0.257,0.259,0.262,0.261,0.258,0.259,0.239,0.257,0.259
"tree_length=2.5, gain_loss=1",0.237,0.255,0.257,0.256,0.257,0.255,0.255,0.254,0.254,0.241,0.256,0.255
