cell_label,M10,M7,M9,M1 (Mk baseline),M6,M8 (NT baseline),M12,M11,M5,M3,M4,M2
"tree_length=5, gain_loss=0.1",0.508,0.534,0.507,0.543,0.497,0.508,0.49,0.514,0.542,0.546,0.549,0.506
"tree_length=5, gain_loss=0.25",0.466,0.471,0.471,0.501,0.485,0.466,0.49,0.499,0.487,0.498,0.499,0.491
"tree_length=1.5, gain_loss=0.1",0.481,0.487,0.482,0.48,0.472,0.481,0.45,0.461,0.48,0.479,0.481,0.476
"tree_length=1.5, gain_loss=1",0.46,0.46,0.459,0.458,0.455,0.46,0.446,0.441,0.46,0.462,0.458,0.459
"tree_length=2.5, gain_loss=0.1",0.462,0.463,0.469,0.461,0.463,0.465,0.429,0.438,0.451,0.452,0.463,0.46
"tree_length=5, gain_loss=1",0.451,0.454,0.459,0.458,0.452,0.455,0.453,0.41,0.456,0.458,0.458,0.452
"tree_length=1, gain_loss=0.1",0.444,0.445,0.443,0.466,0.46,0.445,0.436,0.437,0.45,0.461,0.465,0.462
"tree_length=1.5, gain_loss=0.25",0.439,0.439,0.439,0.447,0.439,0.439,0.407,0.42,0.444,0.449,0.447,0.44
"tree_length=5, gain_loss=0.5",0.426,0.435,0.427,0.448,0.422,0.427,0.428,0.433,0.445,0.446,0.448,0.424
"tree_length=1, gain_loss=0.25",0.408,0.413,0.412,0.425,0.417,0.409,0.401,0.388,0.417,0.421,0.422,0.422
"tree_length=1.5, gain_loss=0.5",0.408,0.414,0.412,0.414,0.413,0.41,0.381,0.381,0.418,0.416,0.414,0.415
"tree_length=1, gain_loss=1",0.407,0.407,0.407,0.405,0.408,0.406,0.395,0.395,0.405,0.407,0.404,0.409
"tree_length=1, gain_loss=0.5",0.402,0.408,0.407,0.412,0.403,0.405,0.398,0.385,0.408,0.409,0.407,0.407
"tree_length=2.5, gain_loss=1",0.395,0.395,0.397,0.393,0.4,0.394,0.366,0.366,0.388,0.39,0.39,0.4
"tree_length=2.5, gain_loss=0.5",0.384,0.387,0.388,0.387,0.389,0.385,0.368,0.337,0.39,0.387,0.386,0.387
"tree_length=2.5, gain_loss=0.25",0.373,0.378,0.376,0.392,0.381,0.371,0.34,0.355,0.389,0.387,0.391,0.376
