cell_label,M10,M9,M5,M11,M12,M1 (Mk baseline),M8 (NT baseline),M2,M3,M7,M4,M6
"tree_length=5, gain_loss=0.1",0.347,0.34,0.379,0.374,0.371,0.394,0.346,0.367,0.396,0.346,0.396,0.366
"tree_length=1.5, gain_loss=0.1",0.333,0.328,0.321,0.303,0.305,0.324,0.33,0.334,0.325,0.328,0.329,0.336
"tree_length=2.5, gain_loss=0.1",0.315,0.317,0.313,0.305,0.299,0.311,0.315,0.304,0.312,0.323,0.322,0.307
"tree_length=5, gain_loss=0.5",0.309,0.305,0.318,0.306,0.295,0.316,0.31,0.307,0.313,0.308,0.314,0.302
"tree_length=5, gain_loss=0.25",0.301,0.302,0.315,0.286,0.283,0.321,0.302,0.309,0.312,0.302,0.325,0.315
"tree_length=1, gain_loss=0.5",0.301,0.315,0.303,0.289,0.284,0.312,0.301,0.313,0.307,0.307,0.311,0.308
"tree_length=1, gain_loss=0.1",0.285,0.293,0.298,0.285,0.291,0.302,0.289,0.291,0.3,0.29,0.294,0.283
"tree_length=5, gain_loss=1",0.287,0.288,0.302,0.279,0.28,0.303,0.282,0.281,0.306,0.284,0.303,0.282
"tree_length=1.5, gain_loss=1",0.288,0.287,0.29,0.278,0.269,0.288,0.287,0.289,0.29,0.287,0.288,0.286
"tree_length=2.5, gain_loss=1",0.29,0.289,0.293,0.251,0.231,0.285,0.291,0.287,0.286,0.312,0.291,0.292
"tree_length=2.5, gain_loss=0.25",0.292,0.292,0.285,0.261,0.251,0.292,0.291,0.285,0.291,0.287,0.282,0.284
"tree_length=1, gain_loss=0.25",0.273,0.276,0.293,0.282,0.259,0.297,0.273,0.277,0.297,0.275,0.296,0.28
"tree_length=1, gain_loss=1",0.261,0.262,0.271,0.262,0.239,0.27,0.262,0.264,0.269,0.263,0.271,0.262
"tree_length=1.5, gain_loss=0.5",0.267,0.264,0.266,0.25,0.253,0.262,0.265,0.261,0.264,0.262,0.266,0.266
"tree_length=2.5, gain_loss=0.5",0.253,0.248,0.279,0.255,0.241,0.28,0.254,0.252,0.277,0.276,0.279,0.252
"tree_length=1.5, gain_loss=0.25",0.262,0.26,0.26,0.238,0.237,0.27,0.262,0.263,0.267,0.26,0.272,0.259
