cell_label,M5,M9,M6,M2,M3,M7,M1 (Mk baseline),M11,M4,M8 (NT baseline),M10,M12
"tree_length=5, gain_loss=0.1",0.211,0.214,0.215,0.217,0.23,0.21,0.232,0.226,0.224,0.209,0.208,0.224
"tree_length=1, gain_loss=1",0.203,0.198,0.196,0.197,0.204,0.197,0.205,0.193,0.204,0.197,0.198,0.204
"tree_length=1.5, gain_loss=0.25",0.202,0.201,0.195,0.194,0.207,0.192,0.208,0.189,0.203,0.191,0.194,0.203
"tree_length=5, gain_loss=1",0.192,0.205,0.185,0.187,0.21,0.186,0.209,0.202,0.198,0.185,0.184,0.198
"tree_length=1.5, gain_loss=0.5",0.195,0.174,0.196,0.196,0.196,0.194,0.197,0.176,0.198,0.194,0.194,0.198
"tree_length=1, gain_loss=0.1",0.202,0.168,0.192,0.192,0.21,0.193,0.208,0.169,0.195,0.192,0.191,0.195
"tree_length=2.5, gain_loss=1",0.196,0.183,0.184,0.186,0.198,0.189,0.2,0.189,0.196,0.185,0.183,0.196
"tree_length=2.5, gain_loss=0.5",0.19,0.176,0.186,0.195,0.199,0.185,0.201,0.198,0.189,0.185,0.187,0.189
"tree_length=2.5, gain_loss=0.1",0.177,0.167,0.194,0.196,0.18,0.209,0.195,0.17,0.19,0.194,0.193,0.19
"tree_length=1.5, gain_loss=1",0.192,0.194,0.172,0.18,0.194,0.171,0.194,0.194,0.192,0.175,0.173,0.192
"tree_length=2.5, gain_loss=0.25",0.179,0.171,0.176,0.176,0.201,0.184,0.201,0.19,0.193,0.177,0.179,0.193
"tree_length=1, gain_loss=0.25",0.194,0.173,0.178,0.182,0.195,0.178,0.192,0.173,0.193,0.178,0.177,0.193
"tree_length=5, gain_loss=0.5",0.181,0.162,0.18,0.189,0.187,0.184,0.188,0.18,0.184,0.185,0.184,0.184
"tree_length=5, gain_loss=0.25",0.188,0.171,0.169,0.173,0.186,0.166,0.19,0.169,0.194,0.165,0.167,0.194
"tree_length=1.5, gain_loss=0.1",0.172,0.179,0.178,0.178,0.173,0.177,0.175,0.171,0.176,0.174,0.174,0.176
"tree_length=1, gain_loss=0.5",0.177,0.187,0.169,0.172,0.182,0.168,0.182,0.165,0.176,0.169,0.168,0.176
