cell_label,M10,M11,M1 (Mk baseline),M9,M5,M2,M7,M6,M8 (NT baseline),M3,M4,M12
"tree_length=5, gain_loss=0.1",0.515,0.474,0.516,0.514,0.54,0.51,0.515,0.517,0.516,0.509,0.536,0.48
"tree_length=5, gain_loss=0.5",0.447,0.455,0.485,0.454,0.474,0.456,0.478,0.452,0.449,0.49,0.471,0.437
"tree_length=1.5, gain_loss=0.1",0.46,0.441,0.468,0.465,0.466,0.458,0.465,0.454,0.464,0.467,0.469,0.444
"tree_length=5, gain_loss=0.25",0.449,0.432,0.474,0.446,0.471,0.452,0.45,0.448,0.45,0.477,0.47,0.426
"tree_length=5, gain_loss=1",0.444,0.417,0.464,0.446,0.455,0.452,0.449,0.44,0.445,0.466,0.459,0.433
"tree_length=1, gain_loss=0.25",0.435,0.41,0.448,0.445,0.456,0.428,0.443,0.425,0.441,0.452,0.447,0.398
"tree_length=1.5, gain_loss=1",0.429,0.421,0.446,0.431,0.443,0.438,0.429,0.434,0.43,0.442,0.444,0.424
"tree_length=1, gain_loss=1",0.434,0.423,0.439,0.434,0.435,0.435,0.434,0.435,0.434,0.438,0.436,0.426
"tree_length=2.5, gain_loss=0.1",0.437,0.407,0.436,0.437,0.432,0.432,0.448,0.436,0.436,0.43,0.438,0.401
"tree_length=1, gain_loss=0.1",0.433,0.419,0.434,0.432,0.432,0.434,0.432,0.436,0.432,0.434,0.435,0.408
"tree_length=1.5, gain_loss=0.5",0.429,0.408,0.432,0.432,0.429,0.438,0.434,0.429,0.432,0.437,0.421,0.403
"tree_length=1.5, gain_loss=0.25",0.423,0.413,0.44,0.42,0.426,0.423,0.421,0.425,0.42,0.431,0.445,0.4
"tree_length=1, gain_loss=0.5",0.41,0.391,0.413,0.411,0.409,0.408,0.411,0.409,0.411,0.415,0.412,0.399
"tree_length=2.5, gain_loss=0.5",0.392,0.413,0.428,0.393,0.428,0.392,0.395,0.388,0.392,0.434,0.425,0.378
"tree_length=2.5, gain_loss=0.25",0.398,0.392,0.402,0.399,0.389,0.418,0.4,0.407,0.397,0.406,0.401,0.401
"tree_length=2.5, gain_loss=1",0.392,0.371,0.39,0.394,0.395,0.394,0.393,0.393,0.395,0.393,0.395,0.364
