cell_label,M7,M10,M2,M11,M3,M8 (NT baseline),M6,M12,M5,M9,M4,M1 (Mk baseline)
"tree_length=1, gain_loss=0.1",0.32,0.317,0.317,0.301,0.322,0.317,0.314,0.295,0.318,0.316,0.315,0.321
"tree_length=5, gain_loss=0.1",0.313,0.31,0.298,0.29,0.336,0.314,0.306,0.305,0.318,0.313,0.313,0.324
"tree_length=5, gain_loss=0.5",0.288,0.292,0.291,0.292,0.334,0.291,0.296,0.267,0.339,0.274,0.321,0.333
"tree_length=1.5, gain_loss=0.1",0.304,0.302,0.308,0.297,0.302,0.3,0.309,0.281,0.308,0.274,0.32,0.306
"tree_length=2.5, gain_loss=0.1",0.322,0.3,0.287,0.251,0.277,0.299,0.303,0.279,0.294,0.272,0.303,0.289
"tree_length=2.5, gain_loss=1",0.324,0.291,0.295,0.252,0.286,0.292,0.292,0.268,0.293,0.262,0.293,0.293
"tree_length=2.5, gain_loss=0.25",0.286,0.28,0.286,0.287,0.296,0.281,0.279,0.283,0.295,0.248,0.294,0.301
"tree_length=1, gain_loss=0.25",0.282,0.282,0.288,0.282,0.288,0.28,0.286,0.281,0.286,0.28,0.289,0.29
"tree_length=5, gain_loss=1",0.281,0.278,0.28,0.281,0.3,0.278,0.282,0.263,0.29,0.283,0.291,0.301
"tree_length=1.5, gain_loss=0.25",0.292,0.288,0.276,0.269,0.291,0.287,0.273,0.26,0.29,0.283,0.288,0.294
"tree_length=1, gain_loss=1",0.255,0.285,0.293,0.273,0.296,0.286,0.285,0.268,0.287,0.243,0.286,0.295
"tree_length=2.5, gain_loss=0.5",0.282,0.278,0.282,0.249,0.279,0.276,0.272,0.255,0.283,0.267,0.287,0.272
"tree_length=1.5, gain_loss=0.5",0.266,0.265,0.268,0.258,0.293,0.263,0.266,0.237,0.276,0.27,0.28,0.29
"tree_length=5, gain_loss=0.25",0.26,0.256,0.261,0.273,0.303,0.257,0.258,0.249,0.264,0.26,0.277,0.307
"tree_length=1, gain_loss=0.5",0.277,0.276,0.274,0.241,0.271,0.276,0.275,0.243,0.271,0.242,0.273,0.27
"tree_length=1.5, gain_loss=1",0.241,0.253,0.254,0.239,0.253,0.253,0.254,0.236,0.25,0.237,0.25,0.254
