cell_label,M7,M10,M8 (NT baseline),M2,M9,M1 (Mk baseline),M6,M3,M11,M12,M4,M5
"tree_length=1.5, gain_loss=0.1",0.188,0.201,0.201,0.195,0.201,0.21,0.193,0.21,0.196,0.204,0.204,0.202
"tree_length=5, gain_loss=0.1",0.202,0.201,0.2,0.203,0.178,0.208,0.195,0.203,0.211,0.195,0.195,0.195
"tree_length=2.5, gain_loss=0.25",0.202,0.194,0.195,0.189,0.2,0.203,0.193,0.205,0.198,0.198,0.198,0.2
"tree_length=5, gain_loss=0.25",0.216,0.186,0.187,0.197,0.158,0.206,0.188,0.216,0.203,0.2,0.2,0.184
"tree_length=2.5, gain_loss=0.5",0.187,0.183,0.184,0.187,0.184,0.207,0.185,0.205,0.183,0.19,0.19,0.189
"tree_length=1.5, gain_loss=0.25",0.194,0.19,0.188,0.183,0.154,0.198,0.181,0.205,0.172,0.187,0.187,0.191
"tree_length=1, gain_loss=0.25",0.162,0.183,0.185,0.186,0.184,0.194,0.186,0.195,0.173,0.192,0.192,0.192
"tree_length=1.5, gain_loss=1",0.179,0.175,0.177,0.178,0.193,0.193,0.177,0.194,0.175,0.186,0.186,0.186
"tree_length=1, gain_loss=1",0.168,0.181,0.179,0.172,0.193,0.192,0.18,0.192,0.179,0.182,0.182,0.181
"tree_length=1.5, gain_loss=0.5",0.204,0.18,0.18,0.184,0.173,0.181,0.18,0.181,0.152,0.179,0.179,0.179
"tree_length=1, gain_loss=0.5",0.17,0.172,0.171,0.172,0.215,0.181,0.171,0.181,0.18,0.175,0.175,0.173
"tree_length=2.5, gain_loss=1",0.172,0.171,0.173,0.177,0.188,0.18,0.172,0.184,0.157,0.176,0.176,0.174
"tree_length=2.5, gain_loss=0.1",0.18,0.178,0.179,0.173,0.176,0.176,0.172,0.181,0.148,0.172,0.172,0.175
"tree_length=5, gain_loss=1",0.16,0.159,0.159,0.166,0.16,0.19,0.161,0.188,0.175,0.174,0.174,0.175
"tree_length=5, gain_loss=0.5",0.158,0.158,0.156,0.15,0.145,0.165,0.154,0.167,0.155,0.182,0.182,0.18
"tree_length=1, gain_loss=0.1",0.168,0.156,0.158,0.156,0.157,0.166,0.156,0.168,0.149,0.162,0.162,0.163
