cell_label,M2,M8 (NT baseline),M4,M1 (Mk baseline),M7,M12,M6,M5,M10,M9,M11,M3
"tree_length=5, gain_loss=0.25",0.658,0.663,0.662,0.662,0.666,0.657,0.657,0.661,0.661,0.663,0.641,0.666
"tree_length=5, gain_loss=0.1",0.644,0.655,0.64,0.661,0.651,0.626,0.639,0.655,0.651,0.653,0.621,0.649
"tree_length=1, gain_loss=0.25",0.613,0.61,0.627,0.626,0.612,0.617,0.609,0.627,0.608,0.604,0.594,0.626
"tree_length=5, gain_loss=1",0.608,0.595,0.605,0.638,0.597,0.606,0.595,0.607,0.596,0.598,0.618,0.636
"tree_length=5, gain_loss=0.5",0.613,0.605,0.597,0.625,0.607,0.591,0.599,0.606,0.605,0.609,0.589,0.624
"tree_length=1, gain_loss=0.1",0.596,0.597,0.593,0.594,0.599,0.582,0.597,0.594,0.597,0.599,0.571,0.601
"tree_length=1.5, gain_loss=0.1",0.589,0.583,0.593,0.593,0.586,0.558,0.58,0.593,0.58,0.584,0.568,0.595
"tree_length=2.5, gain_loss=0.25",0.574,0.581,0.577,0.571,0.584,0.535,0.579,0.579,0.582,0.58,0.527,0.576
"tree_length=2.5, gain_loss=0.1",0.57,0.554,0.562,0.578,0.557,0.56,0.556,0.556,0.554,0.557,0.545,0.585
"tree_length=2.5, gain_loss=0.5",0.564,0.572,0.56,0.566,0.571,0.55,0.56,0.565,0.566,0.571,0.526,0.562
"tree_length=1, gain_loss=1",0.558,0.559,0.565,0.561,0.56,0.537,0.558,0.563,0.56,0.557,0.529,0.556
"tree_length=1.5, gain_loss=0.5",0.558,0.554,0.549,0.565,0.555,0.538,0.553,0.55,0.556,0.555,0.534,0.564
"tree_length=2.5, gain_loss=1",0.557,0.542,0.54,0.56,0.544,0.542,0.54,0.543,0.54,0.544,0.516,0.56
"tree_length=1.5, gain_loss=0.25",0.538,0.535,0.532,0.542,0.538,0.517,0.53,0.537,0.533,0.537,0.503,0.542
"tree_length=1, gain_loss=0.5",0.533,0.536,0.534,0.537,0.535,0.511,0.531,0.535,0.537,0.536,0.511,0.538
"tree_length=1.5, gain_loss=1",0.49,0.487,0.486,0.494,0.488,0.481,0.486,0.485,0.487,0.488,0.465,0.491
