"scenario","modelID","predictor","threshold","direction","range_lo","range_hi","stable"
"nt","model1","tree_length",NA,NA,1,5,TRUE
"nt","model1","rate_ratio",NA,NA,0.1,1,TRUE
"nt","model1","chars_per_taxon",NA,NA,0.5,4,TRUE
"nt","model2","tree_length",NA,NA,1,5,TRUE
"nt","model2","rate_ratio",NA,NA,0.1,1,TRUE
"nt","model2","chars_per_taxon",NA,NA,0.5,4,TRUE
"nt","model3","tree_length",NA,NA,1,5,TRUE
"nt","model3","rate_ratio",NA,NA,0.1,1,TRUE
"nt","model3","chars_per_taxon",NA,NA,0.5,4,TRUE
"nt","model4","tree_length",NA,NA,1,5,TRUE
"nt","model4","rate_ratio",NA,NA,0.1,1,TRUE
"nt","model4","chars_per_taxon",NA,NA,0.5,4,TRUE
"nt","model5","tree_length",NA,NA,1,5,TRUE
"nt","model5","rate_ratio",NA,NA,0.1,1,TRUE
"nt","model5","chars_per_taxon",NA,NA,0.5,4,TRUE
"nt","model6","tree_length",NA,NA,1,5,TRUE
"nt","model6","rate_ratio",NA,NA,0.1,1,TRUE
"nt","model6","chars_per_taxon",1.83277701840531,"below",0.5,4,TRUE
"nt","model7","tree_length",NA,NA,1,5,TRUE
"nt","model7","rate_ratio",NA,NA,0.1,1,TRUE
"nt","model7","chars_per_taxon",NA,NA,0.5,4,TRUE
"nt","model9","tree_length",NA,NA,1,5,TRUE
"nt","model9","rate_ratio",NA,NA,0.1,1,TRUE
"nt","model9","chars_per_taxon",NA,NA,0.5,4,TRUE
"nt","model10","tree_length",NA,NA,1,5,TRUE
"nt","model10","rate_ratio",NA,NA,0.1,1,TRUE
"nt","model10","chars_per_taxon",1.91632163733233,"below",0.5,4,TRUE
"nt","model11","tree_length",NA,NA,1,5,TRUE
"nt","model11","rate_ratio",NA,NA,0.1,1,TRUE
"nt","model11","chars_per_taxon",2.76066283321009,"below",0.5,4,TRUE
"nt","model12","tree_length",NA,NA,1,5,TRUE
"nt","model12","rate_ratio",NA,NA,0.1,1,TRUE
"nt","model12","chars_per_taxon",3.07140673558607,"below",0.5,4,TRUE
