Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	br_lengths[58]	br_lengths[59]	br_lengths[60]	br_lengths[61]	br_lengths[62]	br_lengths[63]	br_lengths[64]	br_lengths[65]	br_lengths[66]	br_lengths[67]	br_lengths[68]	br_lengths[69]	br_lengths[70]	br_lengths[71]	br_lengths[72]	br_lengths[73]	br_lengths[74]	br_lengths[75]	br_lengths[76]	br_lengths[77]	br_lengths[78]	br_lengths[79]	br_lengths[80]	br_lengths[81]	br_lengths[82]	br_lengths[83]	br_lengths[84]	br_lengths[85]	br_lengths[86]	br_lengths[87]	br_lengths[88]	br_lengths[89]	br_lengths[90]	br_lengths[91]	br_lengths[92]	br_lengths[93]	br_lengths[94]	br_lengths[95]	br_lengths[96]	br_lengths[97]	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	rel_br_lengths[58]	rel_br_lengths[59]	rel_br_lengths[60]	rel_br_lengths[61]	rel_br_lengths[62]	rel_br_lengths[63]	rel_br_lengths[64]	rel_br_lengths[65]	rel_br_lengths[66]	rel_br_lengths[67]	rel_br_lengths[68]	rel_br_lengths[69]	rel_br_lengths[70]	rel_br_lengths[71]	rel_br_lengths[72]	rel_br_lengths[73]	rel_br_lengths[74]	rel_br_lengths[75]	rel_br_lengths[76]	rel_br_lengths[77]	rel_br_lengths[78]	rel_br_lengths[79]	rel_br_lengths[80]	rel_br_lengths[81]	rel_br_lengths[82]	rel_br_lengths[83]	rel_br_lengths[84]	rel_br_lengths[85]	rel_br_lengths[86]	rel_br_lengths[87]	rel_br_lengths[88]	rel_br_lengths[89]	rel_br_lengths[90]	rel_br_lengths[91]	rel_br_lengths[92]	rel_br_lengths[93]	rel_br_lengths[94]	rel_br_lengths[95]	rel_br_lengths[96]	rel_br_lengths[97]	tree_length
0	-44.71711	-217.6515	172.9344	0.0139486	0.028706	0.0049278	0.00382938	0.00998804	0.00709564	0.00627465	0.00761797	0.00178764	0.00508095	0.00625249	0.000426637	0.00197079	0.0187767	0.00941661	0.0199188	0.00250659	0.000816829	0.00614948	0.033607	0.000362653	0.00210637	0.0125234	0.0204798	0.00763197	0.00851766	0.00675308	0.0321876	0.0133204	0.0442877	0.00558716	0.0615476	0.00592986	0.012631	0.017267	0.00521589	0.0184565	0.00187856	0.00752653	0.0118756	0.00236797	0.0205866	0.0280723	0.00798162	0.00485949	0.0112324	0.0283004	0.0096422	0.00347702	0.000996998	0.0176956	0.0142678	0.00233783	0.00828179	0.00372964	0.0244103	0.0196251	0.0276832	0.00304199	0.0129983	0.0313901	0.00682641	0.0261636	0.0376369	0.00207303	0.0203276	0.028124	0.00331169	0.0154774	0.00862376	0.0122088	0.0116889	0.0151329	0.0159665	0.0506023	0.0123402	0.0185289	0.00644651	0.0163014	0.00501286	0.00422404	0.000561285	0.0114702	6.82906e-05	0.0421109	0.000593306	0.0189442	0.019751	0.0721333	0.0285424	0.0085551	0.0279391	0.0015394	0.00178248	0.000249245	0.0207828	0.00737551	0.0103509	0.0213019	0.00365678	0.00284167	0.00741184	0.00526547	0.00465624	0.00565307	0.00132655	0.00377042	0.00463979	0.000316595	0.00146247	0.0139337	0.00698779	0.0147811	0.00186007	0.000606145	0.00456335	0.0249388	0.000269115	0.00156308	0.00929325	0.0151975	0.00566347	0.00632071	0.00501127	0.0238855	0.00988471	0.0328646	0.00414607	0.0456727	0.00440038	0.0093731	0.0128133	0.00387056	0.013696	0.00139402	0.00558522	0.00881251	0.0017572	0.0152767	0.0208317	0.00592293	0.00360609	0.00833522	0.0210009	0.0071552	0.0025802	0.000739843	0.0131314	0.0105877	0.00173483	0.00614567	0.00276766	0.0181142	0.0145632	0.0205429	0.00225737	0.00964564	0.0232937	0.00506568	0.0194152	0.0279293	0.00153833	0.0150845	0.02087	0.00245751	0.0114853	0.00639945	0.0090598	0.00867396	0.0112297	0.0118483	0.0375505	0.00915733	0.0137498	0.00478377	0.0120968	0.0037199	0.00313453	0.000416513	0.00851171	5.06765e-05	0.0312493	0.000440275	0.014058	0.0146567	0.053528	0.0211805	0.00634849	0.0207328	0.00114234	0.00132272	0.000184957	0.0154223	0.00547315	1.34758
36	-27.59746	-200.2991	172.7017	0.0143813	0.014953	0.00558771	0.0021853	0.0670877	0.00684507	0.00211022	0.00385474	0.00493671	0.0115396	0.0134047	0.00204761	0.0200643	0.000617774	0.0626862	0.00331945	0.000165306	0.00762108	0.00988667	0.032317	0.00102445	0.00927053	0.00858079	0.00464482	0.00657701	0.000573208	0.0035926	0.0169601	0.008338	0.0194778	0.00717974	0.0633091	0.00215592	0.00715819	0.0109599	0.00392678	0.0028902	0.019396	0.0233404	0.0347743	0.0176855	0.0121017	0.0493239	0.00880387	0.00136457	0.0539687	0.00957672	0.000362384	0.00589266	0.0232494	0.00718572	0.0169472	0.0384102	0.00610356	0.0109993	0.0175853	0.00944868	0.04131	0.0610957	0.0252415	0.0529638	0.00428704	0.0497402	0.00428173	0.0101834	0.00234185	0.044977	0.000811897	0.00376335	0.00667317	0.00722961	0.00341404	0.0198566	0.0365707	0.0143892	0.0404275	0.00488729	0.0151709	0.0012124	0.00831411	0.0252311	0.00468429	0.00123979	0.0106311	0.0149346	0.0261066	0.00604279	0.0383446	0.0183021	0.00683715	0.0230484	0.0253774	0.000802732	0.00589305	0.00330335	0.0123692	0.0151414	0.00942302	0.00979767	0.00366123	0.00143187	0.0439578	0.00448509	0.00138268	0.00252574	0.00323468	0.0075611	0.00878317	0.00134166	0.0131467	0.000404783	0.0410738	0.002175	0.000108313	0.00499355	0.00647804	0.021175	0.000671249	0.00607432	0.00562238	0.00304342	0.00430945	0.000375582	0.00235398	0.0111128	0.0054633	0.0127624	0.00470438	0.041482	0.00141262	0.00469026	0.00718128	0.00257294	0.00189375	0.0127088	0.0152933	0.0227852	0.011588	0.00792942	0.0323185	0.00576855	0.000894107	0.0353619	0.00627495	0.000237445	0.00386105	0.0152337	0.00470829	0.0111043	0.0251675	0.00399923	0.00720709	0.0115224	0.00619105	0.0270675	0.0400317	0.016539	0.0347034	0.002809	0.0325912	0.00280551	0.00667246	0.00153445	0.0294702	0.000531979	0.00246586	0.00437245	0.00473705	0.00223698	0.0130106	0.0239622	0.0094282	0.0264893	0.00320229	0.00994039	0.000794398	0.00544765	0.0165322	0.00306928	0.000812344	0.00696583	0.00978559	0.0171058	0.00395941	0.0251245	0.011992	0.0044799	0.015102	0.016628	0.000525974	0.0038613	0.00216445	0.00810465	0.00992108	1.526184
72	-13.62421	-187.1929	173.5687	0.00199894	0.0134636	0.0048697	0.00172103	0.023335	0.00238967	0.00154449	0.000627482	0.00150351	0.00244815	0.00450983	0.00299181	0.00242699	0.00722542	0.00177492	0.00223525	0.00736854	0.000325547	0.0100164	0.0114537	0.00205388	0.00756662	0.0115944	0.00417803	0.00036817	0.00307381	0.00384727	0.00475083	0.00481346	0.00792162	0.00386691	0.00800403	0.000606992	0.000763066	0.02237	0.00289592	0.00127254	0.00244257	0.00743681	0.00493332	0.0106423	0.0128756	0.0147272	0.00534312	0.0040337	0.014833	0.0105117	0.0114191	0.00760391	0.00824278	0.0157858	0.00132443	0.00170004	0.0278541	0.00328387	0.00677219	0.00680789	0.00016983	0.0166577	0.00260548	0.0289497	0.0164319	0.000299878	0.00963895	0.0285174	0.00122957	0.0204903	0.013627	0.00718902	0.00141046	0.004228	0.0123295	0.0189412	0.00313433	0.00642095	0.0136041	0.0367205	0.0156278	0.00741017	0.00131391	0.000527764	0.0052622	0.0111137	0.00194043	0.0116991	0.00159095	0.00613499	0.00119169	0.0025096	0.000787608	0.00213892	0.000990265	0.00589998	0.00584046	0.00171915	0.00411083	0.00705611	0.00281457	0.0189571	0.00685668	0.00242326	0.0328564	0.00336473	0.00217469	0.000883514	0.00211699	0.00344707	0.00634998	0.00421256	0.00341727	0.0101736	0.00249914	0.0031473	0.0103751	0.000458379	0.0141034	0.0161272	0.00289192	0.010654	0.0163253	0.00588279	0.000518394	0.00432802	0.00541707	0.00668932	0.0067775	0.0111539	0.00544473	0.0112699	0.000854663	0.00107442	0.0314976	0.00407754	0.00179177	0.00343921	0.0104712	0.00694626	0.0149847	0.0181292	0.0207363	0.00752327	0.00567957	0.0208853	0.0148008	0.0160784	0.0107065	0.0116061	0.0222269	0.00186483	0.00239371	0.0392194	0.00462378	0.00953545	0.00958571	0.000239126	0.0234546	0.0036686	0.040762	0.0231366	0.000422237	0.0135719	0.0401533	0.00173127	0.0288509	0.0191872	0.0101224	0.00198596	0.00595315	0.0173603	0.0266697	0.00441323	0.00904089	0.019155	0.0517035	0.0220045	0.0104337	0.00185002	0.000743107	0.00740934	0.0156484	0.00273218	0.0164727	0.00224011	0.00863825	0.00167793	0.00353359	0.00110898	0.00301167	0.00139432	0.00830734	0.00822354	0.00242061	0.00578817	0.00993521	0.7102121
108	-12.12346	-185.5833	173.4598	0.00344308	0.0245501	0.00769724	0.0172293	0.025471	0.00333536	0.000771361	0.00111634	0.000517864	0.00399614	0.00269225	0.0113017	0.000112038	0.000838826	0.00283896	0.00756634	0.0021175	0.00605969	0.00540356	0.0161017	0.00725661	0.00428128	0.0110903	0.00382838	8.11565e-05	0.0056377	0.00947353	0.0112356	0.0103008	0.0190745	0.00379557	3.49627e-05	0.00310275	0.00154024	0.00684553	0.00399659	0.00545711	0.00053567	0.00451101	0.00894165	0.0102085	0.000305515	0.0105445	0.0108148	0.0179548	0.0238106	0.00298013	0.0145741	0.0075477	0.00487924	0.0245549	0.0139972	0.00125369	0.0470523	0.000828363	0.0199455	0.0014883	0.000614688	0.00237295	0.00675205	0.00681646	0.0173652	0.00110361	0.00710793	0.0165289	0.000527241	0.0262426	0.0269487	0.0242645	0.000905446	0.00087185	0.00145043	0.0228735	0.00528963	0.00171262	0.00370014	0.00785668	0.000297768	0.0111907	0.0130337	0.00046126	0.00843336	0.0164663	0.0269539	0.00784394	0.00356786	0.000565661	0.00315967	0.0156722	0.000871842	0.0260644	0.0349302	0.0108363	0.00443702	0.00775382	0.0014749	0.00852104	0.00400004	0.0285213	0.00894235	0.0200163	0.0295912	0.00387489	0.000896137	0.00129693	0.000601634	0.00464255	0.00312775	0.0131298	0.000130161	0.000974516	0.00329819	0.00879028	0.00246003	0.00703991	0.00627765	0.0187063	0.00843044	0.00497383	0.0128843	0.00444767	9.42844e-05	0.00654966	0.011006	0.013053	0.0119671	0.02216	0.00440955	4.06183e-05	0.00360465	0.00178939	0.00795287	0.00464308	0.00633986	0.000622321	0.00524071	0.0103881	0.0118598	0.000354936	0.0122502	0.0125642	0.0208591	0.0276622	0.00346219	0.0169316	0.00876863	0.00566851	0.0285269	0.0162614	0.00145649	0.0546635	0.000962359	0.0231719	0.00172904	0.00071412	0.0027568	0.00784427	0.00791909	0.0201742	0.00128214	0.00825772	0.0192026	0.000612528	0.0304877	0.0313079	0.0281896	0.00105191	0.00101288	0.00168505	0.0265736	0.00614528	0.00198966	0.00429868	0.00912758	0.000345935	0.0130009	0.015142	0.000535874	0.00979755	0.0191299	0.031314	0.00911278	0.004145	0.000657163	0.00367078	0.0182073	0.00101287	0.0302806	0.0405806	0.0125892	0.00515476	0.00900809	0.00171348	0.00989941	0.8607621
144	-13.18526	-186.2971	173.1118	0.00689629	0.00350125	0.00553575	0.0115639	0.0359172	0.0114789	0.0106839	0.000950589	0.00193723	0.00303088	0.024476	0.00217371	0.00407296	0.00438356	0.00312192	0.00334645	0.00108104	0.00233779	0.00306568	0.00140864	0.00686612	0.00919175	0.0154032	0.00539812	0.000593577	0.0150814	0.000561167	0.020785	0.015422	0.00423832	0.00321862	5.9423e-05	0.00657671	0.00146223	0.0476397	0.0268614	0.00503262	0.000685534	0.0626447	0.00153108	0.0188184	0.00655514	0.012029	0.00678086	0.00210621	0.00508528	0.00182068	0.0127851	0.0424339	0.013503	0.0658924	0.00409695	0.0113797	0.017371	0.00916774	0.0257252	0.00525173	0.0224985	0.00797735	0.00512824	0.0235241	0.00358186	0.0130852	0.0117564	0.0427577	0.00200205	0.0488106	0.0154556	0.00291973	0.00904895	0.008296	0.0020785	0.0274382	0.0273577	0.0165438	0.0041017	0.0162544	0.0135696	0.0178978	0.00951861	0.00446601	0.00420838	0.0414016	0.0358498	0.00599849	0.0012101	0.0199178	0.00541265	0.00514433	0.000513222	0.0294095	0.0128374	0.0159617	0.00444256	0.00347612	0.00189832	0.00676032	0.00573959	0.002914	0.00460725	0.00962433	0.0298929	0.00955359	0.00889189	0.000791149	0.0016123	0.00252252	0.0203707	0.00180912	0.00338981	0.00364832	0.00259829	0.00278516	0.000899723	0.00194568	0.00255148	0.00117237	0.00571448	0.00765004	0.0128197	0.00449271	0.000494018	0.0125518	0.000467044	0.0172988	0.0128353	0.00352744	0.00267877	4.94561e-05	0.00547362	0.00121697	0.0396492	0.022356	0.00418851	0.000570551	0.0521375	0.00127428	0.015662	0.00545566	0.0100114	0.00564353	0.00175294	0.00423234	0.0015153	0.0106407	0.0353166	0.0112381	0.0548404	0.00340978	0.00947104	0.0144574	0.00763006	0.0214104	0.00437087	0.0187249	0.00663933	0.0042681	0.0195785	0.00298109	0.0108904	0.00978455	0.0355861	0.00166625	0.0406237	0.0128632	0.00243001	0.00753119	0.00690453	0.00172987	0.022836	0.0227691	0.0137689	0.00341373	0.0135281	0.0112936	0.0148958	0.00792207	0.00371694	0.00350252	0.0344574	0.0298368	0.00499238	0.00100713	0.016577	0.0045048	0.00428148	0.000427141	0.0244767	0.0106842	0.0132845	0.00369742	0.00289308	0.00157992	0.00562643	1.201529
180	-30.83315	-204.0149	173.1817	0.00502862	0.00703327	0.0156358	0.0207651	0.0672249	0.00261853	0.0225287	0.0179832	0.000307459	0.00411458	0.0243418	0.00273236	0.00729769	0.0251463	0.00832967	0.0156816	0.00387022	7.39991e-05	0.0172209	0.00062386	0.000598555	0.000190688	0.00453416	0.00663615	0.0183829	0.000411799	0.00108144	0.00615404	0.00408291	0.0250527	0.00278452	0.022877	0.00496773	0.00140461	0.0402429	0.000603287	0.0103547	0.00594323	0.0138929	9.57907e-05	0.0057778	0.0201807	0.0111257	0.000403031	0.0102586	0.0133615	0.00374058	0.0161526	0.0246852	0.00120205	0.0175058	0.00597444	0.00673531	0.000271999	0.00568258	0.0147202	0.00104052	0.0002156	0.00348333	0.0216659	0.0588549	0.0175674	0.0147639	0.000696974	0.0176203	0.00379248	0.0135357	0.00255489	0.00768243	0.00474293	0.0189549	5.51352e-05	0.0410907	0.00446792	0.00308818	0.00204954	0.0476103	0.0154594	0.0125607	0.00846913	0.00568125	0.00563318	0.0109681	0.0403332	0.0241531	0.00118383	0.0126884	0.00813047	0.00978167	0.0530898	0.00210364	0.00374985	0.0117279	0.0037275	0.00957787	0.0121817	0.00714254	0.00440912	0.0061668	0.0137095	0.0182069	0.0589431	0.00229594	0.0197533	0.0157678	0.000269582	0.00360768	0.021343	0.00239575	0.00639865	0.0220483	0.00730348	0.0137497	0.00339342	6.48827e-05	0.0150994	0.000547003	0.000524815	0.000167196	0.00397557	0.0058186	0.0161182	0.000361067	0.000948215	0.00539589	0.00357991	0.0219663	0.00244148	0.0200586	0.00435572	0.00123157	0.0352851	0.000528964	0.00907903	0.00521104	0.0121813	8.39897e-05	0.005066	0.0176945	0.00975504	0.000353379	0.00899479	0.0117154	0.00327976	0.0141627	0.0216441	0.00105396	0.0153491	0.00523841	0.00590555	0.00023849	0.00498251	0.0129067	0.000912333	0.000189039	0.00305419	0.0189968	0.0516042	0.0154032	0.0129451	0.00061111	0.0154496	0.00332526	0.0118682	0.00224014	0.00673599	0.00415862	0.0166198	4.83428e-05	0.0360284	0.00391749	0.00270773	0.00179704	0.0417449	0.0135549	0.0110132	0.00742577	0.00498134	0.00493919	0.00961691	0.0353643	0.0211776	0.00103799	0.0111253	0.00712883	0.00857661	0.0465493	0.00184448	0.00328788	0.010283	0.00326829	0.00839792	0.010681	0.00626261	1.140506
216	-37.82575	-210.9426	173.1168	0.00498856	0.00156248	0.00640188	0.00161069	0.044056	0.0049655	0.0095037	0.00308625	0.00785514	0.00331905	0.0319841	0.0145527	0.00066356	0.00147582	0.00732699	0.0108563	0.0101561	0.00039747	0.0361043	0.000491943	0.0168613	0.0179767	0.0319793	0.00558349	0.00123927	0.00247373	0.000453457	0.000600342	0.00696648	0.00438965	0.00600843	0.00234529	0.0302231	0.0201436	0.0311313	0.0153056	0.000955957	0.0155384	0.00467928	0.00284901	0.0229726	0.0107692	0.00992132	0.00510061	0.0350704	0.00961519	0.00469142	0.000998789	0.0053301	0.00592348	0.00603338	0.00156378	0.00912502	0.00991249	0.00335823	0.00250152	0.0131618	0.014712	0.0352369	0.00844336	0.0163263	0.00720999	0.00475879	0.00413522	0.00844451	0.0012681	0.00490841	0.0229004	0.00531503	0.00808377	0.028855	0.00646028	0.016885	0.00663679	0.00411336	0.00881482	0.0151901	0.00759934	0.0457165	0.0065136	0.0181239	0.033723	0.0205618	0.0253037	0.0290996	0.0290289	0.00312752	0.00938067	0.0174702	0.0361146	0.0240526	0.0258631	0.00994809	0.00917322	0.0187688	0.000763994	0.0230868	0.00416675	0.00130508	0.00534724	0.00134534	0.0367983	0.00414749	0.00793808	0.00257782	0.0065611	0.00277227	0.0267151	0.0121553	0.000554247	0.00123269	0.00611996	0.00906786	0.00848296	0.000331992	0.0301566	0.000410901	0.0140836	0.0150152	0.0267111	0.00466367	0.00103512	0.00206621	0.000378756	0.000501443	0.00581883	0.0036665	0.00501861	0.00195893	0.0252442	0.0168252	0.0260028	0.0127842	0.000798474	0.0129786	0.00390842	0.00237967	0.0191881	0.00899513	0.0082869	0.00426034	0.029293	0.0080312	0.00391856	0.00083425	0.00445203	0.00494766	0.00503945	0.00130616	0.00762178	0.00827952	0.002805	0.00208942	0.0109935	0.0122884	0.0294321	0.00705242	0.0136367	0.00602223	0.00397483	0.00345399	0.00705338	0.0010592	0.00409981	0.0191278	0.00443944	0.00675206	0.0241015	0.00539602	0.0141034	0.00554346	0.00343574	0.00736268	0.0126877	0.00634744	0.0381853	0.00544056	0.0151382	0.0281675	0.0171745	0.0211352	0.0243058	0.0242467	0.0026123	0.00783532	0.0145922	0.0301651	0.0200902	0.0216024	0.00830926	0.00766204	0.0156768	0.000638135	0.0192835	1.19723
252	-26.74617	-199.3808	172.6347	0.0253508	0.0199524	0.00086436	0.00515913	0.0299631	0.010637	0.0115389	0.00530379	0.00975146	0.0300328	0.0286227	0.00820941	0.00902464	0.0231863	0.00631894	0.062266	0.00179793	0.0140949	0.00547383	0.0175882	0.0032142	0.0198491	0.0299086	0.00235427	0.0074522	0.000638858	0.0204099	0.00234738	0.00073451	0.0016291	0.0123871	0.000279438	0.0021629	0.0142955	0.0331281	0.0234838	0.0185988	0.000498735	0.0316646	0.00337962	0.00117904	0.00604816	0.0109544	0.00828131	0.00992237	0.00532676	0.0624721	0.0102323	0.0071257	0.015895	0.00763403	0.000432254	0.0261618	0.00687221	0.00323621	0.0206243	0.0391649	0.0191912	0.0159672	0.0108753	0.0200434	0.00301238	0.0610977	0.00211528	0.017503	0.00543382	0.0839614	0.0181179	0.0284871	0.00741001	0.00830114	0.00208247	0.0517102	0.00065973	0.0128726	0.000692969	0.0139881	0.01715	0.0041815	0.011833	0.014904	0.00991958	0.0239653	0.0224567	0.0341036	0.0949677	0.00671118	0.00295409	0.00498001	0.0371783	0.0454607	0.0155398	0.0151305	0.00597723	0.00489899	0.0209921	0.00370508	0.0160891	0.012663	0.000548574	0.00327429	0.0190163	0.00675084	0.00732329	0.0033661	0.00618886	0.0190606	0.0181657	0.00521018	0.00572757	0.0147154	0.00401037	0.0395177	0.00114107	0.00894549	0.00347402	0.0111625	0.00203992	0.0125974	0.0189817	0.00149416	0.00472961	0.000405457	0.0129533	0.00148979	0.000466164	0.00103393	0.00786158	0.000177348	0.00137271	0.00907277	0.0210251	0.0149042	0.0118039	0.000316527	0.0200962	0.00214491	0.000748288	0.00383852	0.0069523	0.00525581	0.00629733	0.00338068	0.0396485	0.006494	0.00452239	0.0100879	0.00484501	0.000274334	0.0166038	0.00436151	0.00205389	0.0130894	0.0248563	0.0121799	0.0101338	0.00690213	0.0127208	0.00191184	0.0387762	0.00134248	0.0111085	0.00344862	0.0532869	0.0114987	0.0180796	0.00470283	0.00526839	0.00132166	0.0328184	0.000418704	0.0081697	0.000439799	0.00887767	0.0108844	0.00265383	0.00750995	0.00945897	0.00629555	0.0152098	0.0142524	0.0216442	0.0602721	0.00425931	0.00187484	0.00316061	0.0235955	0.0288521	0.00986245	0.00960273	0.00379351	0.00310919	0.0133229	0.00235146	1.575648
288	-15.02384	-188.0152	172.9913	0.00116219	0.00808709	0.021218	0.011617	0.0399648	0.00475035	0.0164484	0.0275363	0.0145273	0.0409098	0.0119335	0.0181112	0.0135257	0.00162932	0.00692798	0.00493942	0.000565041	0.0184005	0.0146934	0.00110291	0.000124631	0.00427932	0.0321147	0.0002707	0.00313357	0.0113938	0.00906509	0.00661311	0.0124849	0.0173414	0.0093806	0.013511	0.0106996	0.00173938	0.0180906	0.00961199	0.00599052	0.0029844	0.0256922	0.00363946	0.0265632	0.00511637	0.0206079	0.008133	0.00182226	0.0108402	0.00325647	0.0268041	0.0164319	0.00238208	0.00942003	0.0167393	0.0236141	0.00434409	0.00640203	0.0323818	0.00626379	0.00638509	0.0242904	0.0249647	0.0302583	0.00264117	0.0350331	0.000585878	0.0126862	0.00226898	0.0122077	0.00311218	0.00321942	0.00119302	0.00810803	0.0199355	0.0612459	0.0005237	0.0104186	0.000387554	0.00300824	0.00052213	0.0213498	0.00799061	0.0340699	0.0151209	0.0081941	0.0216105	0.0290471	0.00371851	0.00722795	0.000461271	0.00723838	0.037787	0.0192305	0.0329427	0.0163206	0.0140471	0.0145898	0.0180811	0.0325375	0.00089269	0.00621178	0.0162978	0.00892313	0.0306974	0.0036488	0.0126342	0.0211509	0.0111586	0.0314233	0.00916627	0.0139114	0.0103892	0.0012515	0.00532146	0.00379402	0.000434014	0.0141336	0.0112862	0.000847155	9.57307e-05	0.00328699	0.0246676	0.000207927	0.00240693	0.00875171	0.006963	0.0050796	0.00958982	0.0133201	0.00720534	0.010378	0.00821846	0.00133604	0.0138956	0.00738307	0.00460138	0.00229235	0.0197344	0.00279551	0.0204035	0.00392994	0.0158291	0.00624705	0.0013997	0.0083265	0.00250133	0.0205885	0.0126215	0.0018297	0.00723563	0.0128577	0.0181383	0.00333674	0.00491747	0.0248728	0.00481129	0.00490446	0.0186577	0.0191757	0.0232417	0.00202871	0.0269093	0.000450019	0.00974438	0.00174283	0.00937689	0.0023905	0.00247287	0.000916375	0.00622786	0.0153127	0.0470437	0.00040226	0.00800263	0.000297684	0.00231066	0.000401053	0.016399	0.00613768	0.0261694	0.0116145	0.00629397	0.0165993	0.0223114	0.00285623	0.00555187	0.000354307	0.00555988	0.0290246	0.0147712	0.0253036	0.012536	0.0107897	0.0112066	0.0138883	0.0249924	1.301895
324	-20.77047	-193.5761	172.8056	0.00705544	0.0203081	0.0302119	0.00437077	0.0635117	0.0101408	0.0148295	0.0247259	0.00777031	0.0151265	0.00408816	0.0204082	0.000912622	0.0250359	0.00551051	0.00597171	0.00510043	0.00377913	0.0143047	0.0118721	0.00688725	0.0323653	0.0129068	0.00137931	0.0150985	0.0269784	0.00930804	0.0131774	0.00496954	0.0235429	0.010954	0.0262555	0.00813512	0.00488595	0.0159028	0.030805	0.0116498	0.0050655	0.00829177	0.00781839	0.0475146	0.0018803	0.019785	0.0123678	0.0146341	0.0313337	0.0103442	0.0219941	0.0160325	0.00118623	0.00387467	0.0308771	0.00208481	0.00812581	0.0124683	0.00638697	0.0158314	0.0150269	0.00495827	0.00833259	0.0186798	0.0119462	0.0359032	0.00226765	0.00468976	0.0071851	0.00381362	0.00458968	0.000908631	0.048482	0.0302513	0.011987	0.0461256	0.00429702	0.0524739	0.000419091	0.000191118	0.0156773	0.0194154	0.000404627	0.00553132	0.00292544	0.0236856	0.0192547	0.00613996	0.0134947	0.0263239	0.0037415	0.0145189	0.0329204	0.0375339	0.0128266	0.0155623	0.00801222	0.0131956	0.0137158	0.0223386	0.00487294	0.0140261	0.0208663	0.00301873	0.0438653	0.00700391	0.0102422	0.0170773	0.00536668	0.0104474	0.00282354	0.0140952	0.000630316	0.0172914	0.00380592	0.00412445	0.00352269	0.00261011	0.00987977	0.00819961	0.00475678	0.0223535	0.00891429	0.000952644	0.010428	0.018633	0.00642873	0.00910114	0.00343229	0.0162603	0.00756555	0.0181338	0.00561864	0.00337455	0.0109835	0.0212759	0.0080461	0.00349856	0.00572683	0.00539989	0.0328166	0.00129866	0.0136648	0.008542	0.0101073	0.0216411	0.00714435	0.0151906	0.0110731	0.000819287	0.0026761	0.0213257	0.0014399	0.00561221	0.00861141	0.00441126	0.0109342	0.0103786	0.0034245	0.00575502	0.0129015	0.0082508	0.0247971	0.00156619	0.00323905	0.00496249	0.00263393	0.00316993	0.000627559	0.0334848	0.0208935	0.00827899	0.0318574	0.0029678	0.0362419	0.000289451	0.000131998	0.0108278	0.0134095	0.000279462	0.00382029	0.0020205	0.0163588	0.0132985	0.00424066	0.00932034	0.018181	0.00258412	0.0100277	0.022737	0.0259234	0.00885888	0.0107483	0.00553375	0.0091137	0.009473	0.0154285	1.447881
