Iteration	Posterior	Likelihood	Prior	tree_length
0	-23.78691	-196.543	172.7561	1.485457
6	-6.526512	-180.072	173.5455	0.7471006
12	-16.87201	-190.2995	173.4275	0.898214
18	-8.033238	-181.2548	173.2216	1.104594
24	-6.48119	-180.0247	173.5435	0.7502097
30	-11.22178	-184.7526	173.5308	0.7686883
36	-12.6832	-186.1879	173.5047	0.804541
42	-1.854043	-175.2489	173.3949	0.9341194
48	-7.851484	-181.4105	173.5591	0.7260269
54	-4.228337	-177.4586	173.2303	1.096588
60	-16.98822	-190.291	173.3027	1.028153
66	-15.79668	-188.9101	173.1134	1.200136
72	-17.70423	-190.9702	173.266	1.063389
78	-18.66831	-191.9371	173.2688	1.060686
84	-23.20788	-195.9882	172.7803	1.467163
90	-15.41082	-188.5707	173.1599	1.159851
96	-16.16042	-189.3203	173.1599	1.159851
102	-20.31477	-193.8771	173.5623	0.7207406
108	-18.76624	-191.8248	173.0586	1.246554
114	-19.2877	-192.5113	173.2236	1.10277
120	-13.47577	-186.9129	173.4371	0.8872977
126	-20.17286	-193.74	173.5672	0.712722
132	-20.49951	-194.033	173.5335	0.7648029
138	-15.19264	-188.5955	173.4028	0.9255283
144	-10.89763	-183.938	173.0403	1.261706
150	-14.03686	-187.4665	173.4296	0.8958527
156	-18.0309	-191.1141	173.0832	1.225842
162	-21.63696	-194.5976	172.9606	1.326664
168	-18.02699	-190.9422	172.9152	1.362818
174	-26.07361	-199.6006	173.527	0.7740947
180	-34.05398	-207.1404	173.0865	1.223109
186	-17.26157	-190.348	173.0865	1.223109
192	-8.671465	-181.7579	173.0865	1.223109
198	-14.04696	-187.6265	173.5795	0.6912168
204	-7.719588	-180.9657	173.2462	1.081938
210	-4.446433	-178.0344	173.588	0.6754676
216	-4.751707	-178.3058	173.5541	0.7338402
222	1.205047	-172.3491	173.5541	0.7338402
228	0.126365	-173.1354	173.2618	1.067309
234	-2.748341	-176.2452	173.4969	0.8148093
240	-1.110155	-174.6191	173.5089	0.798954
246	-4.868111	-178.5038	173.6357	0.5360431
252	-7.623336	-181.0667	173.4433	0.8801405
258	-4.721749	-178.3115	173.5898	0.6719738
264	-5.477662	-179.0967	173.619	0.6043184
270	-2.418059	-175.7666	173.3485	0.9826092
276	4.695558	-168.9089	173.6045	0.6412119
282	-7.672258	-180.9763	173.3041	1.026841
288	-11.84648	-185.2668	173.4204	0.9062226
294	-3.723223	-176.8838	173.1606	1.159247
300	2.878623	-170.7045	173.5831	0.6846314
306	-4.256319	-177.8395	173.5831	0.6846314
312	-9.360786	-182.9186	173.5578	0.7280656
318	-21.66357	-194.81	173.1464	1.171631
324	-16.27555	-189.7638	173.4883	0.8257858
330	-20.49099	-193.7146	173.2236	1.102762
336	-16.64598	-190.1049	173.4589	0.8618911
342	-9.587723	-182.5817	172.9939	1.299756
348	-8.694058	-182.1923	173.4982	0.813046
354	-14.17341	-187.6072	173.4338	0.8910968
360	-12.03407	-185.2846	173.2506	1.077826
366	-12.57685	-185.6184	173.0416	1.260696
372	-13.23687	-186.7369	173.5001	0.810646
378	-14.43985	-188.056	173.6161	0.6123411
384	-23.32176	-196.5961	173.2743	1.055505
390	-20.61012	-193.8844	173.2743	1.055505
396	-12.67582	-185.9426	173.2668	1.062598
402	-29.55734	-202.655	173.0976	1.213652
408	-33.91044	-206.8761	172.9657	1.32259
414	-34.30569	-206.9866	172.6809	1.541598
420	-19.23146	-192.7037	173.4723	0.845728
426	-25.78991	-198.7685	172.9786	1.312227
432	-28.70797	-202.1496	173.4416	0.8821106
438	-25.87376	-198.444	172.5703	1.62248
444	-27.81777	-201.2447	173.4269	0.8988896
450	-19.58415	-193.1018	173.5177	0.7870867
456	-22.27087	-195.5373	173.2664	1.062966
462	-25.39301	-198.5725	173.1795	1.142475
468	-26.89723	-200.0861	173.1889	1.134111
474	-27.2027	-200.5644	173.3617	0.9691457
480	-24.99512	-197.6701	172.675	1.54597
486	-22.13485	-195.4265	173.2916	1.038905
492	-32.60126	-205.4611	172.8599	1.406118
498	-24.73734	-198.2992	173.5619	0.7214368
504	-21.08343	-194.3131	173.2297	1.097182
510	-30.47618	-203.8467	173.3705	0.9599465
516	-29.60786	-202.8266	173.2188	1.107133
522	-27.09774	-199.741	172.6432	1.569347
