Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
0	-268.9874	-312.2422	43.25481	0.4054815	9.930168	0.1309816	0.883035	0.116965	0.933542
6	-268.912	-312.6053	43.69329	0.4429176	7.671923	0.1716762	0.887691	0.112309	0.613256
12	-276.9566	-319.5601	42.60358	1.953367	3.87762	0.1557044	0.804709	0.195291	0.1266013
18	-277.786	-319.0366	41.25059	2.37591	4.782216	0.2324825	0.85036	0.14964	0.07595067
24	-277.3393	-318.426	41.08668	2.37591	4.685262	0.2324825	0.746339	0.253661	0.06078905
30	-276.9583	-318.7034	41.74517	2.37591	3.840149	0.1681679	0.757184	0.242816	0.07619744
36	-277.4543	-319.7291	42.27473	2.410921	1.634649	0.2301841	0.58368	0.41632	0.05403913
42	-282.0986	-326.3557	44.25715	0.3360038	5.007661	0.1375322	0.740916	0.259084	0.9976102
48	-275.4169	-320.1941	44.77721	0.3137139	3.906696	0.111964	0.741538	0.258462	0.9366927
54	-274.7943	-316.3622	41.56788	2.414042	2.214331	0.2750324	0.713828	0.286172	0.04168784
60	-277.4491	-318.3719	40.92279	2.414042	4.263123	0.2263353	0.805851	0.194149	0.04483751
66	-280.656	-322.881	42.22496	1.783547	5.175413	0.1277929	0.794815	0.205185	0.09174341
72	-271.9483	-317.2902	45.34186	0.02138217	2.836888	0.1221887	0.655136	0.344864	1.04132
78	-271.8003	-317.4177	45.61746	0.04742017	1.442913	0.1221887	0.717206	0.282794	1.455502
84	-263.666	-309.8004	46.1344	0.06886514	0.9699325	0.1930651	0.540697	0.459303	1.156805
90	-276.8071	-320.2072	43.4001	1.179476	7.028203	0.09405269	0.737727	0.262273	0.4716007
96	-280.1762	-325.7803	45.60406	0.3139755	2.148429	0.09405269	0.707268	0.292732	0.9419889
102	-271.0012	-316.3067	45.30553	0.2420583	2.047201	0.2362936	0.658025	0.341975	0.880777
108	-269.5692	-316.0082	46.43899	0.1630848	1.089351	0.120104	0.588382	0.411618	0.8979729
114	-278.6536	-324.422	45.76832	0.01585401	0.8461224	0.2155805	0.430576	0.569424	1.544098
120	-269.4162	-315.4537	46.0376	0.476238	0.8461224	0.196009	0.460849	0.539151	0.9814561
126	-268.9958	-315.6858	46.69006	0.2648911	0.8461224	0.1425342	0.480712	0.519288	0.6162904
132	-266.9652	-312.0947	45.12947	0.4062801	0.8928918	0.5313342	0.363013	0.636987	1.178304
138	-277.461	-323.4976	46.03659	0.1239981	0.8532065	0.4488682	0.506531	0.493469	0.688167
144	-273.3484	-319.7683	46.41984	0.2584193	0.4839138	0.2432446	0.306781	0.693219	1.167224
150	-266.1272	-310.692	44.56487	0.3117623	2.340396	0.2594415	0.660232	0.339768	1.300752
156	-266.8298	-312.1051	45.27532	0.2610785	1.886464	0.2594415	0.661973	0.338027	0.9320104
162	-273.9773	-318.7337	44.7564	0.1720144	1.886464	0.378232	0.62106	0.37894	1.248309
168	-271.8268	-316.2416	44.41489	0.4985792	1.37178	0.4401688	0.512305	0.487695	1.450108
174	-274.9343	-320.7455	45.81116	0.1263201	0.9151152	0.4450255	0.395454	0.604546	0.9075982
180	-263.7906	-308.9812	45.19063	0.2024733	1.371362	0.4450255	0.551846	0.448154	1.039765
186	-281.5192	-325.1933	43.67405	0.2325424	2.006408	0.7344433	0.551846	0.448154	1.554175
192	-268.9404	-313.8696	44.92922	0.315567	1.262284	0.6097323	0.486856	0.513144	1.013767
198	-269.6216	-314.6363	45.0147	0.540212	1.752876	0.2705227	0.665536	0.334464	0.9720092
204	-264.8837	-310.3835	45.49978	0.2721262	1.752876	0.2298785	0.562954	0.437046	0.8489926
210	-263.9939	-309.4051	45.41128	0.5683307	2.559634	0.08494667	0.620682	0.379318	0.5977336
216	-267.5689	-311.5516	43.98269	1.077387	5.064243	0.09287203	0.837945	0.162055	0.514052
222	-274.0418	-318.482	44.4402	0.593687	2.345916	0.3415304	0.739156	0.260844	0.9867351
228	-266.9058	-311.597	44.69115	0.3602615	2.487946	0.2274572	0.656466	0.343534	1.162305
234	-266.0841	-310.9864	44.90231	0.530795	2.487946	0.2050956	0.629507	0.370493	0.8424523
240	-267.2896	-312.2957	45.00615	0.4475773	2.58583	0.2050956	0.634065	0.365935	0.7507055
246	-269.9548	-314.8224	44.86763	0.4366244	2.58583	0.2832377	0.795522	0.204478	0.6475258
252	-274.7545	-318.1304	43.37583	1.167534	6.617254	0.11554	0.813286	0.186714	0.3751159
258	-276.7522	-320.1789	43.42672	0.7597283	5.586664	0.334334	0.816321	0.183679	0.5734839
264	-272.0887	-316.3013	44.21264	0.8952768	4.461074	0.1115115	0.823675	0.176325	0.6759087
270	-271.8297	-316.8512	45.0215	0.7003706	2.675266	0.1184863	0.754437	0.245563	0.7248954
276	-270.9442	-316.4026	45.45842	0.1266769	2.739071	0.1317133	0.754437	0.245563	0.8065175
282	-270.0438	-315.9242	45.88038	0.1278767	2.045555	0.07949974	0.708654	0.291346	0.9766086
288	-273.1894	-318.9746	45.78523	0.2010806	2.145862	0.09275612	0.708654	0.291346	0.8738441
294	-272.3975	-318.865	46.46748	0.1333068	0.6412958	0.2150883	0.405884	0.594116	1.090667
300	-276.0425	-322.5559	46.51343	0.1379418	0.7982848	0.1528011	0.298521	0.701479	1.03853
306	-283.9155	-329.3636	45.44815	0.2136048	0.7994787	0.2534537	0.286972	0.713028	1.597877
312	-274.2033	-319.5507	45.34741	0.7229163	0.9159152	0.2958661	0.607667	0.392333	1.080165
318	-269.9518	-315.5405	45.58864	0.09076203	1.236957	0.2958661	0.576894	0.423106	1.157694
324	-266.901	-311.7937	44.89265	0.1726371	2.461697	0.3329282	0.701349	0.298651	0.9110564
330	-263.3927	-307.991	44.59827	0.2581166	3.066095	0.3420364	0.712041	0.287959	0.8083767
336	-264.5302	-308.8528	44.32256	0.3468606	3.015463	0.3420364	0.849212	0.150788	1.037058
342	-264.7673	-309.5714	44.8041	0.4780071	3.298057	0.1178782	0.668921	0.331079	0.9459188
348	-263.7673	-309.3693	45.602	0.2092831	1.786352	0.1190705	0.765409	0.234591	1.152134
354	-273.2813	-318.8264	45.54511	0.550805	1.933074	0.07181932	0.681653	0.318347	0.9914658
360	-264.94	-310.469	45.52902	0.3511091	1.933074	0.1219207	0.603299	0.396701	0.9914658
366	-265.534	-310.7426	45.2086	0.4632424	1.933074	0.2176082	0.791867	0.208133	0.8747252
372	-267.9841	-313.9048	45.92073	0.5180479	1.039921	0.2176082	0.608026	0.391974	0.7541151
378	-271.5662	-316.284	44.71777	0.9277105	2.315796	0.2108377	0.608026	0.391974	0.6108315
384	-273.9217	-321.3375	47.41588	0.5358787	0.3623741	0.07801352	0.257658	0.742342	0.4233752
390	-271.8861	-317.103	45.2169	0.7107173	1.884667	0.1959951	0.795135	0.204865	0.6258325
396	-272.9448	-316.4913	43.54653	1.063221	5.856945	0.1464197	0.81886	0.18114	0.3823131
