Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
0	-268.9874	-312.2422	43.25481	0.0059754	0.00491789	0.0641315	0.0024875	0.0516926	0.0547968	0.00698304	0.00649058	0.0242653	0.00926179	0.000851948	0.013551	0.0275807	0.0641931	0.0130412	0.0365823	0.0135175	0.0352903	0.0245411	0.000902265	0.0021866	0.0289854	0.0135997	0.044325	0.0111418	0.0454068	0.00355752	0.108964	0.0510007	0.0317831	0.0036931	0.0149751	0.00974003	0.00809817	0.0307747	0.00215185	0.0621042	0.2316246	1.768375	0.1829798	1.81702	0.570765	0.760718	0.918214	1.08907	1.31455	1.75204	0.4054815	9.930168	0.1309816	0.00640079	0.00526799	0.0686969	0.00266458	0.0553725	0.0586978	0.00748016	0.00695264	0.0259927	0.00992112	0.000912597	0.0145157	0.0295441	0.068763	0.0139696	0.0391866	0.0144798	0.0378025	0.0262882	0.000966496	0.00234226	0.0310489	0.0145679	0.0474804	0.0119349	0.0486392	0.00381078	0.116722	0.0546314	0.0340457	0.00395601	0.0160412	0.0104334	0.00867467	0.0329655	0.00230504	0.0665254	0.883035	0.116965	0.8830351	0.933542
36	-277.4543	-319.7291	42.27473	8.27404e-05	0.00296457	0.000590637	0.000301539	0.00332983	0.0011821	1.42117e-05	3.0843e-05	0.0010892	0.000222677	0.000473236	0.0015164	0.000539021	0.0010133	0.00184771	0.000953425	0.00101085	0.000812188	0.00157325	0.00128462	0.00192757	0.000554839	0.00219002	0.00368352	0.000861643	0.000515574	0.000548386	0.0031157	0.00239114	0.00330889	0.00427229	0.00245736	1.61966e-05	0.00189445	0.00229841	0.00188446	0.00128634	0.3742271	1.625773	0.7591144	1.240886	0.0356399	0.196687	0.602103	1.66084	5.08422	28.0585	2.410921	1.634649	0.2301841	0.00153112	0.0548597	0.0109298	0.00558002	0.0616189	0.021875	0.000262988	0.000570754	0.0201558	0.00412066	0.00875729	0.0280612	0.00997465	0.0187512	0.0341921	0.0176432	0.018706	0.0150296	0.0291132	0.023772	0.0356698	0.0102674	0.0405265	0.068164	0.0159448	0.00954075	0.0101479	0.0576563	0.0442483	0.0612313	0.0790592	0.0454737	0.000299721	0.0350569	0.0425323	0.0348722	0.0238038	0.58368	0.41632	0.5836801	0.05403913
72	-271.9483	-317.2902	45.34186	0.0323051	0.0465775	0.0336409	0.00989384	0.1029	0.00219257	0.00222297	0.00547088	0.0671898	0.00589109	0.0249361	0.0380991	0.00337368	0.0591751	0.0237952	0.0197058	0.00932501	0.0298067	0.0417778	0.00866854	0.0330601	0.0137858	0.0542988	0.0213068	0.0272354	0.0309053	0.00104892	0.0114563	0.0757895	0.002807	0.0235146	0.0882699	0.0133924	0.0117633	0.0328773	0.00677492	0.0260859	0.2177686	1.782231	0.5212558	1.478744	0.970862	0.985681	0.995511	1.00451	1.01453	1.03001	0.02138217	2.836888	0.1221887	0.0310232	0.0447293	0.032306	0.00950125	0.0988169	0.00210557	0.00213476	0.00525379	0.0645237	0.00565733	0.0239466	0.0365873	0.00323981	0.056827	0.022851	0.0189239	0.00895499	0.028624	0.04012	0.00832457	0.0317483	0.0132388	0.0521442	0.0204614	0.0261546	0.029679	0.0010073	0.0110017	0.0727822	0.00269562	0.0225816	0.0847673	0.012861	0.0112965	0.0315727	0.00650609	0.0250508	0.655136	0.344864	0.6551365	1.04132
108	-269.5692	-316.0082	46.43899	0.0196406	0.00672338	0.00396048	0.0252312	0.0612275	0.0159136	0.000819135	0.00569464	0.00484028	0.00979137	0.0320539	0.0350045	0.032891	0.0429947	0.00511336	0.0705916	0.00156144	0.0199424	0.0726253	0.000961331	0.0344354	0.0156379	0.0335254	0.0258895	0.00322727	0.0814452	0.0157549	0.0363135	0.0370471	0.001975	0.00887773	0.0562158	0.0124128	0.00558188	0.0227806	0.00210496	0.0371664	0.2144516	1.785548	0.957235	1.042765	0.798081	0.895835	0.966265	1.03491	1.11628	1.25301	0.1630848	1.089351	0.120104	0.0218721	0.00748728	0.00441047	0.028098	0.0681841	0.0177217	0.000912205	0.00634166	0.00539023	0.0109039	0.0356958	0.0389817	0.0366281	0.0478798	0.00569434	0.0786121	0.00173884	0.0222082	0.0808769	0.00107056	0.038348	0.0174147	0.0373345	0.0288311	0.00359395	0.0906989	0.0175449	0.0404394	0.0412564	0.0021994	0.00988642	0.062603	0.0138231	0.00621609	0.0253689	0.00234413	0.0413892	0.588382	0.411618	0.5883824	0.8979729
144	-273.3484	-319.7683	46.41984	0.0128846	0.0154904	0.0764332	0.0136417	0.0634873	0.0429513	0.029561	0.040017	0.00261753	0.00106516	0.0311314	0.0477001	0.00747199	0.026017	0.025679	0.0602486	0.00173026	0.0647415	0.044057	0.00296284	0.0232684	0.0357856	0.0225291	0.0722784	0.0256053	0.0319017	0.0131508	0.0122059	0.051876	0.00530343	0.0228735	0.111013	0.0164616	0.0189828	0.0341331	0.00110988	0.0588561	0.3913061	1.608694	1.347787	0.6522128	0.699498	0.840044	0.947073	1.05588	1.19041	1.4296	0.2584193	0.4839138	0.2432446	0.0110387	0.0132712	0.0654829	0.0116873	0.0543917	0.0367978	0.0253259	0.0342839	0.00224253	0.00091256	0.0266713	0.0408663	0.00640151	0.0222897	0.022	0.051617	0.00148237	0.0554662	0.0377451	0.00253836	0.0199349	0.0306587	0.0193014	0.0619234	0.0219369	0.0273312	0.0112667	0.0104572	0.0444439	0.00454363	0.0195965	0.095109	0.0141032	0.0162632	0.0292429	0.000950873	0.050424	0.306781	0.693219	0.3067805	1.167224
180	-263.7906	-308.9812	45.19063	0.0144435	0.00569899	0.0279021	0.008289	0.0793746	0.0175686	0.00806171	0.0160509	0.026439	0.0088069	0.019019	0.0179323	0.0314568	0.0473982	0.032291	0.0768715	0.0016815	0.0311165	0.0378717	0.0104189	0.0256	0.0246216	0.0397594	0.0271014	0.00633869	0.0392815	0.00232262	0.0898101	0.0470161	0.0219539	0.0205837	0.0146165	0.0501718	0.0412955	0.0161849	0.0140024	0.0404115	0.6159414	1.384059	0.8433973	1.156603	0.755769	0.872349	0.958289	1.04353	1.14633	1.32316	0.2024733	1.371362	0.4450255	0.0138912	0.00548104	0.0268351	0.007972	0.076339	0.0168967	0.0077534	0.015437	0.0254279	0.00847009	0.0182916	0.0172465	0.0302538	0.0455855	0.0310561	0.0739316	0.00161719	0.0299265	0.0364233	0.0100204	0.024621	0.02368	0.0382388	0.026065	0.00609627	0.0377793	0.0022338	0.0863755	0.045218	0.0211143	0.0197965	0.0140575	0.048253	0.0397162	0.0155659	0.0134669	0.0388661	0.551846	0.448154	0.5518459	1.039765
216	-267.5689	-311.5516	43.98269	0.00357676	0.00363947	0.0400006	0.00376457	0.0361086	0.00445118	0.000626391	0.00217377	0.0117757	0.000133516	0.0351334	0.014406	0.00999418	0.0196001	0.00644088	0.0370834	0.000714102	0.00699255	0.0253635	0.0179376	0.000582914	0.0120408	0.00692615	0.0146103	9.73841e-05	0.0300901	0.0112071	0.0455502	0.0104865	0.0137895	0.00686979	0.00362727	0.0368493	0.00351803	0.0111407	0.00771645	0.0190332	0.1699596	1.83004	0.3298021	1.670198	0.225368	0.483508	0.79715	1.25447	2.06822	4.43718	1.077387	5.064243	0.09287203	0.00695798	0.00707996	0.0778144	0.00732333	0.0702432	0.00865902	0.00121854	0.0042287	0.0229076	0.000259732	0.0683461	0.0280243	0.019442	0.0381286	0.0125296	0.0721394	0.00138916	0.0136028	0.0493403	0.0348945	0.00113396	0.0234232	0.0134736	0.0284219	0.000189444	0.0585352	0.0218016	0.0886101	0.0203996	0.0268252	0.013364	0.00705622	0.071684	0.00684372	0.0216722	0.015011	0.0370258	0.837945	0.162055	0.8379447	0.514052
252	-274.7545	-318.1304	43.37583	0.00179109	0.0157518	0.0187399	0.00972647	0.0249292	0.00232763	0.00567911	0.0195375	0.0126867	0.000998753	0.00483817	0.0188323	0.00551948	0.0130694	0.0153988	0.0150677	0.00271285	0.00664953	0.00692036	0.00747806	0.0092024	0.00174894	0.00634288	0.0195051	0.00229547	0.0197988	0.00423579	0.0308419	0.00756279	0.00809371	0.000116442	0.00116307	0.00925615	0.00725475	0.0181019	0.00881671	0.0121242	0.2071464	1.792854	0.2625618	1.737438	0.198952	0.454985	0.782171	1.27849	2.19787	5.02635	1.167534	6.617254	0.11554	0.00477475	0.0419917	0.0499576	0.0259292	0.0664573	0.0062051	0.0151396	0.0520839	0.0338208	0.00266252	0.0128978	0.0502041	0.0147141	0.034841	0.0410508	0.0401682	0.00723204	0.0177266	0.0184486	0.0199353	0.0245322	0.0046624	0.0169091	0.0519976	0.00611937	0.0527804	0.011292	0.0822198	0.0201612	0.0215766	0.000310415	0.00310057	0.0246755	0.01934	0.0482568	0.023504	0.0323211	0.813286	0.186714	0.8132858	0.3751159
288	-273.1894	-318.9746	45.78523	0.00704415	0.0189187	0.0335012	0.0284704	0.0802971	0.033573	0.00496279	0.00825124	0.00863749	0.0175226	0.00496375	0.0266516	0.0105137	0.0427755	0.0254603	0.0641718	0.0245835	0.0171637	0.0383736	0.0322443	0.00914569	0.0282042	0.00610619	0.0113007	0.0297174	0.0200929	0.00841647	0.024677	0.0441943	0.000263369	0.0168144	0.0487606	0.0189973	0.0282741	0.00354785	0.0158433	0.0314081	0.1697654	1.830235	0.6357558	1.364244	0.757226	0.873168	0.95857	1.04322	1.14525	1.32061	0.2010806	2.145862	0.09275612	0.0080611	0.02165	0.0383377	0.0325806	0.0918895	0.0384199	0.00567927	0.00944246	0.00988447	0.0200523	0.00568036	0.0304993	0.0120316	0.0489509	0.029136	0.0734362	0.0281326	0.0196416	0.0439135	0.0368993	0.010466	0.032276	0.00698774	0.0129321	0.0340076	0.0229937	0.00963154	0.0282396	0.0505745	0.000301392	0.0192419	0.0558001	0.0217399	0.032356	0.00406005	0.0181306	0.0359424	0.708654	0.291346	0.7086536	0.8738441
324	-266.901	-311.7937	44.89265	0.00132189	0.00399734	0.043529	0.00643973	0.0590418	0.00393098	0.00406147	0.0225282	0.0074802	0.000480242	0.00624409	0.0251524	0.0624367	0.0280805	0.00531321	0.0237765	0.00678274	0.0376637	0.0335511	0.0300444	0.0231233	0.0168441	0.0491686	0.0378683	0.0106261	0.00859693	0.00297243	0.101371	0.0363077	0.0475976	0.000250066	0.0546583	0.0276321	0.0183407	0.0204778	0.035037	0.00832842	0.4995441	1.500456	0.5777513	1.422249	0.787607	0.890082	0.964324	1.037	1.12349	1.26967	0.1726371	2.461697	0.3329282	0.00145094	0.00438759	0.0477786	0.00706843	0.0648059	0.00431475	0.00445798	0.0247275	0.00821047	0.000527127	0.00685368	0.027608	0.0685322	0.0308219	0.00583192	0.0260977	0.00744492	0.0413407	0.0368266	0.0329776	0.0253808	0.0184885	0.0539687	0.0415653	0.0116635	0.00943623	0.00326262	0.111267	0.0398524	0.0522444	0.000274479	0.0599944	0.0303297	0.0201313	0.0224769	0.0384575	0.0091415	0.701349	0.298651	0.7013486	0.9110564
