Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
0	-1403.286	-1487.86	84.57362	0.5188821	0.4945162	0.504988	0.495012	1.520353
6	-1403.5	-1487.754	84.25408	0.5458339	0.6411556	0.504988	0.495012	1.572213
12	-1406.39	-1490.696	84.30603	0.5945129	0.5509466	0.650136	0.349864	1.595073
18	-1403.47	-1487.593	84.12294	0.6312723	0.6516205	0.44203	0.55797	1.595073
24	-1411.707	-1495.815	84.10885	0.5340355	0.693758	0.453986	0.546014	1.634824
30	-1408.228	-1492.618	84.38993	0.6304693	0.4785705	0.420156	0.579844	1.593262
36	-1411.31	-1495.583	84.27301	0.5476177	0.4262133	0.455073	0.544927	1.800789
42	-1410.741	-1495.595	84.85374	1.093351	0.5004722	0.555162	0.444838	0.7010843
48	-1415.044	-1499.757	84.71347	1.005243	0.4771942	0.501378	0.498622	1.024477
54	-1412.487	-1496.938	84.45038	0.5397324	0.6528151	0.484109	0.515891	1.41718
60	-1411.889	-1496.033	84.14307	0.7095883	0.6025803	0.484109	0.515891	1.573629
66	-1410.722	-1495.444	84.72185	0.6087861	0.4266634	0.571452	0.428548	1.430141
72	-1410.51	-1495.295	84.78532	0.5726929	0.4119979	0.479822	0.520178	1.430141
78	-1409.084	-1493.467	84.38309	0.5905756	0.6630353	0.46024	0.53976	1.419135
84	-1408.706	-1493.079	84.37359	0.643429	0.7602141	0.470561	0.529439	1.285471
90	-1422.29	-1506.146	83.85685	0.3458293	0.738377	0.443848	0.556152	1.902067
96	-1425.804	-1510.216	84.41297	0.3667687	0.5570734	0.603873	0.396127	1.675299
102	-1417.925	-1501.502	83.57749	0.3711444	0.7007334	0.604439	0.395561	2.103407
108	-1421.744	-1506.24	84.49555	0.1604538	0.4906455	0.427746	0.572254	1.836221
114	-1412.818	-1496.769	83.95145	0.3273428	0.6377116	0.620392	0.379608	1.940364
120	-1418.273	-1502.755	84.48222	0.5280789	0.5610459	0.523651	0.476349	1.502576
126	-1420.913	-1505.295	84.38155	0.7205478	0.7106616	0.472053	0.527947	1.26667
132	-1416.368	-1501.275	84.90631	0.7920035	0.440906	0.568423	0.431577	1.103807
138	-1407.215	-1491.327	84.11263	0.8407737	0.6748351	0.510114	0.489886	1.422533
144	-1415.277	-1499.437	84.15991	0.2943927	0.4958121	0.458105	0.541895	1.967209
150	-1411.921	-1495.93	84.00864	0.1739873	0.7375472	0.458105	0.541895	1.916356
156	-1417.352	-1501.301	83.94898	0.204292	0.7944935	0.537811	0.462189	1.889194
162	-1414.68	-1499.422	84.74168	0.9182326	0.5720646	0.542119	0.457881	0.929028
168	-1411.42	-1495.93	84.50998	0.7840888	0.6112789	0.510601	0.489399	1.21896
174	-1411.566	-1495.573	84.00719	0.1802321	0.5297681	0.537811	0.462189	2.107509
180	-1409.323	-1493.822	84.49827	0.2058322	0.5635096	0.521219	0.478781	1.721935
186	-1415.621	-1499.793	84.17135	0.3452014	0.455122	0.461201	0.538799	1.972201
