Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	partition_rate[1]	partition_rate[2]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
0	-1403.286	-1487.86	84.57362	0.0585256	0.0184191	0.0202009	0.00309061	0.0441144	0.0168989	0.000773891	0.00206579	0.0113521	0.01984	0.00248038	0.0212161	0.00135579	0.0199591	0.0149529	0.065903	0.00230484	0.0238515	0.0206068	0.0275662	0.0420629	0.0753004	0.0362726	0.0206443	0.00495412	0.0103779	0.00904414	0.023036	0.0154069	0.0503411	0.00482242	0.00230004	0.00715993	0.00369271	0.00634033	0.00224544	0.0116977	0.0362653	0.0162327	0.0216663	0.0256987	0.0248449	0.00236493	0.0145759	0.0142253	0.0374758	0.146634	0.0668188	0.00244112	0.154427	0.015565	0.00837144	0.00600824	0.0370819	0.0925258	0.0659722	0.00998004	0.8272179	1.115188	0.487917	0.704702	0.896562	1.11537	1.41904	2.04953	0.5188821	0.4945162	0.0384948	0.012115	0.013287	0.00203282	0.0290159	0.0111151	0.00050902	0.00135876	0.00746678	0.0130496	0.00163145	0.0139547	0.000891763	0.0131279	0.00983518	0.0433472	0.00151599	0.0156881	0.0135539	0.0181314	0.0276665	0.0495283	0.023858	0.0135786	0.00325853	0.00682599	0.00594871	0.0151518	0.0101338	0.0331115	0.00317191	0.00151283	0.00470939	0.00242885	0.0041703	0.00147692	0.00769407	0.0238532	0.0106769	0.0142508	0.0169031	0.0163415	0.00155551	0.00958716	0.00935658	0.0246494	0.0964476	0.0439495	0.00160563	0.101573	0.0102378	0.00550625	0.00395187	0.0243904	0.0608581	0.0433927	0.00656429	0.504988	0.495012	0.5049878	1.520353
36	-1411.31	-1495.583	84.27301	0.0199862	0.0198316	0.0173755	0.00446601	0.059659	0.0188078	0.00252607	0.00143526	0.0274519	0.0100716	0.0112505	0.017044	0.00225294	0.0488114	0.00717227	0.0485455	0.0142403	0.00965941	0.0395626	0.0157632	0.0284695	0.0383079	0.018835	0.0131228	0.00656185	0.0119919	0.0102454	0.0211143	0.0333975	0.0412055	0.0054066	0.00821766	0.0107491	0.000476035	0.0198034	0.00681538	0.00398729	0.0688063	0.0157778	0.0412295	0.00027901	0.0363585	0.00599633	0.0210189	0.095975	0.0855849	0.217769	0.0701069	0.00457448	0.198286	0.00288201	0.0261398	0.00340182	0.0388688	0.11823	0.071828	0.0030556	0.7471065	1.168596	0.468906	0.691175	0.891157	1.12214	1.44681	2.13262	0.5476177	0.4262133	0.0110986	0.0110127	0.00964881	0.00248003	0.0331294	0.0104442	0.00140276	0.000797018	0.0152444	0.00559286	0.00624753	0.00946474	0.00125109	0.0271056	0.00398285	0.0269579	0.00790782	0.00536399	0.0219696	0.00875348	0.0158095	0.0212728	0.0104593	0.00728723	0.00364388	0.00665926	0.00568942	0.011725	0.018546	0.0228819	0.00300235	0.00456337	0.00596912	0.000264348	0.0109971	0.00378466	0.00221419	0.038209	0.00876161	0.0228953	0.000154938	0.0201903	0.00332984	0.011672	0.0532961	0.0475263	0.12093	0.0389312	0.00254026	0.110111	0.00160042	0.0145158	0.00188907	0.0215843	0.0656546	0.039887	0.00169681	0.455073	0.544927	0.4550735	1.800789
72	-1410.51	-1495.295	84.78532	0.0470606	0.0133005	0.00667704	0.00965895	0.0615514	0.0224175	0.0184147	0.00252652	0.0129354	0.00653439	0.00103979	0.0435399	0.014681	0.0345858	0.00922625	0.0298155	0.00021665	0.016064	0.0192269	0.0127226	0.0435848	0.0587816	0.0436154	0.016019	0.00469674	0.0162176	0.00587742	0.0131984	0.0172961	0.0449261	0.0017719	0.052561	0.0279315	0.00397589	0.0463945	0.00254624	0.00327057	0.0150582	0.0236485	0.0386206	0.0211197	0.0229193	0.118097	0.00722867	0.148084	0.112867	0.0104834	0.0129386	0.00525514	2.41488e-05	0.00589641	0.0487681	0.00196374	0.000381781	0.0340145	0.000956503	0.0169563	0.7294591	1.180361	0.452924	0.679583	0.886467	1.12807	1.47149	2.20788	0.5726929	0.4119979	0.0329063	0.00930011	0.0046688	0.00675384	0.0430387	0.015675	0.0128762	0.00176663	0.00904486	0.00456905	0.000727054	0.0304445	0.0102654	0.0241835	0.00645129	0.020848	0.000151489	0.0112324	0.013444	0.00889602	0.0304759	0.0411019	0.0304973	0.011201	0.00328411	0.0113398	0.00410968	0.00922871	0.012094	0.0314138	0.00123897	0.0367523	0.0195306	0.00278006	0.0324405	0.00178041	0.00228689	0.0105292	0.0165358	0.0270047	0.0147676	0.0160259	0.0825769	0.00505452	0.103545	0.0789203	0.00733033	0.00904709	0.00367456	1.68856e-05	0.00412296	0.0341002	0.00137311	0.000266953	0.023784	0.000668817	0.0118564	0.479822	0.520178	0.4798224	1.430141
108	-1421.744	-1506.24	84.49555	0.0356742	0.015186	0.0174595	0.0241797	0.0566114	0.0222337	0.00484777	0.0247567	0.0100103	0.0239652	0.00623249	0.0268333	0.0310793	0.020737	0.0119428	0.0682763	0.00174006	0.0332224	0.0428412	0.0165492	0.0284351	0.070144	0.0450495	0.00890703	0.0140232	0.0159157	0.0239791	0.00962786	0.0229811	0.0533953	0.00248759	0.00196598	0.00272698	0.0255044	0.00382186	0.00515966	0.00230338	0.0178316	0.0405444	0.0486687	0.0143113	0.0475097	0.0107761	0.0454527	0.0421313	0.0599082	0.181007	0.0539221	0.00150725	0.131656	0.00449004	0.036714	0.00977214	0.0765763	0.115165	0.0533025	0.0141685	0.8228742	1.118084	0.80099	0.897426	0.9668	1.03434	1.1143	1.24845	0.1604538	0.4906455	0.0194281	0.00827023	0.00950839	0.0131682	0.0308304	0.0121084	0.00264008	0.0134824	0.00545157	0.0130514	0.00339419	0.0146133	0.0169257	0.0112933	0.006504	0.0371831	0.000947632	0.0180928	0.0233311	0.00901266	0.0154856	0.0382002	0.0245338	0.00485074	0.00763701	0.00866761	0.013059	0.0052433	0.0125155	0.0290789	0.00135473	0.00107067	0.00148511	0.0138896	0.00208137	0.00280993	0.00125441	0.00971101	0.0220804	0.0265048	0.00779389	0.0258736	0.00586865	0.0247534	0.0229446	0.0326258	0.0985761	0.0293658	0.000820845	0.0716992	0.00244526	0.0199943	0.00532188	0.0417032	0.0627184	0.0290284	0.00771613	0.427746	0.572254	0.427746	1.836221
144	-1415.277	-1499.437	84.15991	0.0793679	0.0235102	0.0106703	0.0137579	0.0863706	0.0339938	0.0159168	0.00317448	0.0143148	0.0146894	0.00794076	0.042318	0.00490742	0.0375161	0.0137966	0.0436107	0.00021017	0.0355644	0.0162799	0.0106053	0.0447134	0.0476888	0.06749	0.024044	0.00319988	0.0180687	0.00997085	0.0432758	0.0144547	0.0577373	0.00796912	0.00411544	0.0198208	0.007434	0.00302819	0.0142077	0.00515459	0.0327971	0.0354753	0.0467591	0.0148963	0.0715862	0.013734	0.0722591	0.0485955	0.0550859	0.11014	0.0837664	0.000655042	0.146884	0.0147411	0.0178347	0.0178867	0.0881198	0.139024	0.043266	0.0128146	0.8286671	1.114222	0.665549	0.819907	0.939931	1.06391	1.21965	1.50252	0.2943927	0.4958121	0.0403454	0.011951	0.00542406	0.0069936	0.0439052	0.0172802	0.00809104	0.0016137	0.0072767	0.00746711	0.00403656	0.0215117	0.00249461	0.0190707	0.00701331	0.0221688	0.000106837	0.0180786	0.00827562	0.00539103	0.0227293	0.0242419	0.0343075	0.0122224	0.00162661	0.00918495	0.00506853	0.0219986	0.0073478	0.0293499	0.00405098	0.00209202	0.0100756	0.00377896	0.00153934	0.00722229	0.00262025	0.0166719	0.0180333	0.0237693	0.00757228	0.0363897	0.00698148	0.0367318	0.0247028	0.0280021	0.0559879	0.0425813	0.00033298	0.074666	0.00749339	0.00906598	0.00909242	0.0447943	0.0706707	0.0219936	0.00651408	0.458105	0.541895	0.4581053	1.967209
180	-1409.323	-1493.822	84.49827	0.0480201	0.0100393	0.0183647	7.70973e-05	0.0746356	0.028528	0.00525491	0.00106567	0.0268783	0.0114001	0.0103205	0.0374385	0.00416472	0.0305474	0.0101101	0.0465643	0.00450981	0.0230051	0.0342376	0.0216224	0.0668475	0.0521732	0.0287083	0.0363533	0.0176094	0.0130811	0.0167441	0.0193955	0.0228954	0.0385444	0.00358826	0.0058308	0.0110496	0.0160244	0.00364055	0.0129808	0.00108666	0.0320876	0.0274134	0.0551361	0.00781345	0.0305242	0.0224212	0.0441976	0.0449933	0.0464304	0.149306	0.0699423	0.00016565	0.151386	0.000101742	0.0373281	0.00791364	0.06834	0.0673591	0.0361083	0.00962945	0.9010332	1.065978	0.752266	0.870374	0.957612	1.04426	1.14893	1.32932	0.2058322	0.5635096	0.0278873	0.00583027	0.0106651	4.47736e-05	0.043344	0.0165674	0.00305175	0.000618877	0.0156094	0.00662055	0.00599357	0.0217421	0.00241863	0.0177402	0.00587134	0.0270419	0.00261904	0.01336	0.0198832	0.0125571	0.0388212	0.0302992	0.0166721	0.0211119	0.0102265	0.00759677	0.00972401	0.0112638	0.0132963	0.0223844	0.00208386	0.00338619	0.00641697	0.00930607	0.00211422	0.00753851	0.000631069	0.0186346	0.0159201	0.0320199	0.0045376	0.0177267	0.013021	0.0256674	0.0261295	0.0269641	0.0867083	0.0406184	9.62002e-05	0.087916	5.90859e-05	0.021678	0.00459579	0.0396879	0.0391183	0.0209696	0.00559223	0.521219	0.478781	0.5212189	1.721935
216	-1405.434	-1489.923	84.48902	0.0200202	0.0232478	0.00936765	0.000458098	0.0405209	0.011592	0.000833994	0.000594516	0.00943306	0.00377415	0.0022588	0.0349224	0.00885465	0.0280241	0.0110979	0.0463075	0.00618422	0.0213188	0.0203805	0.0100168	0.0358687	0.0715287	0.0508945	0.0226238	0.00476779	0.00686644	0.0230889	0.0336462	0.0213357	0.0227034	0.00700485	0.00298466	0.017677	0.022654	0.000657368	0.00501895	0.00978954	0.0290236	0.0325417	0.0341992	0.00637769	0.0207801	0.00428229	0.0121575	0.061866	0.0453969	0.121537	0.0604331	0.00483516	0.155592	0.00755463	0.0409143	0.00634277	0.0848771	0.0658627	0.0331203	0.00352571	0.8466874	1.102208	0.434717	0.66612	0.880951	1.13514	1.50123	2.30035	0.6023595	0.5121157	0.0133509	0.0155033	0.00624703	0.000305493	0.0270223	0.0077304	0.000556168	0.000396466	0.00629064	0.00251688	0.00150633	0.0232888	0.00590492	0.0186885	0.00740087	0.0308812	0.00412408	0.0142169	0.0135912	0.00667993	0.0239198	0.0477005	0.0339401	0.0150872	0.0031795	0.00457904	0.0153973	0.0224377	0.0142282	0.0151402	0.00467134	0.00199038	0.0117883	0.0151073	0.00043838	0.003347	0.00652837	0.019355	0.0217012	0.0228065	0.0042531	0.0138577	0.00285574	0.00810752	0.0412567	0.030274	0.0810494	0.0403012	0.00322443	0.10376	0.00503797	0.0272846	0.00422981	0.0566022	0.043922	0.022087	0.00235119	0.475336	0.524664	0.4753358	1.499538
252	-1411.742	-1495.952	84.21006	0.0562497	0.030355	0.00442344	0.00463691	0.0846877	0.0155123	0.000984542	0.00163341	0.0212057	0.0233699	0.00926858	0.0175669	0.00535493	0.0225984	0.0131123	0.046647	0.00253564	0.0131515	0.0492898	0.00983888	0.0677763	0.040933	0.0821561	0.0254939	0.00584671	0.00525039	0.0153936	0.00656197	0.00789845	0.0352768	1.65909e-05	0.00788785	0.0239771	0.0097614	0.0146235	0.00191456	0.00736535	0.0263206	0.0327415	0.0369424	0.0167537	0.0385256	0.00555105	0.0366759	0.039325	0.0509472	0.169112	0.0883531	0.0072083	0.224614	0.0122695	0.0235693	0.0172701	0.0614185	0.0951469	0.057935	0.0128329	0.8685869	1.087609	0.602362	0.780973	0.925773	1.08018	1.28045	1.66013	0.3665206	0.5324138	0.0305031	0.0164609	0.00239874	0.0025145	0.0459244	0.00841202	0.000533897	0.000885764	0.0114994	0.012673	0.00502616	0.00952616	0.00290387	0.0122547	0.00711051	0.0252957	0.00137502	0.00713178	0.0267289	0.00533542	0.0367537	0.0221971	0.0445516	0.0138248	0.00317055	0.00284718	0.00834765	0.00355842	0.00428317	0.0191299	8.99692e-06	0.00427742	0.0130023	0.00529341	0.00793002	0.00103823	0.00399408	0.0142731	0.017755	0.0200331	0.00908517	0.0208916	0.00301022	0.0198886	0.0213251	0.0276276	0.0917058	0.047912	0.00390891	0.121803	0.00665349	0.0127811	0.0093652	0.033306	0.0515962	0.031417	0.00695902	0.470942	0.529058	0.4709423	1.844068
288	-1412.211	-1496.629	84.4183	0.0332236	0.0214291	0.00753425	0.00123341	0.0421731	0.000219331	0.00120992	0.000507037	0.0148616	0.0204864	0.0128683	0.035715	0.00515624	0.0384912	0.015432	0.0466946	0.00169591	0.0146698	0.0208978	0.0397275	0.0655259	0.0458287	0.0565993	0.0203243	0.0012616	0.00682463	0.0236128	0.00906087	0.0146659	0.0511504	0.000128184	0.00934605	0.00378836	0.0126325	0.0154201	0.00887494	0.0241801	0.0564865	0.028451	0.0377251	0.0209826	0.0718015	0.00359516	0.0182041	0.0481812	0.0459705	0.131252	0.0637587	0.0169716	0.181061	0.0101479	0.0316306	0.0155179	0.059399	0.0886477	0.0504337	0.0106322	0.8084261	1.127716	0.570384	0.76047	0.918121	1.08918	1.31498	1.7532	0.4059633	0.4779135	0.0191568	0.012356	0.00434426	0.000711189	0.0243171	0.000126467	0.000697639	0.000292358	0.00856922	0.0118125	0.0074199	0.0205933	0.0029731	0.0221941	0.0088981	0.0269242	0.000977864	0.0084586	0.0120497	0.0229069	0.0377823	0.0264249	0.0326352	0.011719	0.000727439	0.00393509	0.0136152	0.00522451	0.00845636	0.0294934	7.39112e-05	0.00538895	0.00218437	0.00728393	0.00889126	0.0051173	0.0139423	0.0325702	0.0164049	0.0217523	0.0120986	0.0414009	0.00207297	0.0104965	0.0277814	0.0265067	0.07568	0.0367633	0.00978584	0.1044	0.00585127	0.0182383	0.00894765	0.0342495	0.0511144	0.0290801	0.00613053	0.557992	0.442008	0.5579921	1.7343
324	-1412.231	-1496.437	84.20592	0.0185671	0.00722395	0.000462631	0.000693506	0.0473575	0.0116081	0.0100097	0.00488739	0.0029242	0.019103	0.00782465	0.0241885	0.00193665	0.0200684	0.018531	0.0571515	0.000332006	0.0435266	0.0234638	0.00704833	0.0287971	0.0961038	0.0559005	0.0125376	0.0153926	0.0171783	0.022006	0.0236054	0.0148604	0.0542183	0.000664824	0.00491614	0.00623653	0.0339931	0.0158055	0.0118645	0.00266509	0.0569463	0.0248269	0.0726984	0.000873578	0.0251022	0.00899723	0.0144042	0.0354861	0.0524728	0.156388	0.0743138	0.0098962	0.211035	0.00200679	0.007521	0.00444787	0.0667725	0.130852	0.0425125	0.00593308	0.8717953	1.08547	0.496857	0.71097	0.899043	1.11229	1.40653	2.01265	0.5057532	0.5354335	0.0106272	0.00413473	0.000264793	0.000396938	0.0271057	0.00664405	0.00572918	0.00279736	0.00167371	0.0109339	0.00447855	0.0138446	0.00110847	0.0114864	0.0106065	0.0327114	0.000190028	0.024913	0.0134299	0.00403421	0.0164824	0.0550063	0.0319954	0.00717607	0.00881019	0.00983223	0.0125954	0.0135109	0.00850555	0.0310326	0.000380521	0.00281382	0.00356956	0.0194564	0.00904647	0.00679082	0.0015254	0.032594	0.01421	0.0416099	0.000500004	0.0143676	0.00514968	0.00824445	0.0203109	0.0300335	0.0895105	0.0425345	0.00566422	0.120789	0.00114862	0.00430475	0.0025458	0.0382182	0.0748952	0.0243326	0.00339588	0.428681	0.571319	0.4286806	1.747141
